respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
166,RH,BE,DH,MRJ,LK,MW,ZN,CO,JR
167,MW,CO,JR,MRJ,ZN,LK,DH,RH,BE
168,CO,LK,MW,MRJ,JR,DH,ZN,RH,BE
169,CO,LK,MW,MRJ,RH,DH,JR,ZN,BE
170,CO,MW,LK,MRJ,DH,RH,JR,ZN,BE
171,LK,RH,MW,MRJ,DH,CO,JR,ZN,BE
172,MW,MRJ,CO,DH,LK,RH,JR,BE,ZN
173,DH,RH,BE,MRJ,LK,ZN,JR,CO,MW
174,MW,MRJ,ZN,DH,CO,JR,LK,RH,BE
175,ZN,MW,JR,CO,MRJ,LK,RH,BE,DH
176,RH,DH,MRJ,MW,CO,ZN,BE,LK,JR
177,CO,LK,MW,MRJ,DH,RH,ZN,BE,JR
178,RH,DH,BE,MRJ,LK,MW,ZN,JR,CO
179,RH,LK,DH,MRJ,BE,MW,CO,ZN,JR
180,RH,DH,LK,MW,MRJ,BE,CO,ZN,JR
181,JR,CO,MW,LK,ZN,MRJ,RH,DH,BE
182,RH,LK,BE,MRJ,DH,MW,JR,CO,ZN
183,MRJ,MW,DH,ZN,RH,JR,LK,BE,CO
184,RH,DH,MRJ,LK,MW,BE,JR,ZN,CO
185,MW,MRJ,ZN,DH,JR,CO,LK,BE,RH
186,CO,MW,LK,ZN,MRJ,DH,JR,BE,RH
187,MW,ZN,MRJ,DH,CO,JR,BE,LK,RH
188,MRJ,MW,LK,CO,DH,BE,JR,ZN,RH
189,BE,DH,RH,MRJ,CO,ZN,MW,LK,JR
190,MW,RH,MRJ,CO,DH,LK,JR,BE,ZN
191,CO,MRJ,LK,MW,DH,RH,ZN,BE,JR
192,JR,ZN,CO,MW,LK,MRJ,RH,DH,BE
193,ZN,MW,CO,MRJ,LK,DH,JR,RH,BE
194,BE,DH,RH,MRJ,LK,CO,MW,JR,ZN
195,DH,MRJ,LK,CO,MW,JR,ZN,BE,RH
196,CO,LK,MRJ,MW,RH,DH,ZN,JR,BE
197,JR,CO,ZN,MW,MRJ,LK,DH,RH,BE
198,MRJ,ZN,MW,DH,RH,CO,LK,BE,JR
199,RH,BE,DH,LK,MRJ,ZN,CO,MW,JR
200,RH,DH,MRJ,LK,MW,BE,ZN,JR,CO
201,MW,MRJ,DH,JR,ZN,RH,LK,BE,CO
202,BE,DH,RH,MRJ,JR,MW,LK,ZN,CO
203,CO,MW,RH,LK,MRJ,DH,ZN,BE,JR
204,ZN,MW,JR,CO,MRJ,LK,DH,BE,RH
205,LK,RH,MW,DH,MRJ,CO,BE,JR,ZN
206,MW,MRJ,CO,DH,LK,RH,ZN,BE,JR
207,RH,DH,MRJ,LK,BE,MW,CO,JR,ZN
208,RH,LK,BE,DH,MRJ,MW,ZN,CO,JR
209,LK,RH,MRJ,BE,DH,MW,JR,ZN,CO
210,BE,RH,DH,MRJ,JR,CO,ZN,MW,LK
211,CO,MW,MRJ,LK,DH,ZN,JR,RH,BE
212,MW,MRJ,DH,ZN,JR,LK,CO,RH,BE
213,MRJ,DH,RH,MW,BE,ZN,JR,CO,LK
214,MW,CO,MRJ,JR,DH,LK,RH,ZN,BE
215,CO,MW,LK,RH,MRJ,DH,JR,BE,ZN
216,JR,ZN,CO,MW,MRJ,LK,DH,RH,BE
217,MW,ZN,MRJ,CO,DH,LK,JR,BE,RH
218,RH,LK,DH,BE,MRJ,MW,CO,ZN,JR
219,MW,CO,MRJ,LK,DH,ZN,BE,JR,RH
220,BE,RH,LK,DH,MRJ,MW,JR,ZN,CO
221,CO,JR,MW,ZN,MRJ,LK,DH,RH,BE
222,DH,RH,BE,MRJ,JR,MW,ZN,LK,CO
223,MRJ,DH,MW,ZN,CO,LK,BE,JR,RH
