variable,domain,type,stat_label,question,overall,CON,CON_hi_ae,CON_lo_ae,CON_hi_pc,CON_lo_pc,SD,SD_hi_so,SD_lo_so,SD_hi_ae,SD_lo_ae,SD_hi_pc,SD_lo_pc,STY,STY_hi_so,STY_lo_so,STY_hi_ae,STY_lo_ae,STY_hi_pc,STY_lo_pc,NAT,NAT_hi_ae,NAT_lo_ae,LIB,LIB_hi_pc,LIB_lo_pc,POP,POP_hi_ae,POP_lo_ae,POP_hi_pc,POP_lo_pc,CUP,CUP_hi_pc,CUP_lo_pc,DSA,DSA_hi_ae,DSA_lo_ae,PRG,factor_sensitive_so,factor_sensitive_ae,factor_sensitive_rt,factor_sensitive_pc,fd_senate_condorcet,fd_senate_irv,fd_house
CC24_340f,Immigration,binary,% Supporting,Deny asylum for illegal border crossings,63.1681,99.8093,100.0,98.0435,100.0,91.3734,39.458,48.8097,30.1063,41.2238,37.6922,47.8939,31.0221,39.6282,48.9799,30.2765,41.394,37.8624,48.0641,31.1923,100.0,100.0,98.2342,29.4301,37.866,20.9942,87.0888,88.8546,85.323,95.5247,78.6529,82.0974,90.5333,73.6615,0.0336,1.7994,0.0,0.1145,True,False,False,True,66.51099607843138,65.62648235294117,60.13740423825887
CC24_321a,Police & Guns,binary,% Supporting,Ban assault rifles,59.5554,40.7492,37.1826,44.3158,33.2294,48.269,80.9072,74.3235,87.4909,77.3406,84.4738,73.3874,88.427,63.1428,56.5591,69.7265,59.5762,66.7094,55.623,70.6626,6.4067,2.8401,9.9733,91.4934,83.9736,99.0132,27.0589,23.4923,30.6255,19.5391,34.5787,58.5513,51.0315,66.0711,93.1937,89.6271,96.7603,96.5447,True,True,False,True,63.09550196078432,62.99876862745098,61.13039679266897
CC24_321b,Police & Guns,binary,% Supporting,Easier concealed-carry permits,38.9291,54.9176,58.1559,51.6793,62.3315,47.5037,20.1692,26.7996,13.5388,23.4075,16.9309,27.5831,12.7553,36.5762,43.2066,29.9458,39.8145,33.3379,43.9901,29.1623,91.7736,95.0119,88.5353,7.2956,14.7095,0.0,67.8831,71.1214,64.6448,75.297,60.4692,44.222,51.6359,36.8081,1.9058,5.1441,0.0,1.1018,True,True,False,True,37.097974509803926,35.70235490196079,37.57052840778923
CC24_321c,Police & Guns,binary,% Supporting,Require background checks on all gun sales,92.5023,93.8034,92.5157,95.0911,91.8353,95.7715,98.4429,97.0656,99.8202,97.1552,99.7306,96.4748,100.0,88.7939,87.4166,90.1712,87.5062,90.0816,86.8258,90.762,75.8481,74.5604,77.1358,99.5799,97.6118,100.0,80.3952,79.1075,81.6829,78.4271,82.3633,94.8726,92.9045,96.8407,99.6987,98.411,100.0,99.647,False,False,False,False,95.35230588235294,96.00334705882352,93.37213505154638
CC24_321d,Police & Guns,binary,% Supporting,Increase police by 10%,56.7169,99.714,100.0,99.1599,100.0,92.8619,31.436,39.8121,23.0599,31.9901,30.8819,38.2881,24.5839,34.9589,43.335,26.5828,35.513,34.4048,41.811,28.1068,100.0,100.0,99.4459,35.5848,42.4369,28.7327,44.166,44.7201,43.6119,51.0181,37.3139,65.1423,71.9944,58.2902,0.2707,0.8248,0.0,0.3959,True,False,False,True,58.55349411764706,62.138196078431385,53.430703092783496
CC24_321e,Police & Guns,binary,% Supporting,"Decrease police by 10%, increase other funding",26.7993,1.8792,1.4905,2.2679,0.0,7.5631,39.5124,32.5111,46.5137,39.1237,39.9011,33.8285,45.1963,39.1405,32.1392,46.1418,38.7518,39.5292,33.4566,44.8244,0.1097,0.0,0.4984,35.6377,29.9538,41.3216,19.5421,19.1534,19.9308,13.8582,25.226,16.6141,10.9302,22.298,87.2103,86.8216,87.599,75.5713,True,False,False,True,23.283019607843137,22.007372549019607,28.554439977090503
CC24_321f,Police & Guns,binary,% Supporting,Increase spending on mental health & school safety,86.4629,86.5553,84.4691,88.6415,82.9586,90.152,95.922,93.2625,98.5815,93.8358,98.0082,92.3253,99.5187,85.8456,83.1861,88.5051,83.7594,87.9318,82.2489,89.4423,54.075,51.9888,56.1612,98.4488,94.8521,100.0,66.5524,64.4662,68.6386,62.9557,70.1491,90.4463,86.8496,94.043,99.0147,96.9285,100.0,99.6192,False,False,False,True,91.25258431372549,91.49433137254903,87.78635784650629
CC24_325,Abortion,continuous,Median,Abortion: how many weeks should it be legal,13.0,10.0,9.1109,10.8891,8.0638,11.9362,18.0,16.0331,19.9669,17.1109,18.8891,16.0638,19.9362,13.0,11.0331,14.9669,12.1109,13.8891,11.0638,14.9362,7.0,6.1109,7.8891,24.0,22.0638,25.9362,8.0,7.1109,8.8891,6.0638,9.9362,12.0,10.0638,13.9362,28.0,27.1109,28.8891,32.0,True,False,False,True,13.84585294117647,14.603360784313725,15.488230584192436
CC24_325,Abortion,continuous,Q25,Abortion: how many weeks should it be legal,6.0,4.0,3.1939,4.8061,2.1816,5.8184,10.0,8.1519,11.8481,9.1939,10.8061,8.1816,11.8184,6.0,4.1519,7.8481,5.1939,6.8061,4.1816,7.8184,0.0,-0.8061,0.8061,16.0,14.1816,17.8184,1.0,0.1939,1.8061,-0.8184,2.8184,4.0,2.1816,5.8184,20.0,19.1939,20.8061,24.0,True,False,False,True,6.4261470588235285,7.472909803921569,8.147170332187859
CC24_325,Abortion,continuous,Q75,Abortion: how many weeks should it be legal,24.0,15.0,14.0363,15.9637,12.5616,17.4384,26.0,23.5367,28.4633,25.0363,26.9637,23.5616,28.4384,23.0,20.5367,25.4633,22.0363,23.9637,20.5616,25.4384,12.0,11.0363,12.9637,36.0,33.5616,38.4384,14.0,13.0363,14.9637,11.5616,16.4384,19.0,16.5616,21.4384,40.0,39.0363,40.9637,40.0,True,False,False,True,21.14842156862745,21.73578039215686,23.1493036655212
