state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_POP,inc_LIB,inc_DSA,inc_NAT,inc_LBR,inc_PRG
26,MI,POP_1,POP,13.48,2.71,0.0,0.0,0.0,0.0,2.58,3.07,0.0,0.0
27,MN,CON_1,CON,15.92,0.0,0.0,2.88,0.0,0.0,0.0,3.87,0.0,0.0
27,MN,LBR_1,LBR,14.17,0.0,0.0,2.6,0.0,0.0,2.33,0.0,0.0,0.0
27,MN,LIB_1,LIB,14.6,0.0,9.66,0.0,0.0,0.0,0.59,0.0,1.34,0.0
27,MN,POP_1,POP,14.08,1.48,0.0,1.47,0.0,0.0,0.0,5.69,0.87,0.0
27,MN,PRG_1,PRG,12.17,0.0,0.0,0.0,0.0,7.53,0.52,0.0,0.0,0.0
28,MS,CON_1,CON,18.73,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,MS,CUP_1,CUP,9.33,0.0,6.14,0.0,1.06,0.0,0.0,9.23,0.0,0.0
28,MS,LBR_1,LBR,24.84,0.0,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,MS,LBR_2,LBR,0.0,0.0,0.0,1.74,1.67,3.3,3.02,0.95,7.92,0.0
28,MS,POP_1,POP,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,CON_1,CON,23.66,0.0,0.0,0.0,0.0,0.0,0.0,9.63,0.0,0.0
29,MO,CUP_1,CUP,8.74,2.6,1.65,0.0,1.71,4.28,0.64,0.0,0.0,0.0
29,MO,LBR_1,LBR,18.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,LIB_1,LIB,7.31,0.52,0.84,0.0,0.0,0.0,9.64,0.0,0.0,2.33
29,MO,POP_1,POP,14.51,3.77,0.0,0.0,0.0,0.0,0.0,1.55,0.86,0.0
30,MT,CON_1,CON,16.41,0.0,0.63,4.34,0.0,0.0,0.0,2.81,0.0,0.0
30,MT,LBR_1,LBR,17.52,0.0,0.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,LIB_1,LIB,13.17,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,3.67
30,MT,NAT_1,NAT,20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,POP_1,POP,11.37,1.18,0.0,2.17,0.0,0.0,3.99,0.97,0.0,0.0
31,NE,CON_1,CON,18.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,CUP_1,CUP,14.25,0.0,1.19,0.0,0.0,0.0,0.0,9.46,0.0,0.0
31,NE,LBR_1,LBR,19.41,0.0,0.0,0.0,0.0,0.0,8.98,0.0,0.0,0.0
31,NE,LIB_1,LIB,6.58,0.0,1.25,9.19,0.0,0.0,2.39,0.0,0.94,2.18
31,NE,POP_1,POP,14.65,0.63,1.64,0.0,0.0,0.0,0.0,0.0,0.73,0.0
32,NV,CON_1,CON,20.52,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0
32,NV,LBR_1,LBR,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,LBR_2,LBR,0.0,0.0,1.26,7.78,0.0,0.66,4.32,0.0,6.17,0.59
32,NV,LIB_1,LIB,9.44,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,5.78
32,NV,POP_1,POP,15.4,2.05,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0
33,NH,CON_1,CON,12.27,0.0,0.0,0.0,6.99,0.0,0.0,2.58,0.0,0.0
33,NH,CUP_1,CUP,9.73,2.77,0.0,0.0,5.49,3.75,0.0,0.0,1.01,0.0
33,NH,DSA_1,DSA,11.38,0.0,1.94,0.64,0.0,2.29,0.0,0.0,0.0,14.95
33,NH,LBR_1,LBR,19.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,OAO_1,OAO,13.17,1.88,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0
34,NJ,CON_1,CON,18.01,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0.0,0.0
34,NJ,CUP_1,CUP,9.53,0.0,3.01,0.0,0.0,1.07,0.0,0.0,0.75,9.38
34,NJ,LBR_1,LBR,16.67,0.0,0.0,0.0,0.0,0.0,5.95,0.0,0.0,0.0
34,NJ,LIB_1,LIB,12.61,0.0,3.13,0.0,0.0,0.0,0.0,0.0,2.35,0.0
34,NJ,POP_1,POP,11.63,0.69,1.2,7.28,0.0,0.0,0.0,4.9,2.27,0.0
35,NM,CON_1,CON,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,CUP_1,CUP,13.85,0.0,1.58,0.0,0.0,16.06,0.0,0.0,0.0,0.0
35,NM,LBR_1,LBR,29.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LBR_2,LBR,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,12.78,0.0
35,NM,POP_1,POP,10.74,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0
36,NY,CON_1,CON,15.7,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0
36,NY,CUP_1,CUP,8.71,0.97,6.82,0.0,1.55,1.9,0.0,0.0,0.59,0.0
36,NY,LBR_1,LBR,20.06,0.0,0.0,0.0,0.0,0.0,6.76,0.0,0.0,0.0
36,NY,LIB_1,LIB,10.96,0.0,3.63,0.0,0.0,0.0,3.6,0.0,0.67,4.42
36,NY,POP_1,POP,13.37,2.48,0.0,0.0,0.0,0.0,0.0,3.03,1.08,0.0
37,NC,CON_1,CON,23.38,0.0,0.0,0.0,0.0,0.0,0.0,8.11,0.0,0.0
37,NC,CUP_1,CUP,8.57,1.53,5.06,0.0,1.07,3.09,0.0,0.0,0.0,0.0
37,NC,LBR_1,LBR,16.36,0.0,0.0,0.0,0.0,0.0,5.42,0.0,0.0,0.0
37,NC,LIB_1,LIB,7.74,0.0,3.72,0.0,0.0,0.0,0.0,0.0,1.33,6.78
37,NC,POP_1,POP,13.65,3.48,0.0,0.0,0.0,0.0,0.0,3.01,2.48,0.0
38,ND,CON_1,CON,23.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,CUP_1,CUP,15.07,0.0,1.99,0.0,0.0,0.83,0.0,0.0,0.57,0.0
38,ND,LBR_1,LBR,20.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,LIB_1,LIB,8.08,0.0,2.53,0.0,0.0,0.0,2.44,0.0,1.17,4.42
38,ND,POP_1,POP,16.27,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,CON_1,CON,23.27,0.0,0.0,0.0,0.0,0.0,0.0,9.61,0.0,0.0
39,OH,CUP_1,CUP,11.1,5.89,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,LBR_1,LBR,15.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,LIB_1,LIB,8.75,0.0,0.9,1.99,0.0,0.0,3.76,0.0,0.0,2.77
39,OH,POP_1,POP,14.58,0.0,0.0,0.0,0.0,0.0,3.51,1.39,0.0,0.0
40,OK,CON_1,CON,23.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,CUP_1,CUP,11.66,3.04,3.75,0.0,0.0,1.52,0.0,0.0,0.0,0.0
40,OK,LBR_1,LBR,13.21,0.0,0.0,0.83,0.0,9.98,6.3,0.0,0.0,0.0
40,OK,NAT_1,NAT,15.82,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,POP_1,POP,13.5,3.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0
41,OR,CON_1,CON,12.81,0.0,0.68,3.53,0.0,0.0,0.0,6.32,0.0,0.0
41,OR,LBR_1,LBR,15.76,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
41,OR,LIB_1,LIB,14.06,0.0,1.62,0.0,0.0,0.0,3.83,0.0,0.0,0.0
41,OR,POP_1,POP,9.55,0.0,0.0,0.83,0.0,1.67,5.31,7.89,0.0,0.0
41,OR,PRG_1,PRG,14.13,0.0,0.0,0.0,0.57,1.7,1.45,0.0,0.0,0.0
42,PA,CON_1,CON,21.74,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0
42,PA,CUP_1,CUP,7.22,0.94,5.2,0.0,0.0,1.08,0.0,0.0,0.0,8.71
42,PA,LBR_1,LBR,18.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,PA,LIB_1,LIB,12.75,0.0,2.12,0.0,0.0,0.0,3.08,0.0,0.0,0.0
42,PA,POP_1,POP,10.2,3.04,0.0,0.0,0.0,0.0,3.17,3.91,0.53,0.0
44,RI,CON_1,CON,16.48,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,0.0
44,RI,CUP_1,CUP,6.04,0.6,8.38,0.0,0.78,4.47,0.0,0.0,0.0,0.0
44,RI,LBR_1,LBR,19.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99
44,RI,LIB_1,LIB,15.34,0.0,0.0,0.0,0.0,0.0,6.57,0.0,0.71,8.4
44,RI,POP_1,POP,14.9,2.06,0.0,0.0,0.0,0.0,0.0,1.88,0.68,0.0
45,SC,CON_1,CON,23.12,0.0,0.0,0.0,0.0,0.0,0.0,9.68,0.0,0.0
45,SC,CUP_1,CUP,7.99,2.48,2.48,0.0,1.06,7.1,0.0,0.0,0.0,0.0
45,SC,DSA_1,DSA,8.57,0.0,0.0,2.79,0.0,3.81,0.0,0.0,1.17,1.0
45,SC,LBR_1,LBR,22.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,POP_1,POP,12.1,4.53,0.0,0.0,0.0,0.0,0.0,2.34,1.89,0.0
46,SD,CON_1,CON,18.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,CUP_1,CUP,13.43,0.0,4.71,0.0,0.72,0.0,0.0,0.0,0.0,0.0
46,SD,LBR_1,LBR,11.13,0.0,0.92,1.75,1.7,0.0,6.02,0.0,0.0,0.0
46,SD,LIB_1,LIB,6.83,0.0,1.49,0.0,0.0,0.0,1.7,13.56,4.04,2.56
46,SD,POP_1,POP,19.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_1,CON,30.24,0.0,0.0,0.0,0.0,0.0,0.0,15.45,0.0,0.0
47,TN,CON_2,CON,0.0,13.48,1.89,0.98,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CUP_1,CUP,9.2,0.0,4.38,0.0,0.0,0.9,0.0,0.0,4.11,0.0
47,TN,LBR_1,LBR,12.15,0.0,0.67,0.0,0.0,3.84,8.34,0.0,0.0,0.0
47,TN,POP_1,POP,12.46,0.0,0.0,0.84,0.0,0.0,0.0,0.0,3.84,0.0
48,TX,CON_1,CON,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59,0.0,0.0
48,TX,CUP_1,CUP,11.82,1.75,5.83,0.0,0.0,0.0,0.0,0.0,0.53,0.0
48,TX,LBR_1,LBR,21.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,LIB_1,LIB,7.06,0.0,1.14,2.74,0.0,0.0,9.2,0.0,0.87,1.26
48,TX,POP_1,POP,12.35,2.58,0.0,0.0,0.0,0.0,0.0,1.58,2.49,0.0
49,UT,CON_1,CON,15.87,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CUP_1,CUP,9.65,0.0,1.6,0.0,2.95,0.65,0.0,2.31,1.53,0.0
49,UT,LBR_1,LBR,25.9,0.0,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0
49,UT,LBR_2,LBR,0.0,0.0,0.67,0.0,3.91,5.25,0.0,0.0,8.99,0.0
49,UT,POP_1,POP,16.58,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0
50,VT,CON_1,CON,12.25,0.0,8.5,3.44,0.0,0.0,0.0,4.03,0.0,0.0
50,VT,LBR_1,LBR,15.31,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0,0.0
50,VT,LIB_1,LIB,12.86,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.92,9.46
50,VT,POP_1,POP,6.82,1.74,0.0,3.58,0.0,5.52,0.0,0.0,1.0,0.0
50,VT,PRG_1,PRG,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,CON_1,CON,20.17,0.0,0.0,0.0,0.0,0.0,0.0,8.58,0.0,0.0
51,VA,CUP_1,CUP,7.76,1.35,2.65,0.0,0.0,8.63,0.0,0.0,1.03,0.0
51,VA,LBR_1,LBR,20.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LIB_1,LIB,9.03,0.0,1.03,0.0,0.0,0.0,4.6,0.0,1.02,9.7
51,VA,POP_1,POP,12.36,1.33,1.47,0.0,0.0,0.0,0.0,2.08,1.69,0.0
53,WA,CON_1,CON,13.98,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,WA,CUP_1,CUP,8.84,0.0,2.6,0.0,2.31,3.62,1.79,0.0,0.0,0.0
53,WA,LBR_1,LBR,17.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
53,WA,LIB_1,LIB,12.42,0.0,1.82,0.0,0.0,0.0,7.6,0.0,0.0,10.82
53,WA,POP_1,POP,9.58,0.0,0.0,0.0,0.0,0.0,0.0,9.45,0.0,0.0
54,WV,CON_1,CON,20.38,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0
54,WV,CUP_1,CUP,12.9,0.59,8.28,0.0,0.0,0.0,1.0,0.0,0.88,0.0
54,WV,LBR_1,LBR,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,LIB_1,LIB,5.37,0.0,1.26,4.86,0.0,0.0,4.49,0.0,1.01,1.63
54,WV,POP_1,POP,16.5,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,WI,CON_1,CON,22.74,0.0,0.0,0.0,0.0,0.0,0.0,6.46,0.0,0.0
55,WI,CUP_1,CUP,6.84,1.19,8.52,0.0,0.0,3.46,0.0,0.0,1.3,0.0
55,WI,LBR_1,LBR,15.27,0.0,0.0,0.0,1.03,0.0,5.9,0.0,0.0,0.0
55,WI,LIB_1,LIB,9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,7.93
55,WI,POP_1,POP,15.06,3.76,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0
56,WY,CON_1,CON,28.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,WY,CON_2,CON,0.0,11.14,0.0,0.0,1.25,0.0,0.0,8.76,0.0,0.0
56,WY,CUP_1,CUP,9.5,2.9,2.29,0.0,2.96,1.05,0.0,0.0,0.0,0.0
56,WY,LBR_1,LBR,10.52,0.0,2.98,0.0,0.75,12.39,0.83,0.0,0.0,0.0
56,WY,POP_1,POP,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
