candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,lock_order,locked,rp_winner_overall,state_fips,state_abbr
CON,PRG_dsa,47.64546164405027,60.02435603046205,12.38,11.4971,8,True,SD_lib,50,VT
CON,SD_lib,40.01955094816935,67.65026672634298,27.63,25.6625,4,True,SD_lib,50,VT
CTR_con,PRG,51.146064430962596,56.523753243549734,5.38,4.9946,9,True,SD_lib,50,VT
CTR_con,PRG_dsa,51.538885093701424,56.13093258081091,4.59,4.2649,10,True,SD_lib,50,VT
CTR_con,SD_lib,40.51988637621927,67.14993129829305,26.63,24.7331,5,True,SD_lib,50,VT
PRG,PRG_dsa,39.78323030019955,67.88658737431277,28.1,26.1014,3,True,SD_lib,50,VT
PRG,SD_lib,41.42560018018207,66.24421749433024,24.82,23.0507,6,True,SD_lib,50,VT
PRG_dsa,SD_lib,39.169026431983234,68.5007912425291,29.33,27.2423,2,True,SD_lib,50,VT
CON,CTR_con,513.6763612172999,813.0389641688266,299.36,22.5642,6,True,CTR_con,51,VA
CON,LIB,669.729115814452,656.9862095716746,12.74,0.9605,10,True,CTR_con,51,VA
CON,NAT_ref,973.8345718906597,352.88075349546705,620.95,46.8038,1,True,CTR_con,51,VA
CON,PRG,805.7110974291609,521.0042279569657,284.71,21.4595,7,True,CTR_con,51,VA
CTR_con,LIB,757.5173747251251,569.1979506610015,188.32,14.1944,8,True,CTR_con,51,VA
CTR_con,NAT_ref,956.7932679191156,369.922057467011,586.87,44.2349,2,True,CTR_con,51,VA
CTR_con,PRG,860.2468971768325,466.46842820929413,393.78,29.6807,4,True,CTR_con,51,VA
LIB,NAT_ref,823.5156619844755,503.19966340165115,320.32,24.1435,5,True,CTR_con,51,VA
LIB,PRG,919.6609056608921,407.05441972523437,512.61,38.6373,3,True,CTR_con,51,VA
NAT_ref,PRG,626.500892444915,700.2144329412117,73.71,5.5561,9,True,CTR_con,51,VA
CON_ref,CTR,403.8819090475319,817.8939295247538,414.01,33.8861,1,True,SD,53,WA
CON_ref,LIB_dsa,554.4819490961485,667.2938894761373,112.81,9.2334,8,True,SD,53,WA
