type_a,chamber_a,type_b,chamber_b,F1_SecOrd_dist,F2_ElecSkep_dist,F3_GovtDis_dist,F4_ReligTrad_dist,F5_PopCons_dist,euclidean_5d,F1_SecOrd_align,F2_ElecSkep_align,F3_GovtDis_align,F4_ReligTrad_align,F5_PopCons_align,overall_align
SD,senate,PRG,house,0.8457,0.6017,0.2972,0.0422,0.426,1.1614,0.5916,0.6182,0.1287,0.95,0.8296,0.6658
STY/SD,senate,LIB/CUP,senate,0.259,1.0858,0.2339,0.0519,0.2411,1.1668,0.8749,0.311,0.3143,0.9385,0.9036,0.6642
DSA,house,PRG,house,0.0434,1.1378,0.2818,0.0,0.116,1.1787,0.979,0.278,0.1738,1.0,0.9536,0.6608
CON,both,STY/POP,senate,0.9217,0.727,0.1302,0.062,0.031,1.1831,0.5549,0.5387,0.6183,0.9266,0.9876,0.6595
CON/NAT,senate,STY/POP,senate,0.9066,0.5059,0.0259,0.179,0.5542,1.1906,0.5622,0.679,0.9241,0.788,0.7783,0.6574
CON/NAT,senate,CON/SD,senate,0.5166,0.225,0.1474,0.3705,0.9761,1.1955,0.7505,0.8572,0.5679,0.5611,0.6096,0.656
CON/STY,senate,SD,senate,0.672,0.2948,0.0287,0.5406,0.7944,1.2094,0.6755,0.8129,0.9159,0.3596,0.6823,0.652
LIB/CUP,senate,PRG,house,1.0889,0.1391,0.0842,0.2449,0.4357,1.2092,0.4742,0.9117,0.7532,0.7099,0.8257,0.652
CON,both,NAT,house,0.0308,0.4513,0.3186,0.2387,1.0677,1.226,0.9851,0.7136,0.066,0.7172,0.5729,0.6472
STY/CON,senate,CUP,both,0.19,1.1815,0.298,0.0582,0.116,1.24,0.9082,0.2503,0.1264,0.9311,0.9536,0.6432
CON/POP,senate,CUP,both,0.3264,1.0358,0.187,0.0668,0.5735,1.2441,0.8424,0.3427,0.4518,0.9209,0.7706,0.642
SD/LIB,senate,DSA,house,0.8656,0.8848,0.0717,0.0528,0.1211,1.2469,0.582,0.4385,0.7898,0.9375,0.9516,0.6412
SD/LIB,senate,CUP,both,0.7036,0.4358,0.1788,0.4637,0.7916,1.2485,0.6602,0.7235,0.4758,0.4507,0.6834,0.6407
SD/STY,senate,POP/STY,senate,0.3871,0.5262,0.1858,0.3302,0.9992,1.2525,0.8131,0.6661,0.4553,0.6089,0.6003,0.6396
CON/CUP,senate,POP/STY,senate,0.6144,1.0466,0.0829,0.0313,0.3118,1.2562,0.7033,0.3359,0.757,0.9629,0.8753,0.6385
CON/CUP,senate,LIB/CUP,senate,0.7479,0.4481,0.1239,0.3268,0.8433,1.2623,0.6388,0.7157,0.6368,0.6129,0.6627,0.6368
CON/CUP,senate,STY/POP,senate,0.7311,1.0283,0.0218,0.0282,0.1224,1.2681,0.6469,0.3475,0.9361,0.9666,0.951,0.6351
CON,both,SD/CUP,senate,0.8893,0.3459,0.1336,0.3594,0.7472,1.2711,0.5706,0.7805,0.6083,0.5743,0.7011,0.6342
STY/SD,senate,LIB,both,0.0322,1.0566,0.1986,0.2329,0.6364,1.2713,0.9845,0.3295,0.4178,0.7241,0.7455,0.6342
POP/STY,senate,NAT,house,0.7742,0.294,0.1273,0.3038,0.9093,1.2732,0.6261,0.8134,0.6268,0.6401,0.6363,0.6336
STY,both,POP,both,0.6483,0.1014,0.3394,0.0175,1.0526,1.2861,0.6869,0.9357,0.005,0.9793,0.579,0.6299
CON/NAT,senate,SD/CON,senate,0.5994,0.2256,0.146,0.4099,1.0465,1.3018,0.7105,0.8568,0.572,0.5145,0.5814,0.6254
LIB,both,CUP,both,0.7281,0.0729,0.0882,0.4526,0.9883,1.3133,0.6484,0.9537,0.7414,0.4639,0.6047,0.6221
STY,both,DSA,house,0.8574,0.1539,0.0572,0.5514,0.8117,1.3134,0.586,0.9023,0.8323,0.3468,0.6753,0.6221
SD,senate,CUP,both,0.6801,0.7845,0.2659,0.4743,0.6027,1.3179,0.6716,0.5022,0.2205,0.4382,0.7589,0.6208
CON/POP,senate,STY,both,1.0382,0.4387,0.1207,0.0319,0.6745,1.3195,0.4986,0.7216,0.6461,0.9622,0.7302,0.6203
SD/CON,senate,LIB,both,0.6152,0.7157,0.1869,0.2487,0.8687,1.3199,0.7029,0.5458,0.4521,0.7054,0.6525,0.6202
CON/SD,senate,POP,both,0.0334,0.7867,0.3082,0.1819,1.0008,1.3228,0.9839,0.5008,0.0965,0.7845,0.5997,0.6193
SD/CUP,senate,STY/POP,senate,0.0324,1.0729,0.0034,0.2974,0.7162,1.3243,0.9844,0.3192,0.99,0.6477,0.7135,0.6189
