pid3,ideo5,inputstate,commonpostweight,govt_trust_imputed,FS_F1,FS_F2,FS_F3,FS_F4_resid,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9
2.0,3.0,20.0,0.0078615849295114,0,0.4900102020638343,-0.249798012920223,0.1340010760119193,0.3179308896955557,0,0.9598054816647125,0.004615292554692618,3.7921122802496546e-11,0.027210386992362185,7.034891709563403e-25,0.008240327389725556,3.203665055371853e-13,1.1556701891568205e-207,3.8981515229840164e-16,0.00012851136026506059
2.0,3.0,12.0,0.3572333099465297,0,0.7052566417038033,-0.5743008019035803,-0.0642820335795883,-0.7112809567256518,0,0.9831540011593369,0.006433025585690754,6.083261867881801e-06,0.010310819860234117,3.8890515208550376e-16,6.398134946345055e-05,2.1352072913373475e-14,2.391342840960431e-293,3.4882803315732937e-12,3.208877989688756e-05
2.0,4.0,21.0,1.267905490028907,0,0.6079352767361966,0.0926610492854753,1.3225787541543432,0.0357916767171926,0,0.4688299486229373,0.08587984295623122,1.2376120913287923e-16,0.006326534332942905,2.187644190310388e-11,3.905015833039459e-07,9.425862524121199e-09,3.2079614251982056e-258,1.3865817876850146e-12,0.43896327413717956
1.0,2.0,37.0,0.3840612569219607,0,-0.9732540643958691,-0.9869139484510284,0.6866241231383231,-0.2420075733545407,4,7.861658865517377e-18,0.002388796242897394,6.492168593456928e-132,0.0015736898155984695,0.958954046268433,1.6635477431088595e-06,1.2413501430518558e-06,3.276879890267077e-26,0.037080562775184865,5.312880814928969e-32
1.0,3.0,19.0,1.154485073003468,0,0.4854917537407454,0.888982577420218,1.6453111229227384,-0.6653892820189795,0,0.3768940566521319,0.30114034926853944,1.0468210016838655e-28,0.025316283691300925,2.672532692307511e-08,2.0964475149504504e-07,6.721671901812826e-06,3.386302468539285e-261,8.489651146784324e-08,0.2966422674495362
1.0,1.0,34.0,0.6971256429707643,0,-1.6072166570035356,-0.5181696905447699,0.3356550004973337,-0.1736077999509722,7,4.530489982709563e-35,0.0003985573461834174,2.122925317962491e-221,0.0001750276046492791,0.24905919608833182,4.7338814832802985e-18,4.6664953989284846e-21,0.7457005768468192,0.004666642114016331,2.6304766652552504e-66
2.0,4.0,22.0,0.0693292690320607,0,-0.2280477718824849,1.5265378844185296,0.3099005631341799,-0.0606750327331838,1,9.6060346465042e-07,0.8776390116336752,5.313615093473091e-63,0.12132632976837221,7.747917233319975e-23,0.0010285709848656904,1.3392135199805978e-06,1.127557332206037e-75,3.787795752444144e-06,3.493719842756592e-13
2.0,5.0,6.0,0.3531294866450464,1,0.9686224363568132,0.6421960064303353,-1.0682565839400286,0.5156178346709865,2,0.04429504315644314,6.993479875799337e-12,0.9525547080872221,0.0030690345025703655,2.0238589632513983e-83,8.121424677092295e-05,9.16378442439143e-44,3.49121420921815e-296,2.342968051593915e-43,6.615051523967426e-26
2.0,3.0,39.0,0.0216278225341757,0,0.279586771894281,0.2659126898589005,-0.1066001867417117,0.2746351741214256,5,0.25682710877242493,0.020078706544216653,3.1047860207869344e-19,0.2731839491837685,2.3665876416210863e-27,0.4498985956085092,7.10125316536374e-11,1.2302138553532119e-157,4.781768136908509e-14,1.1639820020606778e-05
1.0,1.0,17.0,0.0009265566116692,0,-1.4133102446689203,-0.1480958854810786,0.7584916902097963,0.3356816586564383,7,2.864274812733156e-27,0.007417813473701063,2.8029666295969597e-197,0.0012792268345593791,0.3739912880566022,3.313155214133261e-14,4.967173624516312e-18,0.5327862132200619,0.08452545841504215,9.717881561063626e-61
