state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_NAT,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_STY,inc_DSA,inc_PRG
23,ME,LIB_1,LIB,15.98,0.0,0.0,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,POP_1,POP,15.33,2.39,1.18,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0
23,ME,STY_1,STY,8.08,0.0,0.0,0.0,1.49,3.12,0.0,0.0,0.0,0.5,8.23
24,MD,CON_1,CON,13.6,4.26,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0
24,MD,CUP_1,CUP,7.06,0.0,0.0,2.55,0.0,0.0,0.0,7.86,0.0,0.0,0.0
24,MD,LBR_1,LBR,20.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,MD,LIB_1,LIB,9.41,0.0,0.0,4.4,0.0,0.91,0.0,0.0,0.0,0.0,10.27
24,MD,STY_1,STY,12.13,0.0,0.0,0.89,6.49,4.07,0.0,0.0,0.0,0.0,0.0
25,MA,CON_1,CON,18.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,LBR_1,LBR,16.68,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1.11
25,MA,LIB_1,LIB,12.97,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0,0.0,9.47
25,MA,POP_1,POP,6.63,7.91,0.77,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0
25,MA,STY_1,STY,9.21,0.0,0.0,3.17,0.0,0.51,0.96,0.64,0.0,6.54,0.0
26,MI,CON_1,CON,21.48,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,MI,LBR_1,LBR,13.53,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,5.66,0.0
26,MI,LIB_1,LIB,9.8,0.0,0.0,1.5,0.0,1.09,0.0,0.0,0.0,2.36,3.18
26,MI,POP_1,POP,9.59,2.97,2.15,0.0,0.0,0.0,3.67,0.0,3.23,0.0,0.0
26,MI,STY_1,STY,8.84,0.0,0.0,0.0,0.0,2.49,7.05,0.66,0.0,0.0,0.0
27,MN,CON_1,CON,15.53,0.0,0.0,0.0,0.0,0.0,2.98,0.0,0.0,0.0,0.0
27,MN,LBR_1,LBR,12.81,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.96,2.16,1.17
27,MN,LIB_1,LIB,14.13,0.0,0.0,3.92,0.0,1.79,0.0,0.0,0.0,0.6,10.98
27,MN,OAO_1,OAO,8.96,10.05,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0
27,MN,POP_1,POP,11.33,0.0,1.06,0.0,0.0,1.23,1.12,0.0,3.99,0.0,0.0
28,MS,CON_1,CON,18.22,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,MS,CUP_1,CUP,8.28,8.59,0.0,5.97,0.58,0.0,0.0,0.0,1.26,0.0,0.0
28,MS,LBR_1,LBR,11.69,0.0,0.0,3.49,0.0,0.0,0.0,3.11,0.0,2.27,0.0
28,MS,STY_1,STY,27.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,MS,STY_2,STY,0.0,0.0,0.0,0.0,7.61,0.0,0.0,0.0,10.56,0.0,0.0
29,MO,CON_1,CON,22.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,CUP_1,CUP,7.97,3.9,2.14,1.63,4.65,0.0,0.0,1.74,0.0,0.0,0.0
29,MO,LBR_1,LBR,13.11,0.0,0.0,0.73,0.0,0.0,0.0,9.48,0.0,7.6,0.0
29,MO,POP_1,POP,8.29,8.11,1.83,0.0,0.0,0.0,0.0,0.0,3.28,0.0,0.0
29,MO,STY_1,STY,14.96,0.0,0.79,0.0,0.0,4.21,0.0,0.0,0.0,0.7,0.0
30,MT,CON_1,CON,15.96,2.3,0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.0
30,MT,LBR_1,LBR,12.73,0.0,0.0,0.0,0.0,0.0,2.92,0.0,2.23,3.81,0.0
30,MT,LIB_1,LIB,12.68,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,3.48
30,MT,NAT_1,NAT,20.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,STY_1,STY,12.49,0.0,0.0,0.0,6.12,0.0,3.7,0.0,0.0,1.08,0.0
31,NE,CON_1,CON,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,CUP_1,CUP,14.18,1.65,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,LBR_1,LBR,14.68,0.0,0.0,0.83,0.0,0.0,0.0,6.92,0.0,9.67,0.0
31,NE,POP_1,POP,10.37,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,STY_1,STY,11.81,0.0,0.0,0.82,0.73,5.23,0.59,1.21,0.0,1.45,0.0
