code,elite_pol,fptp,elec_family,democracy,anglophone,tier_established,tier_all_dem,microstate,api_mean,api_latest,spread_mean,spread_latest,latest_year,n_parties,n_elections,affpol
EST,-0.8876,0.0,,0.8991,0,True,True,0,4.511,4.511,2.456,2.456,2011,5.625,1,4.511
FIN,-1.3232,0.0,,0.8676,0,True,True,0,3.897,4.48,2.091,2.364,2019,7.791,5,4.48
FRA,0.5745,1.0,,0.8736,0,True,True,0,4.481,4.653,2.464,2.589,2017,6.71,4,4.653
GBR,-0.2785,1.0,FPTP,0.8558999999999999,1,False,True,0,4.365,4.606,2.311,2.317,2019,4.145,5,4.606
GRC,-1.0425,0.0,,0.8131999999999999,0,False,True,0,5.435,6.361,2.395,2.5,2019,6.641,5,6.361
HKG,1.9428,0.0,,0.2548,0,False,False,,2.994,4.253,1.605,2.132,2016,5.438,6,4.253
HRV,0.6039,0.0,,0.7445,0,False,True,0,4.507,4.507,2.072,2.072,2007,8.389,1,4.507
HUN,2.3981000000000003,0.0,,0.49670000000000003,0,False,False,0,5.849,6.791,2.763,2.489,2018,5.434,3,6.791
IND,1.8005,1.0,FPTP,0.4394,1,False,False,0,3.721,3.721,2.025,2.025,2019,3.169,1,3.721
IRL,-2.7321999999999997,0.0,STV,0.8915000000000001,1,True,True,0,4.524,4.671,2.298,2.484,2016,5.998,4,4.671
ISL,-1.3025,0.0,,0.8526,0,True,True,1,3.904,4.17,2.173,2.347,2017,5.894,7,4.17
ISR,0.7191,0.0,,0.7154,0,False,True,0,4.622,5.018,2.471,2.501,2020,5.961,5,5.018
ITA,0.3721,0.0,,0.8468,0,True,True,0,5.224,5.529,2.19,2.453,2018,5.796,2,5.529
JPN,-1.5515,0.0,,0.8243,0,True,True,0,3.503,3.577,1.737,1.612,2017,5.979,5,3.577
KEN,0.1464,1.0,,0.5269,0,False,True,0,5.915,5.915,3.225,3.225,2013,5.331,1,5.915
KGZ,0.042499999999999996,0.0,,0.4103,0,False,False,0,4.279,4.279,2.495,2.495,2005,5.188,1,4.279
KOR,0.7121999999999999,0.0,,0.7924,0,False,True,0,3.76,2.954,1.741,1.492,2016,5.024,5,2.954
LTU,-1.9672,0.0,,0.8074999999999999,0,False,True,0,4.754,5.012,2.288,2.437,2020,6.412,3,5.012
LVA,-2.1856999999999998,0.0,,0.8331,0,True,True,0,4.934,5.141,2.34,2.269,2018,6.182,4,5.141
MEX,1.0731,0.0,,0.6199,0,False,False,0,4.173,5.674,2.3,2.457,2018,6.502,8,5.674
MNE,1.2802,0.0,,0.5223,0,False,True,1,4.824,6.315,2.506,2.507,2016,6.584,2,6.315
NLD,-0.8624,0.0,,0.8628,0,True,True,0,3.002,3.715,1.987,2.38,2021,8.265,6,3.715
NOR,-1.8486,0.0,,0.8906000000000001,0,True,True,0,4.209,4.63,2.287,2.522,2017,7.772,6,4.63
NZL,-1.9136,0.0,MMP,0.8800000000000001,1,True,True,0,4.435,4.128,2.484,2.432,2020,7.02,7,4.128
PER,1.3829,0.0,,0.7669,0,False,True,0,4.975,4.174,2.634,1.848,2021,6.17,6,4.174
PHL,-0.5244,0.0,,0.44079999999999997,0,False,False,0,2.388,2.077,1.444,1.123,2016,5.822,3,2.077
POL,2.9529,0.0,,0.679,0,False,True,0,4.732,5.233,2.531,2.572,2019,5.944,6,5.233
PRT,-1.7372,0.0,,0.8765000000000001,0,False,True,0,4.927,4.498,2.196,1.656,2019,5.464,5,4.498
ROU,0.6816,0.0,,0.7152999999999999,0,False,True,0,4.711,5.152,2.264,2.191,2016,6.399,6,5.152
RUS,1.1635,0.0,,0.2379,0,False,False,0,5.299,5.404,2.453,2.276,2004,5.493,3,5.404
SLV,1.0788,0.0,,0.523,0,False,False,0,4.603,4.603,2.65,2.65,2019,4.63,1,4.603
SRB,0.36579999999999996,0.0,,0.3645,0,False,False,0,5.119,5.119,2.402,2.402,2012,6.866,1,5.119
SVK,-0.11869999999999999,0.0,,0.8238999999999999,0,False,True,0,5.596,6.083,2.465,2.463,2020,7.416,3,6.083
SVN,1.3492000000000002,0.0,,0.7978,0,False,True,0,4.803,5.085,1.977,2.036,2011,6.992,4,5.085
SWE,-1.5629,0.0,,0.9007,0,True,True,0,4.452,5.088,2.51,2.908,2018,7.645,5,5.088
THA,1.5812,0.0,,0.2182,0,False,False,0,5.152,4.632,2.454,2.336,2019,6.091,4,4.632
TUN,0.8651,1.0,,0.602,0,False,False,0,,,1.875,1.875,2019,5.254,1,
TUR,3.5189999999999997,0.0,,0.3008,0,False,False,0,6.88,6.445,3.089,3.132,2018,6.815,3,6.445
TWN,-1.3816000000000002,0.0,,0.8259000000000001,0,True,True,0,3.631,4.12,1.607,1.669,2020,3.823,7,4.12
UKR,1.5779,0.0,,0.4499000000000001,0,False,False,0,5.982,5.982,2.604,2.604,1998,5.087,1,5.982
URY,-2.7085999999999997,0.0,,0.8692,0,True,True,0,5.47,5.622,2.9,3.009,2019,4.324,2,5.622
USA,1.4709999999999999,1.0,FPTP,0.843,1,True,True,0,4.73,6.173,2.177,2.724,2020,2.217,6,6.173
ZAF,0.18539999999999998,0.0,PR-list,0.7327,1,False,True,0,5.568,5.366,2.5,2.423,2014,7.324,2,5.366
