state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_STY,inc_NAT,inc_PRG,inc_DSA
46,SD,NAT_1,NAT,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,STY_1,STY,8.76,0.51,0.0,5.06,0.0,0.76,0.0,0.0,0.0,0.0,1.89
47,TN,CON_1,CON,30.82,0.0,0.0,5.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_2,CON,0.0,14.01,1.99,0.0,0.0,0.0,0.0,0.55,2.01,0.0,0.0
47,TN,CUP_1,CUP,7.53,0.74,4.25,1.63,0.0,0.0,4.68,0.0,0.0,0.0,0.0
47,TN,LBR_1,LBR,6.64,0.0,0.0,2.44,0.0,0.0,0.0,3.18,0.0,0.0,6.65
47,TN,NAT_1,NAT,18.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,CON_1,CON,22.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,CUP_1,CUP,9.34,2.07,4.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,LBR_1,LBR,13.26,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72
48,TX,NAT_1,NAT,11.58,0.64,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,STY_1,STY,10.76,0.55,0.84,0.0,2.23,0.0,0.0,0.0,0.0,0.0,2.38
49,UT,CON_1,CON,17.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CUP_1,CUP,8.52,0.0,1.76,0.0,0.0,0.0,6.11,0.95,0.0,0.0,0.0
49,UT,DSA_1,DSA,8.54,0.0,0.0,0.0,0.0,0.0,3.78,1.7,0.0,2.08,0.0
49,UT,LBR_1,LBR,17.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,POP_1,POP,11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,0.0
50,VT,CON_1,CON,11.92,0.0,0.0,0.0,0.0,2.16,0.0,0.0,5.19,0.0,0.0
50,VT,LBR_1,LBR,10.0,0.0,0.0,0.0,0.0,2.37,0.0,2.22,0.0,0.0,4.83
50,VT,LIB_1,LIB,14.27,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,VT,PRG_1,PRG,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,VT,PRG_2,PRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.56,0.0
51,VA,CON_1,CON,20.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LBR_1,LBR,15.72,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LIB_1,LIB,10.71,0.0,0.77,0.0,0.0,0.98,0.0,0.0,0.0,10.6,0.55
51,VA,NAT_1,NAT,12.54,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,STY_1,STY,6.16,0.0,0.71,6.03,0.0,0.0,0.0,0.0,0.0,0.0,3.81
53,WA,CON_1,CON,13.52,0.0,4.76,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0
53,WA,LBR_1,LBR,12.72,0.0,0.0,0.0,0.0,2.61,0.0,2.16,0.0,0.0,0.0
53,WA,LIB_1,LIB,14.46,0.0,2.61,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
53,WA,POP_1,POP,6.92,1.56,0.0,0.0,0.0,1.43,0.0,1.08,11.05,0.0,0.0
53,WA,PRG_1,PRG,13.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87
54,WV,CON_1,CON,22.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,CUP_1,CUP,11.22,0.9,4.59,0.0,1.45,0.0,1.18,0.0,0.0,0.0,0.0
54,WV,LBR_1,LBR,13.74,0.0,2.09,0.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0
54,WV,NAT_1,NAT,12.31,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,STY_1,STY,10.86,0.53,1.95,0.0,4.13,0.0,0.0,0.0,0.0,0.0,3.8
55,WI,CON_1,CON,23.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,WI,CON_2,CON,0.0,6.32,3.93,0.0,0.0,1.4,0.0,0.0,7.57,0.0,0.0
55,WI,LBR_1,LBR,12.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81
55,WI,LIB_1,LIB,11.03,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,9.32,0.0
55,WI,POP_1,POP,8.69,0.0,0.0,0.0,0.0,0.56,0.0,5.15,4.26,0.0,0.0
56,WY,CON_1,CON,30.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,WY,CON_2,CON,0.0,11.96,0.0,0.0,0.0,0.0,0.0,0.0,10.37,0.0,0.0
56,WY,CUP_1,CUP,7.28,2.92,2.42,0.75,1.77,0.0,0.0,0.68,0.0,0.0,0.0
56,WY,LIB_1,LIB,13.5,0.0,0.87,0.0,6.12,0.0,0.0,0.0,0.0,1.65,0.0
56,WY,POP_1,POP,16.97,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0
