state_abbr,state_fips,senate_cond_mixed,senate_irv_mixed,senate_cond_pure,senate_irv_pure,pres_irv_mixed,pres_irv_pure,house_CON,house_SD,house_STY,house_NAT,house_LIB,house_REF,house_CTR,house_BD,house_DSA,house_PRG,house_total_seats
KY,21,CON/CTR,CON/CTR,CON,CON,CON/STY,CON,2,2,2,2,1,2,1,0,0,0,12
LA,22,CON,CON,STY,STY,CON/STY,SD,2,2,2,1,1,2,2,0,0,0,12
MA,25,SD,SD,SD,SD,SD/CTR,SD,3,4,3,0,4,2,0,0,2,0,18
MD,24,SD/STY,SD/STY,SD,SD,SD/CTR,SD,3,4,4,0,2,1,1,0,0,1,16
ME,23,SD/LIB,REF/STY,STY,REF,SD/CON,CTR,1,1,0,0,1,1,0,0,0,0,4
MI,26,SD,SD,STY,STY,CON/STY,SD,5,5,3,1,4,5,3,0,1,0,27
MN,27,SD/STY,SD/STY,CTR,STY,CON/SD,STY,3,2,2,0,3,2,2,0,0,1,15
MO,29,CON/REF,CON/REF,CTR,CON,CON/SD,CON,3,3,3,1,1,2,2,0,1,0,16
MS,28,CON/REF,CON/CTR,SD,CTR,CON/SD,CTR,2,1,2,0,0,2,1,0,0,0,8
MT,30,CON/REF,CON/REF,SD,CON,SD/CON,CTR,1,1,1,0,0,0,0,0,0,0,3
NC,37,CON/CTR,CON/CTR,CON,REF,CON/SD,STY,5,5,5,1,3,4,3,0,1,0,27
ND,38,REF/SD,CTR/LIB,REF,REF,CON/SD,STY,0,1,0,0,0,1,0,0,0,0,2
NE,31,CON/SD,CON/SD,CTR,CTR,SD/CON,SD,1,1,1,0,0,1,1,0,0,0,5
NH,33,SD/LIB,SD/LIB,STY,STY,SD/CON,SD,1,1,0,0,0,0,1,0,1,0,4
NJ,34,CON/SD,CON/SD,SD,CON,CON/STY,CTR,4,4,4,1,4,3,3,0,1,0,24
NM,35,CON/STY,CON/STY,SD,SD,CON/SD,SD,2,2,2,0,0,0,0,0,0,0,6
NV,32,SD/STY,SD/STY,STY,STY,SD/CON,SD,2,2,1,0,1,2,0,0,0,0,8
NY,36,SD/STY,SD/STY,STY,CTR,SD/CON,STY,9,9,9,0,8,8,6,0,4,0,53
OH,39,CON/CTR,CON/REF,CON,CON,CON/SD,CTR,5,5,4,2,3,5,5,0,2,0,31
OK,40,CON,CON,CON,REF,CON/SD,CTR,2,2,2,1,0,1,2,0,0,0,10
OR,41,SD,SD,SD,SD,SD/CTR,STY,2,2,2,1,3,1,0,0,0,0,11
PA,42,CON/SD,CON/SD,SD,SD,SD/CON,CON,5,6,5,1,4,5,4,0,2,2,34
RI,44,LIB,LIB,SD,SD,STY/SD,SD,1,1,1,0,0,0,0,0,0,0,3
SC,45,SD,CTR,STY,STY,SD/CON,STY,3,2,3,0,0,3,1,0,1,0,13
SD,46,CON/CTR,CON/CTR,CON,CON,STY/SD,CON,1,0,1,0,0,0,0,0,0,0,2
TN,47,CON,CON,CTR,CTR,SD/CTR,CTR,4,1,4,2,1,2,4,0,0,0,18
TX,48,STY/CON,STY/CON,STY,CON,SD/CON,STY,14,14,14,3,4,12,14,0,2,0,77
UT,49,STY,STY,CTR,CTR,SD/CON,SD,3,1,3,0,0,2,0,0,0,0,9
VA,51,CON/SD,CON/SD,CON,CON,SD/CON,CTR,5,5,5,0,4,1,2,0,1,0,23
VT,50,STY,PRG/DSA,CTR,CTR,SD/CTR,CON,1,1,0,0,0,0,0,0,0,0,2
WA,53,SD,SD,SD,SD,SD/CON,SD,4,4,3,0,4,3,1,0,1,0,20
WI,55,STY,SD,CON,CON,SD/CTR,SD,4,4,3,0,2,3,0,0,0,0,16
WV,54,STY/REF,STY/REF,CTR,CTR,STY/SD,CON,1,1,1,0,0,1,1,0,0,0,5
WY,56,STY,STY,CTR,STY,SD/CON,CON,1,0,0,0,0,1,0,0,0,0,2
