state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_LIB,inc_NAT,inc_PRG,inc_DSA
47,TN,STY_1,STY,7.9,0.0,0.0,0.0,0.0,4.97,0.0,6.19,0.0,0.0,4.98
48,TX,CON_1,CON,21.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,CUP_1,CUP,9.71,1.82,4.2,6.96,0.0,0.0,0.0,1.72,0.0,0.0,0.0
48,TX,LBR_1,LBR,13.37,0.0,1.23,0.0,0.0,0.0,0.0,9.5,0.0,0.0,4.65
48,TX,NAT_1,NAT,10.75,0.57,0.0,3.55,0.0,0.0,2.49,0.0,0.0,0.0,0.0
48,TX,STY_1,STY,12.9,0.0,0.78,0.0,0.0,2.35,0.0,0.0,0.0,0.0,2.35
49,UT,CON_1,CON,16.79,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CUP_1,CUP,8.87,0.61,1.7,0.0,0.0,0.0,0.0,5.67,2.71,0.0,0.0
49,UT,LBR_1,LBR,17.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94
49,UT,POP_1,POP,11.47,0.52,0.0,0.0,0.0,0.0,0.0,0.0,8.27,0.0,0.0
49,UT,STY_1,STY,11.24,0.0,0.0,3.02,0.0,0.0,2.88,0.0,0.0,0.0,0.83
50,VT,CON_1,CON,12.04,0.0,0.0,5.36,0.0,0.0,0.0,0.0,4.29,0.0,0.0
50,VT,LBR_1,LBR,10.51,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,4.97
50,VT,LIB_1,LIB,13.78,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,12.08,0.0
50,VT,OAO_1,OAO,9.83,1.6,0.0,0.0,0.0,0.0,6.92,0.0,0.0,0.0,0.0
50,VT,PRG_1,PRG,29.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,CON_1,CON,20.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08,0.0,0.0
51,VA,CUP_1,CUP,6.48,1.36,2.03,1.23,1.63,0.0,0.0,6.57,0.0,0.0,0.0
51,VA,LBR_1,LBR,16.14,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LIB_1,LIB,10.1,0.0,0.76,0.0,0.65,0.0,0.0,0.0,0.0,11.08,0.56
51,VA,STY_1,STY,7.52,0.0,0.7,6.34,0.0,0.69,0.0,0.0,0.0,0.0,3.86
53,WA,CON_1,CON,13.43,0.0,2.43,4.96,0.55,0.0,0.0,0.0,11.57,0.0,0.0
53,WA,CUP_1,CUP,7.19,0.8,2.65,0.72,0.64,1.3,0.0,5.15,0.0,0.0,1.65
53,WA,LBR_1,LBR,13.15,1.95,0.6,1.76,2.65,0.0,0.0,0.0,0.0,0.0,0.0
53,WA,LIB_1,LIB,13.73,0.0,1.79,0.0,0.0,0.98,0.0,0.0,0.0,0.0,7.75
53,WA,PRG_1,PRG,12.72,0.0,0.0,0.0,0.0,0.0,1.69,2.31,0.0,0.0,0.88
54,WV,CON_1,CON,21.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0
54,WV,CUP_1,CUP,11.65,0.78,7.24,0.0,0.0,2.88,0.0,0.94,0.0,0.0,0.0
54,WV,LBR_1,LBR,13.82,0.0,0.0,0.0,0.0,0.0,0.0,7.35,0.0,0.0,0.0
54,WV,POP_1,POP,7.91,1.36,1.35,0.0,0.0,1.66,6.41,0.0,0.0,0.0,0.0
54,WV,STY_1,STY,12.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75
55,WI,CON_1,CON,22.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,0.0,0.0
55,WI,LBR_1,LBR,12.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85
55,WI,LIB_1,LIB,10.42,0.0,3.56,0.0,0.0,0.0,0.53,0.0,0.0,8.75,0.0
55,WI,POP_1,POP,9.04,5.03,0.0,0.0,5.85,0.0,0.59,0.0,4.03,0.0,0.0
55,WI,STY_1,STY,6.85,1.0,4.54,0.0,0.0,0.62,2.84,6.7,0.0,0.0,0.0
56,WY,CON_1,CON,29.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,WY,CON_2,CON,0.0,11.67,0.0,0.67,0.0,0.0,0.0,0.0,9.79,0.0,0.0
56,WY,CUP_1,CUP,7.7,3.54,2.37,1.57,0.82,5.65,0.0,0.0,0.0,0.0,0.0
56,WY,LIB_1,LIB,12.71,0.0,0.86,0.0,0.0,8.88,0.0,0.0,0.0,1.52,0.0
56,WY,POP_1,POP,17.58,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0
