respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25
14169,LK,CTR_con,LIB_sd,CTR_sty,CO,MW,SD_lib,LIB_dsa,SD_sty,CON_ctr,STY_ctr,RH,CON_ref,STY_sd,JR,MRJ,REF_nat,PRG_dsa,DSA_lib,DSA_prg,REF_con,DH,BE,ZN,NAT_ref
14170,NAT_ref,RH,CON_ref,BE,REF_nat,DH,REF_con,CON_ctr,LK,CTR_con,CTR_sty,STY_ctr,MRJ,STY_sd,PRG_dsa,SD_lib,LIB_dsa,ZN,LIB_sd,SD_sty,MW,JR,DSA_lib,DSA_prg,CO
14171,CTR_con,CTR_sty,CO,LK,CON_ctr,LIB_sd,SD_lib,MW,LIB_dsa,SD_sty,RH,STY_sd,MRJ,STY_ctr,CON_ref,JR,PRG_dsa,DSA_lib,DSA_prg,DH,ZN,REF_con,REF_nat,NAT_ref,BE
14172,RH,CON_ctr,CTR_con,CON_ref,REF_con,BE,LK,CTR_sty,REF_nat,STY_ctr,NAT_ref,DH,MRJ,STY_sd,SD_sty,MW,SD_lib,LIB_dsa,LIB_sd,DSA_prg,CO,PRG_dsa,JR,DSA_lib,ZN
14173,PRG_dsa,DSA_prg,JR,DSA_lib,ZN,LIB_dsa,SD_lib,SD_sty,LIB_sd,MW,CO,STY_sd,MRJ,STY_ctr,CTR_sty,LK,CTR_con,BE,CON_ctr,REF_nat,RH,NAT_ref,REF_con,DH,CON_ref
14174,MW,SD_sty,SD_lib,DSA_prg,DSA_lib,LIB_dsa,LIB_sd,CO,STY_sd,MRJ,CTR_con,ZN,STY_ctr,PRG_dsa,JR,CTR_sty,LK,CON_ctr,RH,DH,CON_ref,REF_con,REF_nat,NAT_ref,BE
14175,JR,SD_lib,CO,LIB_dsa,PRG_dsa,MW,LIB_sd,SD_sty,DSA_lib,ZN,DSA_prg,STY_sd,STY_ctr,CTR_con,CTR_sty,LK,MRJ,CON_ctr,RH,CON_ref,NAT_ref,DH,REF_nat,BE,REF_con
14176,CTR_sty,CTR_con,LK,CON_ref,CON_ctr,STY_ctr,SD_sty,RH,MRJ,REF_con,STY_sd,REF_nat,DH,MW,SD_lib,BE,CO,NAT_ref,LIB_dsa,LIB_sd,JR,DSA_prg,DSA_lib,PRG_dsa,ZN
14177,CON_ctr,LK,CTR_con,CTR_sty,RH,SD_lib,CON_ref,CO,SD_sty,LIB_sd,MW,STY_ctr,STY_sd,REF_con,LIB_dsa,REF_nat,MRJ,DH,NAT_ref,BE,PRG_dsa,JR,DSA_lib,DSA_prg,ZN
14178,DSA_prg,ZN,PRG_dsa,JR,DSA_lib,CO,SD_lib,LIB_dsa,MW,LIB_sd,SD_sty,STY_sd,STY_ctr,MRJ,CTR_sty,LK,CTR_con,CON_ref,BE,REF_nat,NAT_ref,CON_ctr,DH,RH,REF_con
14179,LIB_dsa,SD_lib,SD_sty,MW,STY_sd,STY_ctr,MRJ,LIB_sd,CTR_sty,CO,DSA_lib,RH,ZN,DSA_prg,LK,CTR_con,CON_ref,CON_ctr,PRG_dsa,JR,REF_con,DH,REF_nat,BE,NAT_ref
