respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
206,MW,MRJ,CO,LK,RH,ZN,JR,DH,BE
207,RH,DH,BE,LK,MRJ,MW,CO,ZN,JR
208,RH,LK,BE,DH,MW,MRJ,JR,CO,ZN
209,RH,LK,DH,BE,MRJ,MW,CO,JR,ZN
210,BE,DH,RH,MW,MRJ,LK,CO,ZN,JR
211,MW,CO,LK,JR,ZN,MRJ,RH,DH,BE
212,MRJ,MW,ZN,DH,LK,CO,JR,RH,BE
213,DH,MRJ,RH,BE,MW,LK,CO,JR,ZN
214,MW,CO,LK,MRJ,ZN,JR,RH,DH,BE
215,LK,CO,RH,MW,MRJ,JR,DH,ZN,BE
216,JR,CO,ZN,MW,MRJ,LK,BE,RH,DH
217,JR,ZN,CO,MW,MRJ,LK,RH,DH,BE
218,RH,LK,BE,DH,MRJ,MW,CO,ZN,JR
219,JR,CO,ZN,MW,MRJ,LK,RH,BE,DH
220,BE,RH,DH,LK,MRJ,CO,ZN,MW,JR
221,CO,MW,JR,ZN,LK,MRJ,RH,DH,BE
222,RH,DH,BE,MRJ,LK,MW,JR,CO,ZN
223,MRJ,DH,ZN,CO,MW,RH,LK,JR,BE
224,MRJ,MW,ZN,CO,RH,LK,DH,JR,BE
225,DH,RH,BE,LK,MRJ,MW,CO,JR,ZN
226,LK,MW,RH,CO,MRJ,DH,JR,ZN,BE
227,RH,LK,DH,MW,MRJ,BE,CO,ZN,JR
228,RH,LK,CO,MW,MRJ,BE,DH,JR,ZN
229,JR,ZN,CO,MW,MRJ,LK,RH,DH,BE
230,ZN,JR,MW,MRJ,CO,LK,BE,RH,DH
231,RH,BE,DH,LK,MRJ,MW,JR,CO,ZN
232,MW,JR,CO,MRJ,LK,ZN,RH,DH,BE
233,DH,BE,RH,MRJ,LK,MW,CO,ZN,JR
234,JR,ZN,MW,CO,MRJ,LK,BE,RH,DH
235,CO,JR,MW,ZN,MRJ,LK,DH,BE,RH
236,JR,CO,MW,ZN,MRJ,LK,BE,RH,DH
237,JR,ZN,CO,MW,MRJ,LK,RH,DH,BE
238,JR,CO,ZN,MW,MRJ,LK,RH,DH,BE
239,RH,LK,MW,MRJ,DH,CO,BE,ZN,JR
240,DH,BE,RH,LK,MRJ,MW,JR,ZN,CO
241,ZN,JR,CO,MW,MRJ,LK,BE,DH,RH
242,JR,CO,MW,ZN,MRJ,LK,DH,RH,BE
243,MW,CO,JR,MRJ,ZN,LK,RH,DH,BE
244,CO,LK,MW,JR,MRJ,RH,ZN,DH,BE
245,DH,BE,RH,MRJ,LK,MW,JR,CO,ZN
246,LK,RH,DH,MW,MRJ,CO,BE,JR,ZN
247,RH,LK,DH,MW,MRJ,BE,CO,JR,ZN
248,LK,RH,BE,DH,MRJ,MW,CO,JR,ZN
249,JR,CO,MW,ZN,MRJ,LK,RH,DH,BE
250,RH,LK,BE,DH,MRJ,MW,CO,JR,ZN
251,LK,RH,MW,CO,MRJ,DH,BE,ZN,JR
252,MW,MRJ,ZN,CO,JR,LK,RH,DH,BE
253,MRJ,ZN,MW,CO,JR,LK,DH,RH,BE
254,RH,BE,DH,LK,MRJ,MW,CO,JR,ZN
255,CO,MW,JR,LK,ZN,MRJ,RH,DH,BE
256,JR,CO,MW,ZN,LK,MRJ,BE,DH,RH
257,MW,JR,ZN,CO,MRJ,LK,DH,RH,BE
258,BE,RH,DH,LK,MRJ,JR,MW,ZN,CO
259,MRJ,MW,CO,ZN,LK,JR,DH,RH,BE
260,LK,CO,MW,RH,JR,MRJ,ZN,DH,BE
261,JR,MW,ZN,CO,MRJ,LK,RH,DH,BE
262,JR,CO,ZN,MW,LK,MRJ,RH,BE,DH
263,LK,CO,MW,RH,JR,MRJ,ZN,BE,DH
264,RH,BE,DH,LK,MRJ,MW,JR,CO,ZN
265,LK,RH,BE,DH,MRJ,MW,CO,ZN,JR
266,MRJ,MW,ZN,CO,DH,RH,JR,LK,BE
267,CO,MW,LK,RH,MRJ,JR,ZN,DH,BE
268,LK,RH,MRJ,MW,CO,DH,ZN,JR,BE
269,CO,MW,LK,JR,MRJ,ZN,RH,DH,BE
270,ZN,JR,MW,CO,MRJ,LK,RH,DH,BE
271,MW,ZN,MRJ,CO,JR,LK,RH,DH,BE
272,MW,CO,MRJ,ZN,JR,LK,RH,DH,BE
273,MW,CO,MRJ,LK,JR,ZN,RH,DH,BE
274,BE,DH,RH,MRJ,ZN,MW,CO,LK,JR
275,MW,ZN,MRJ,CO,JR,LK,RH,DH,BE
276,MW,CO,JR,ZN,MRJ,LK,RH,DH,BE
277,LK,RH,MW,MRJ,DH,CO,BE,ZN,JR
278,CO,LK,MW,MRJ,JR,RH,ZN,BE,DH
279,DH,BE,RH,MRJ,LK,MW,JR,CO,ZN
280,MW,JR,CO,ZN,MRJ,LK,RH,BE,DH
281,CO,LK,MW,RH,MRJ,JR,ZN,BE,DH
282,MW,CO,LK,RH,MRJ,JR,ZN,DH,BE
283,ZN,JR,CO,MW,MRJ,LK,DH,RH,BE
284,MW,MRJ,DH,ZN,CO,LK,RH,JR,BE
285,LK,RH,MW,MRJ,DH,BE,CO,JR,ZN
286,JR,ZN,CO,MW,MRJ,LK,DH,BE,RH
287,RH,DH,BE,MRJ,LK,MW,CO,ZN,JR
288,MW,MRJ,CO,JR,LK,ZN,RH,DH,BE
289,LK,RH,MW,MRJ,CO,DH,JR,BE,ZN
290,RH,DH,LK,MRJ,MW,BE,CO,JR,ZN
291,ZN,MRJ,MW,JR,CO,RH,LK,BE,DH
292,MRJ,LK,DH,MW,RH,BE,CO,JR,ZN
293,MW,CO,MRJ,LK,JR,ZN,RH,DH,BE
294,BE,RH,DH,LK,MRJ,ZN,MW,CO,JR
