diagnostic,phase,candidate_code,candidate_name,raw_votes,vote_pct,status,pod,votes_from_pod,pod_total_votes,pct_of_pod,finalist_national_total,pct_of_finalist_total,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
transfer_analysis,,,,,,,,,,,,,MW,SD,After_Pod_BD,surplus,MRJ,STY,1013.1643,11.72,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MW,SD,After_Pod_BD,surplus,DH,REF,22.5422,0.26,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MW,SD,After_Pod_C,surplus,CO,LIB,597.7536,15.85,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MW,SD,After_Pod_C,surplus,JR,PRG,159.8152,4.24,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MW,SD,After_Retail_Six,surplus,CO,LIB,55.5723,16.77,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MW,SD,After_Retail_Six,surplus,MRJ,STY,29.4994,8.9,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,MW,SD,After_Retail_Six,surplus,ZN,DSA,11.2065,3.38,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Pod_A,surplus,BE,NAT,226.7405,10.53,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Pod_A,surplus,DH,REF,171.1887,7.95,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Pod_A,surplus,MW,SD,133.1242,6.19,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Pod_BD,surplus,LK,CTR,708.5146,7.72,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Pod_BD,surplus,DH,REF,646.3971,7.04,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Pod_BD,surplus,MRJ,STY,143.2859,1.56,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Pod_C,surplus,LK,CTR,484.0176,11.93,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Pod_C,surplus,DH,REF,409.9202,10.11,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Pod_C,surplus,MRJ,STY,97.8959,2.41,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Retail_Six,surplus,LK,CTR,51.9586,14.76,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Retail_Six,surplus,BE,NAT,30.3693,8.63,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,RH,CON,After_Retail_Six,surplus,DH,REF,22.1287,6.28,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,ZN,DSA,After_Retail_Six,elimination,JR,PRG,62.7168,39.58,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,ZN,DSA,After_Retail_Six,elimination,MRJ,STY,55.5001,35.03,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,ZN,DSA,After_Retail_Six,elimination,MW,SD,32.4432,20.48,,,,,,,,,,
condorcet,,,,,,,,,,,,,,,,,,,,,DH,RH,15188.9812,30442.1611,RH,15253.1799,33.4271,1.0,True,MW
condorcet,,,,,,,,,,,,,,,,,,,,,CO,MW,16054.1595,29576.9828,MW,13522.8233,29.6351,2.0,True,MW
condorcet,,,,,,,,,,,,,,,,,,,,,DH,LK,17026.4086,28604.7337,LK,11578.3251,25.3737,3.0,True,MW
condorcet,,,,,,,,,,,,,,,,,,,,,DH,MW,17755.3844,27875.7579,MW,10120.3735,22.1787,4.0,True,MW
condorcet,,,,,,,,,,,,,,,,,,,,,CO,LK,19524.8851,26106.2571,LK,6581.372,14.423,5.0,True,MW
condorcet,,,,,,,,,,,,,,,,,,,,,CO,RH,20610.3598,25020.7825,RH,4410.4227,9.6654,6.0,True,MW
condorcet,,,,,,,,,,,,,,,,,,,,,LK,RH,24056.0986,21575.0437,LK,2481.0549,5.4372,7.0,True,MW
condorcet,,,,,,,,,,,,,,,,,,,,,CO,DH,24003.3736,21627.7687,CO,2375.6049,5.2061,8.0,True,MW
condorcet,,,,,,,,,,,,,,,,,,,,,MW,RH,23551.641,22079.5013,MW,1472.1397,3.2262,9.0,True,MW
condorcet,,,,,,,,,,,,,,,,,,,,,LK,MW,22257.1213,23374.0209,MW,1116.8996,2.4477,10.0,True,MW
