respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38
20,CON_lo_pc,LBR_hi_so,LBR_lo_pc,LBR_hi_es,CON_hi_es,LBR,STY_hi_so,OAO,STY_lo_pc,CON,LBR_lo_es,CON_lo_es,LBR_hi_pc,STY_lo_es,STY,LBR_lo_so,STY_hi_es,CON_hi_pc,STY_hi_pc,STY_lo_so,POP,POP_lo_pc,LIB_lo_pc,LIB,POP_lo_es,LIB_hi_pc,POP_hi_es,POP_hi_pc,CUP_lo_pc,PRG,CUP,CUP_hi_pc,DSA,DSA_lo_es,DSA_hi_es,NAT,NAT_hi_es,NAT_lo_es
21,PRG,DSA_lo_es,DSA,LIB,LIB_hi_pc,LIB_lo_pc,DSA_hi_es,LBR_lo_so,LBR_lo_es,LBR_lo_pc,LBR,LBR_hi_es,LBR_hi_pc,LBR_hi_so,STY_lo_so,STY_lo_es,STY_lo_pc,STY,STY_hi_es,STY_hi_pc,STY_hi_so,CUP_lo_pc,CUP,CUP_hi_pc,POP,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,CON,CON_lo_pc,CON_lo_es,CON_hi_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
22,STY_hi_es,STY_hi_so,STY,STY_lo_pc,STY_hi_pc,STY_lo_so,LBR_hi_es,STY_lo_es,LBR_hi_pc,LBR_hi_so,LBR,LBR_lo_so,LBR_lo_pc,POP_lo_pc,LBR_lo_es,POP_hi_es,POP,POP_lo_es,POP_hi_pc,CON_hi_es,CON_lo_pc,CON,CON_hi_pc,CON_lo_es,DSA_hi_es,DSA,DSA_lo_es,OAO,CUP,CUP_lo_pc,CUP_hi_pc,LIB,LIB_hi_pc,LIB_lo_pc,NAT,NAT_hi_es,NAT_lo_es,PRG
23,NAT_hi_es,NAT,NAT_lo_es,CON_hi_pc,CON_hi_es,POP_hi_pc,CON,POP,POP_hi_es,POP_lo_es,POP_lo_pc,CON_lo_es,CON_lo_pc,STY_hi_pc,STY_hi_so,STY_hi_es,STY,STY_lo_es,STY_lo_so,STY_lo_pc,CUP_hi_pc,OAO,CUP,CUP_lo_pc,LBR,LBR_hi_pc,LBR_hi_so,LBR_hi_es,LBR_lo_es,LBR_lo_so,LBR_lo_pc,LIB,LIB_hi_pc,LIB_lo_pc,DSA,DSA_hi_es,DSA_lo_es,PRG
24,STY_hi_so,POP_lo_pc,STY_lo_es,STY_hi_pc,STY,STY_lo_pc,STY_hi_es,CON_lo_pc,CON_hi_es,POP_lo_es,POP,CON,STY_lo_so,POP_hi_es,CON_lo_es,CON_hi_pc,POP_hi_pc,LBR_hi_so,LBR_hi_pc,LBR_hi_es,LBR,LBR_lo_es,LBR_lo_so,LBR_lo_pc,OAO,CUP,CUP_hi_pc,CUP_lo_pc,LIB_hi_pc,NAT,NAT_lo_es,NAT_hi_es,LIB,LIB_lo_pc,DSA_lo_es,DSA,DSA_hi_es,PRG
25,PRG,DSA_lo_es,DSA,LIB,LIB_hi_pc,LIB_lo_pc,DSA_hi_es,LBR_lo_so,LBR_lo_es,LBR_lo_pc,LBR,LBR_hi_es,LBR_hi_pc,LBR_hi_so,STY_lo_es,STY_lo_pc,STY_lo_so,STY,STY_hi_es,STY_hi_so,STY_hi_pc,CUP_lo_pc,CUP,CUP_hi_pc,POP,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,CON,CON_lo_pc,CON_lo_es,CON_hi_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
26,DSA_lo_es,LBR_lo_so,LBR_lo_pc,DSA,DSA_hi_es,LBR_hi_es,LBR,LBR_lo_es,STY_lo_pc,LBR_hi_pc,LBR_hi_so,STY_lo_so,STY_lo_es,STY,STY_hi_es,STY_hi_so,STY_hi_pc,PRG,LIB_lo_pc,LIB,LIB_hi_pc,CUP_lo_pc,CUP,CUP_hi_pc,POP,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,CON,CON_lo_pc,CON_hi_es,CON_lo_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
27,PRG,DSA_lo_es,LIB,LIB_hi_pc,LIB_lo_pc,LBR_lo_so,DSA,LBR_lo_es,LBR_lo_pc,LBR,DSA_hi_es,LBR_hi_es,LBR_hi_pc,LBR_hi_so,STY_lo_es,STY_lo_pc,STY_lo_so,STY,CUP_lo_pc,STY_hi_so,STY_hi_es,CUP,STY_hi_pc,CUP_hi_pc,POP,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,CON_lo_pc,CON,CON_lo_es,CON_hi_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
28,CON_lo_es,CON,CON_hi_pc,CON_lo_pc,CUP_hi_pc,CUP,CON_hi_es,STY_lo_es,CUP_lo_pc,STY_hi_so,POP_lo_es,STY_hi_pc,STY,POP_lo_pc,POP,STY_lo_pc,STY_lo_so,POP_hi_pc,STY_hi_es,POP_hi_es,OAO,NAT_lo_es,NAT,NAT_hi_es,LBR_hi_pc,LBR_hi_so,LBR_lo_es,LBR,LBR_hi_es,LBR_lo_so,LBR_lo_pc,LIB_hi_pc,LIB,LIB_lo_pc,DSA,DSA_lo_es,DSA_hi_es,PRG
29,STY_lo_so,STY_hi_es,STY_lo_pc,STY,STY_lo_es,STY_hi_pc,STY_hi_so,LBR_hi_es,LBR_lo_so,LBR_hi_pc,DSA_hi_es,LBR,LBR_lo_pc,DSA,LBR_hi_so,LBR_lo_es,DSA_lo_es,POP_lo_pc,POP_hi_es,POP,POP_lo_es,POP_hi_pc,CUP,CUP_lo_pc,CUP_hi_pc,LIB_hi_pc,LIB,LIB_lo_pc,CON,CON_hi_es,CON_lo_pc,CON_lo_es,CON_hi_pc,OAO,PRG,NAT,NAT_hi_es,NAT_lo_es
30,STY_hi_pc,STY_hi_es,STY_lo_so,STY,STY_hi_so,STY_lo_es,STY_lo_pc,POP_lo_pc,POP_hi_es,POP,POP_lo_es,POP_hi_pc,LBR_hi_pc,LBR_hi_es,LBR_lo_so,LBR,LBR_hi_so,LBR_lo_es,LBR_lo_pc,CON,CON_hi_es,CON_hi_pc,CON_lo_pc,CON_lo_es,CUP,CUP_hi_pc,CUP_lo_pc,DSA_hi_es,DSA,DSA_lo_es,OAO,LIB,LIB_hi_pc,LIB_lo_pc,NAT,NAT_hi_es,NAT_lo_es,PRG
31,OAO,LBR_hi_so,CON_lo_pc,CUP_lo_pc,LBR_lo_es,CON_lo_es,CUP,LBR,LBR_lo_pc,CON,LBR_hi_pc,LIB_hi_pc,LIB,CUP_hi_pc,LBR_hi_es,CON_hi_es,LIB_lo_pc,LBR_lo_so,CON_hi_pc,STY_hi_so,STY_lo_es,POP_lo_pc,STY_lo_pc,POP_lo_es,STY,POP,STY_hi_pc,STY_hi_es,STY_lo_so,POP_hi_es,POP_hi_pc,NAT,NAT_lo_es,NAT_hi_es,PRG,DSA,DSA_lo_es,DSA_hi_es
32,CUP_lo_pc,CUP,LBR_lo_es,STY_lo_es,LBR_hi_so,LBR_lo_pc,STY_lo_pc,LBR,CUP_hi_pc,STY_hi_so,LIB_hi_pc,LBR_hi_pc,LIB,STY,LBR_lo_so,LIB_lo_pc,LBR_hi_es,STY_lo_so,STY_hi_pc,STY_hi_es,CON_lo_pc,POP,CON_lo_es,POP_lo_pc,POP_lo_es,CON,CON_hi_es,CON_hi_pc,POP_hi_es,OAO,POP_hi_pc,DSA_lo_es,DSA,DSA_hi_es,PRG,NAT,NAT_lo_es,NAT_hi_es
33,OAO,CUP_lo_pc,CON_lo_pc,CUP,CON_lo_es,STY_lo_es,LBR_hi_so,STY_hi_so,STY_lo_pc,LBR_lo_es,CUP_hi_pc,CON,LBR_lo_pc,LIB,LIB_hi_pc,LBR,LIB_lo_pc,STY,CON_hi_es,LBR_hi_pc,LBR_hi_es,STY_hi_pc,CON_hi_pc,LBR_lo_so,STY_lo_so,STY_hi_es,POP,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,NAT,DSA,DSA_lo_es,NAT_lo_es,DSA_hi_es,PRG,NAT_hi_es
34,LIB_lo_pc,LIB,CUP_lo_pc,LIB_hi_pc,LBR_lo_pc,CUP,LBR_lo_es,LBR_hi_so,LBR,LBR_lo_so,LBR_hi_es,STY_lo_pc,STY_lo_es,LBR_hi_pc,CUP_hi_pc,STY_hi_so,STY,STY_lo_so,STY_hi_es,STY_hi_pc,CON_lo_pc,POP,CON_lo_es,OAO,CON,CON_hi_es,CON_hi_pc,POP_lo_pc,POP_lo_es,DSA_lo_es,DSA,DSA_hi_es,POP_hi_es,POP_hi_pc,PRG,NAT,NAT_lo_es,NAT_hi_es
35,CUP_hi_pc,POP_lo_es,CUP,POP_hi_pc,POP,POP_lo_pc,STY_hi_pc,STY_lo_es,CON_hi_pc,CUP_lo_pc,POP_hi_es,STY_hi_so,CON_lo_es,STY,CON,CON_hi_es,STY_lo_so,CON_lo_pc,STY_hi_es,STY_lo_pc,NAT_lo_es,LBR_hi_pc,NAT,LBR_hi_so,NAT_hi_es,LBR_lo_es,LBR,LBR_hi_es,LBR_lo_so,OAO,LBR_lo_pc,LIB_hi_pc,LIB,LIB_lo_pc,DSA,DSA_lo_es,DSA_hi_es,PRG
36,CUP_lo_pc,CUP,CON_lo_pc,CUP_hi_pc,CON_lo_es,STY_lo_es,OAO,STY,CON,STY_hi_so,STY_lo_pc,CON_hi_es,CON_hi_pc,STY_hi_pc,STY_lo_so,STY_hi_es,LBR_lo_es,LBR_hi_so,POP,LBR_lo_pc,LBR,LBR_hi_pc,LBR_hi_es,LBR_lo_so,LIB_hi_pc,LIB,LIB_lo_pc,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,NAT,NAT_lo_es,NAT_hi_es,DSA,PRG,DSA_lo_es,DSA_hi_es
37,STY_hi_pc,POP_lo_es,POP_lo_pc,POP,STY_lo_es,STY,STY_lo_so,STY_hi_so,POP_hi_es,POP_hi_pc,STY_hi_es,STY_lo_pc,LBR_hi_pc,LBR_hi_es,LBR,LBR_lo_so,LBR_hi_so,LBR_lo_es,LBR_lo_pc,CUP_hi_pc,CUP,CUP_lo_pc,CON_hi_pc,CON_hi_es,CON,CON_lo_es,CON_lo_pc,OAO,LIB_hi_pc,LIB,LIB_lo_pc,NAT_hi_es,NAT,NAT_lo_es,DSA,DSA_hi_es,DSA_lo_es,PRG
38,POP_hi_es,POP,POP_hi_pc,POP_lo_pc,STY_hi_pc,STY_hi_es,POP_lo_es,STY_hi_so,STY,STY_lo_so,STY_lo_es,STY_lo_pc,CON,CON_hi_es,LBR,CON_hi_pc,CON_lo_pc,CON_lo_es,LBR_hi_pc,LBR_hi_es,LBR_hi_so,LBR_lo_so,LBR_lo_es,LBR_lo_pc,NAT_hi_es,NAT,NAT_lo_es,OAO,CUP,CUP_hi_pc,CUP_lo_pc,DSA,DSA_hi_es,DSA_lo_es,LIB,LIB_hi_pc,LIB_lo_pc,PRG
39,DSA_lo_es,DSA,DSA_hi_es,LBR_lo_so,LBR_lo_pc,LBR,LBR_hi_es,LBR_lo_es,LBR_hi_pc,LBR_hi_so,STY_lo_so,STY_lo_pc,STY_lo_es,STY,LIB_hi_pc,LIB,STY_hi_es,LIB_lo_pc,STY_hi_so,STY_hi_pc,PRG,CUP_lo_pc,CUP,CUP_hi_pc,POP,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,CON,CON_lo_pc,CON_hi_es,CON_lo_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
40,STY_lo_so,STY_lo_pc,STY_lo_es,STY,STY_hi_es,STY_hi_pc,STY_hi_so,LBR_lo_so,LBR_hi_es,LBR,LBR_hi_pc,LBR_lo_pc,LBR_lo_es,LBR_hi_so,DSA_lo_es,DSA,DSA_hi_es,POP_lo_pc,POP,POP_lo_es,CUP_lo_pc,POP_hi_es,CUP,LIB_hi_pc,LIB,CUP_hi_pc,POP_hi_pc,LIB_lo_pc,CON_lo_pc,CON_hi_es,CON,CON_lo_es,CON_hi_pc,PRG,OAO,NAT,NAT_lo_es,NAT_hi_es
41,CON_hi_pc,CON_lo_es,CON,CON_hi_es,NAT_lo_es,CON_lo_pc,NAT,NAT_hi_es,POP_lo_es,POP_hi_pc,POP,CUP_hi_pc,POP_lo_pc,POP_hi_es,STY_hi_so,STY_hi_pc,CUP,STY_lo_es,STY,CUP_lo_pc,STY_hi_es,STY_lo_so,STY_lo_pc,LBR_hi_pc,LBR_hi_so,LBR,OAO,LBR_lo_es,LBR_hi_es,LBR_lo_so,LBR_lo_pc,LIB,LIB_hi_pc,LIB_lo_pc,DSA,DSA_lo_es,DSA_hi_es,PRG
42,DSA_lo_es,LIB_lo_pc,LIB,DSA,LIB_hi_pc,LBR_lo_so,DSA_hi_es,LBR_lo_pc,LBR_lo_es,LBR,STY_lo_pc,LBR_hi_es,STY_lo_es,LBR_hi_pc,STY_lo_so,LBR_hi_so,CUP_lo_pc,STY,CUP,STY_hi_so,STY_hi_es,STY_hi_pc,PRG,CUP_hi_pc,POP,POP_lo_pc,POP_lo_es,POP_hi_es,POP_hi_pc,CON,CON_lo_pc,CON_lo_es,CON_hi_es,CON_hi_pc,OAO,NAT,NAT_lo_es,NAT_hi_es
