state_fips,state_abbr,total_weighted_respondents,first_choice_CON,first_choice_CON_hi_ae,first_choice_CON_lo_ae,first_choice_CON_hi_pc,first_choice_CON_lo_pc,first_choice_SD,first_choice_SD_hi_so,first_choice_SD_lo_so,first_choice_SD_hi_ae,first_choice_SD_lo_ae,first_choice_SD_hi_pc,first_choice_SD_lo_pc,first_choice_STY,first_choice_STY_hi_so,first_choice_STY_lo_so,first_choice_STY_hi_ae,first_choice_STY_lo_ae,first_choice_STY_hi_pc,first_choice_STY_lo_pc,first_choice_NAT,first_choice_NAT_hi_ae,first_choice_NAT_lo_ae,first_choice_LIB,first_choice_LIB_hi_pc,first_choice_LIB_lo_pc,first_choice_REF,first_choice_REF_hi_ae,first_choice_REF_lo_ae,first_choice_REF_hi_pc,first_choice_REF_lo_pc,first_choice_CTR,first_choice_CTR_hi_pc,first_choice_CTR_lo_pc,first_choice_DSA,first_choice_DSA_hi_ae,first_choice_DSA_lo_ae,first_choice_PRG
13,GA,1472.3908250832314,0.042641136608087424,0.03822992622709005,0.03624072839183583,0.03963886285085784,0.031114872464128238,0.0419142154722377,0.021554038450451014,0.03421202855245628,0.01341688995340778,0.014757883308004998,0.007077903453398736,0.04268394617846973,0.01700350737808356,0.048785574690244006,0.019004516466371517,0.010967761475570685,0.014733299057074257,0.02364855376530453,0.02433094392946708,0.027772925145708248,0.020943181855195364,0.03329866935521233,0.0408311350409159,0.016358059883163956,0.03430450971653939,0.02097958024646945,0.01583967106607927,0.013637591901995235,0.020386173240046716,0.013609672058984475,0.06376124480668376,0.03353977903690108,0.06150881310510927,0.01472846672146449,0.010101900049505935,0.011434451457100609,0.02500758664038331
15,HI,203.14709000166366,0.030571530450654992,0.018195731282930668,0.023704837372871254,0.0,0.13085761493567083,0.031568462759339035,0.01560520892085158,0.008010993061292973,0.0029343000778394098,0.016897222758449397,0.022379243376363784,0.10163091116829469,0.0,0.03296333909161612,0.03371267150182222,0.022462018792614624,0.00205920811078855,0.0066156534874280935,0.0,0.0,0.03244574327436008,0.006703431033875304,0.11638866215402954,0.034880615636071075,0.02144166342601006,0.0,0.025228665473671436,0.0012704878910227457,0.026663983111944078,0.052794205047952424,0.03956674709228806,0.018843225524127323,0.06913016829838257,0.007582220329355005,0.0203035855953067,0.0,0.026587648962775393
16,ID,325.3257376171863,0.08666915204000065,0.024301547736330496,0.03493162312521136,0.032791072846078115,0.01829843547558708,0.0254385902881672,0.016498948992194964,0.026381599010422332,0.0035513416253759034,0.011760618459579925,0.020040140398864207,0.014114962693037768,0.00974771363084528,0.0,0.009280165200344704,0.010472779002265382,0.015545757354081946,0.027447355444897643,0.018682864782122027,0.05612653993526683,0.05191739666926109,0.05320065988410183,0.020285964522889617,0.018405283092149213,0.02504009394083155,0.04167252706433309,0.01557475141515942,0.037007875036678094,0.05247094587557132,0.03437247421860686,0.041808553604497777,0.03238028288948061,0.025455573651272233,0.0026147260392474676,0.006929023083127194,0.0516841240485193,0.02709853692359948
17,IL,1460.3318361668644,0.03348273473704874,0.03707449511173136,0.03274259874374631,0.02216374420883459,0.06333201451100645,0.025043040256014705,0.03823329267314774,0.019183276402468297,0.019645183484239104,0.02775925609030534,0.017501995850348725,0.014735691910132048,0.013192756675590039,0.01399828575433104,0.0067944261510474325,0.007525755452556414,0.011218635681327298,0.018270425518991638,0.008032750317184523,0.02728884629328487,0.020155760968371312,0.022870209870454603,0.04625366662053899,0.042810846418766514,0.04638718396968493,0.019416075969309835,0.018691346759082475,0.013384494003712562,0.018227377184136778,0.02420246844821855,0.029061985608694215,0.037020189747952965,0.07608640656993801,0.020103793559429182,0.01607852065281543,0.028963309899987143,0.06306715792556991
18,IN,994.9890932957763,0.03639733297192552,0.06153414443016746,0.03731554772466253,0.03136376472799321,0.04309968772406832,0.02556987647759702,0.013385988421509088,0.006000982087722255,0.024627365726154038,0.03802448923559643,0.017060093333075812,0.016671197909410834,0.00303445187197109,0.011886930532319923,0.017588253577074785,0.01887384468984084,0.035408905594500065,0.03151353935189504,0.01156612733666274,0.034188652602547026,0.025962326955339537,0.07528848342444133,0.021302019597204517,0.0442482979534374,0.021081686593221346,0.018465853830193682,0.011735821247639078,0.007184348799148524,0.030340703927688596,0.018451501632698677,0.029809648669110487,0.05399893528496677,0.03933297533133678,0.012821005724648057,0.007690226257707006,0.030084498304895565,0.037090490139628673
19,IA,446.7912192181343,0.04321933079129091,0.030233082583282,0.05338146750167161,0.06591335027895531,0.025395957870938075,0.04603241317578739,0.02535758035769835,0.012154915827065248,0.009865994466362951,0.007629206252959768,0.019956971307855793,0.041669075421945215,0.022647922084639567,0.01997760194400436,0.03301791539856897,0.00575133011799185,0.0077675124929025355,0.007806700904686736,0.007742926164396646,0.027614246859937523,0.024424377809413318,0.07753112286403653,0.02081497520847546,0.020328402015383048,0.023050462312231654,0.005070270054222826,0.02981227411673833,0.0432188058456453,0.00958923167149563,0.011656611599531274,0.03684477046830906,0.02299278118510238,0.057849361443512666,0.010616804332004048,0.019597044682409862,0.040715991343514384,0.03275121124503324
20,KS,372.6996859218709,0.03257515898627619,0.05736263506288699,0.048881074945931205,0.03124065206477439,0.0779263741155972,0.01197634626383696,0.00924031916055604,0.01351794205027031,0.018688636787047574,0.009330543158601792,0.014797723659782474,0.010343626497379119,0.0006818256952444969,0.023408863740359796,0.017447287947725716,0.010597538106255697,0.06040037785304284,0.008826349762614632,0.004661141461048713,0.023991120662496625,0.032838868157189796,0.04542748343503267,0.025730695942152628,0.01874885763536836,0.07474771681961326,0.023352160888979442,0.006981920842099765,0.006845866773594026,0.06534149581693584,0.010471159566281352,0.026093551592600187,0.017144279805686946,0.022033956609032644,0.03683352649546694,0.03629302296073631,0.01258513966413291,0.05263475901336813
21,KY,717.9252799112746,0.02669831902695535,0.0474120486992239,0.0629704807228618,0.059267449050633796,0.033429050099053996,0.00424986322391278,0.019140477718051357,0.022590047181736343,0.00565142659325457,0.024070606057592578,0.017196465362636516,0.009570371001750231,0.006671585059402393,0.041442352229498707,0.011055927499461922,0.005594008267304336,0.027311050539072238,0.022048498043032327,0.007491586816184421,0.029989841302046447,0.0319263235486121,0.04882354919594503,0.03550881384837302,0.012673610855526615,0.02299814481200072,0.03339054708597385,0.007840965394819942,0.04010085609964877,0.026692996369151387,0.04596576036359685,0.048937986496707046,0.024003094847021324,0.0464444030325491,0.020291438611031127,0.024313303087835848,0.017995823875992516,0.028240927981548727
22,LA,508.4085817640956,0.017196705657867135,0.043132193197300626,0.08896744590820627,0.03595953905482386,0.027882628286725664,0.011518290690727354,0.02496352299361504,0.004544099968882907,0.005993444209212522,0.011445437604511945,0.02034939242450834,0.008747881349859115,0.007465739943598458,0.04363219427190537,0.012504743734361964,0.008389979441309888,0.03923143018113605,0.03534946373709851,0.006447623786030329,0.018058218620795846,0.04601102503789523,0.07631567149873238,0.014250538901449351,0.018021111536191504,0.010538434678751998,0.01530113286287554,0.0008371317316799515,0.042817017798409615,0.013946571437748252,0.007163102160740064,0.0369635637778183,0.05605679706918792,0.10744395672022769,0.007577417102450702,0.019719184436673247,0.006719585311198633,0.04853778287549253
23,ME,243.15825432865347,0.011826548033566886,0.011765611751293259,0.02210070432796045,0.05745927001803626,0.03396277427745771,0.025849549728066877,0.02679741990876987,0.050080899893966226,0.022575724237541204,0.010901127219135725,0.01560907517041426,0.015311342855647073,0.009369425731402653,0.010935802504581009,0.008554235463055657,0.027776461744660405,0.009070510283820962,0.00917699275062583,0.00420051330484768,0.028878786525441145,0.039103366402166745,0.008539650465510622,0.06033117642653254,0.03412738453468567,0.05008359074743129,0.0639988673191016,0.012260221170689724,0.02253647921695336,0.01462277201094179,0.053273995421414165,0.013610038166275545,0.03195371146784453,0.023497750140311146,0.009764525069241328,0.030105742760771957,0.04356497018584174,0.07642298276399519
