diagnostic,phase,candidate_code,candidate_name,party,axis,direction,raw_votes,vote_pct,status,variant_code,base_code,pod,variant_pct,base_pct,delta_vs_base,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
variant_analysis,,,,REF,pc,lo,,,,REF_lo_pc,REF,B,1.843,1.9201,-0.0771,,,,,,,,,,,,,,,,,,
variant_analysis,,,,REF,pc,lo,,,,REF_lo_pc,REF,D,2.0252,1.8942,0.1311,,,,,,,,,,,,,,,,,,
variant_analysis,,,,CTR,pc,hi,,,,CTR_hi_pc,CTR,Retail,3.7315,4.4955,-0.764,,,,,,,,,,,,,,,,,,
variant_analysis,,,,CTR,pc,hi,,,,CTR_hi_pc,CTR,A,3.4864,3.9536,-0.4671,,,,,,,,,,,,,,,,,,
variant_analysis,,,,CTR,pc,hi,,,,CTR_hi_pc,CTR,C,2.7886,3.4151,-0.6265,,,,,,,,,,,,,,,,,,
variant_analysis,,,,CTR,pc,hi,,,,CTR_hi_pc,CTR,B,3.3467,3.8487,-0.502,,,,,,,,,,,,,,,,,,
variant_analysis,,,,CTR,pc,hi,,,,CTR_hi_pc,CTR,D,3.1371,3.7055,-0.5684,,,,,,,,,,,,,,,,,,
variant_analysis,,,,CTR,pc,lo,,,,CTR_lo_pc,CTR,Retail,5.5847,4.4955,1.0892,,,,,,,,,,,,,,,,,,
variant_analysis,,,,CTR,pc,lo,,,,CTR_lo_pc,CTR,A,6.1068,3.9536,2.1533,,,,,,,,,,,,,,,,,,
variant_analysis,,,,CTR,pc,lo,,,,CTR_lo_pc,CTR,C,6.1096,3.4151,2.6946,,,,,,,,,,,,,,,,,,
variant_analysis,,,,CTR,pc,lo,,,,CTR_lo_pc,CTR,B,5.7662,3.8487,1.9174,,,,,,,,,,,,,,,,,,
variant_analysis,,,,CTR,pc,lo,,,,CTR_lo_pc,CTR,D,5.2727,3.7055,1.5672,,,,,,,,,,,,,,,,,,
variant_analysis,,,,DSA,ae,hi,,,,DSA_hi_ae,DSA,Retail,1.4544,2.8132,-1.3589,,,,,,,,,,,,,,,,,,
variant_analysis,,,,DSA,ae,hi,,,,DSA_hi_ae,DSA,A,2.3801,2.438,-0.0579,,,,,,,,,,,,,,,,,,
variant_analysis,,,,DSA,ae,hi,,,,DSA_hi_ae,DSA,C,2.975,2.0633,0.9117,,,,,,,,,,,,,,,,,,
variant_analysis,,,,DSA,ae,hi,,,,DSA_hi_ae,DSA,B,2.5504,2.5269,0.0235,,,,,,,,,,,,,,,,,,
variant_analysis,,,,DSA,ae,hi,,,,DSA_hi_ae,DSA,D,2.3125,2.6901,-0.3776,,,,,,,,,,,,,,,,,,
variant_analysis,,,,DSA,ae,lo,,,,DSA_lo_ae,DSA,Retail,2.5806,2.8132,-0.2326,,,,,,,,,,,,,,,,,,
variant_analysis,,,,DSA,ae,lo,,,,DSA_lo_ae,DSA,A,3.0427,2.438,0.6048,,,,,,,,,,,,,,,,,,
variant_analysis,,,,DSA,ae,lo,,,,DSA_lo_ae,DSA,C,2.4413,2.0633,0.3779,,,,,,,,,,,,,,,,,,
variant_analysis,,,,DSA,ae,lo,,,,DSA_lo_ae,DSA,B,2.5296,2.5269,0.0028,,,,,,,,,,,,,,,,,,
variant_analysis,,,,DSA,ae,lo,,,,DSA_lo_ae,DSA,D,3.0185,2.6901,0.3284,,,,,,,,,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON,CON,After_Retail_Six,elimination,CON_lo_pc,CON_lo_pc,44.9096,46.58,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON,CON,After_Retail_Six,elimination,CON_lo_ae,CON_lo_ae,12.9428,13.42,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON,CON,After_Retail_Six,elimination,CON_hi_pc,CON_hi_pc,12.7854,13.26,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON,CON,After_Retail_Six,elimination,REF_lo_ae,REF_lo_ae,11.7336,12.17,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON,CON,After_Retail_Six,elimination,SD_hi_ae,SD_hi_ae,9.0708,9.41,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_ae,CON_hi_ae,After_Retail_Six,elimination,REF_hi_ae,REF_hi_ae,16.0039,25.68,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_ae,CON_hi_ae,After_Retail_Six,elimination,CON_lo_pc,CON_lo_pc,10.5521,16.93,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_ae,CON_hi_ae,After_Retail_Six,elimination,CON,CON,9.2725,14.88,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_ae,CON_hi_ae,After_Retail_Six,elimination,CON_lo_ae,CON_lo_ae,8.5357,13.7,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_ae,CON_hi_ae,After_Retail_Six,elimination,CON_hi_pc,CON_hi_pc,6.0728,9.75,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_pc,CON_hi_pc,After_Pod_A,elimination,CON_lo_ae,CON_lo_ae,1075.9815,100.0,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_pc,CON_hi_pc,After_Retail_Six,surplus,CON_lo_ae,CON_lo_ae,30.7436,15.92,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_pc,CON_hi_pc,After_Retail_Six,surplus,CTR,CTR,0.4856,0.25,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_pc,CON_hi_pc,After_Retail_Six,surplus,STY_hi_pc,STY_hi_pc,0.3526,0.18,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_pc,CON_hi_pc,After_Retail_Six,surplus,CTR_lo_pc,CTR_lo_pc,0.2929,0.15,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_hi_pc,CON_hi_pc,After_Retail_Six,surplus,LIB_hi_pc,LIB_hi_pc,0.1592,0.08,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_ae,CON_lo_ae,After_Pod_C,elimination,CON_lo_pc,CON_lo_pc,1178.6027,60.9,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_ae,CON_lo_ae,After_Pod_C,elimination,CTR_lo_pc,CTR_lo_pc,259.9977,13.43,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_ae,CON_lo_ae,After_Pod_C,elimination,NAT_lo_ae,NAT_lo_ae,248.6756,12.85,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_ae,CON_lo_ae,After_Pod_C,elimination,REF_lo_ae,REF_lo_ae,222.2999,11.49,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_ae,CON_lo_ae,After_Pod_C,elimination,SD_hi_pc,SD_hi_pc,20.7163,1.07,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_ae,CON_lo_ae,After_Retail_Six,surplus,CTR,CTR,4.8641,2.9,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_ae,CON_lo_ae,After_Retail_Six,surplus,CTR_lo_pc,CTR_lo_pc,1.5628,0.93,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_ae,CON_lo_ae,After_Retail_Six,surplus,DSA,DSA,0.0184,0.01,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_A,surplus,CON_lo_ae,CON_lo_ae,65.4181,5.43,,,,,,,,,,
