state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_es,fc_pct_CON_hi_pc,fc_pct_CON_lo_es,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_es,fc_pct_DSA_lo_es,fc_pct_LBR,fc_pct_LBR_hi_es,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_es,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_es,fc_pct_NAT_lo_es,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_es,fc_pct_POP_hi_pc,fc_pct_POP_lo_es,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_es,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_es,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
44,RI,LBR_hi_so,LBR,so,hi,99.39,5,0.289,2.798,3.09,3.486,10.904,0.0,0.68,2.797,0.0,3.613,5.545,0.0,1.561,1.163,5.218,5.141,2.123,5.648,3.966,2.84,7.999,0.0,2.648,3.765,3.374,0.0,0.324,0.231,2.326,4.194,8.778,0.0,0.788,1.549,2.709,0.452,0.0,0.0
45,SC,LBR_hi_so,LBR,so,hi,424.43,5,0.378,5.973,8.865,6.849,5.837,0.409,3.799,2.893,0.004,4.191,3.78,0.0,2.711,0.544,4.118,2.984,2.913,3.026,3.555,0.8,3.585,0.757,5.551,6.152,2.777,0.0,1.713,0.82,4.619,0.855,2.197,0.0,1.859,1.064,1.143,1.324,1.541,0.416
46,SD,STY_hi_pc,STY,pc,hi,81.78,5,0.0,2.237,10.246,6.0,5.783,3.911,2.366,2.779,0.0,2.364,3.48,0.0,0.405,0.518,0.754,2.457,3.514,3.572,0.951,4.42,2.248,0.0,2.564,10.412,6.832,0.0,1.324,0.0,2.678,0.473,3.92,1.049,0.302,7.678,1.041,2.869,0.853,0.0
47,TN,CON_lo_es,CON,es,lo,679.04,5,0.235,3.672,10.903,10.273,9.027,1.201,3.268,2.653,0.026,1.955,4.162,0.0,2.871,0.473,1.436,0.838,1.418,0.782,1.835,1.098,1.612,1.398,1.029,14.408,5.049,0.001,1.719,0.76,2.07,3.293,2.94,0.045,1.167,0.867,1.379,2.663,0.169,1.305
48,TX,LBR_hi_es,LBR,es,hi,2004.27,5,0.366,4.764,7.04,7.555,6.695,0.584,4.845,4.331,0.138,3.849,3.672,0.0,3.911,1.11,2.559,2.049,1.382,3.242,2.082,3.025,2.17,0.775,2.265,6.678,4.452,0.14,0.896,1.563,1.965,1.49,2.632,0.384,1.388,1.631,1.674,3.382,1.726,1.587
49,UT,LBR_lo_so,LBR,so,lo,260.44,5,0.31,4.098,3.183,5.616,3.833,1.159,4.02,3.513,0.0,4.434,4.918,0.18,1.085,0.965,0.93,5.169,2.886,6.253,2.461,1.613,2.049,0.897,3.468,7.413,2.504,1.19,1.553,2.012,4.848,1.744,4.071,0.0,0.808,3.189,0.144,2.986,2.778,1.72
50,VT,LBR_lo_so,LBR,so,lo,70.6,5,0.0,2.055,0.793,5.754,4.892,0.0,1.492,4.703,0.0,1.329,5.148,0.0,0.354,0.402,1.292,2.389,3.991,4.134,3.356,4.213,2.635,0.0,0.0,3.83,8.612,0.0,0.577,1.89,0.79,1.482,30.604,0.0,0.34,0.0,0.452,2.491,0.0,0.0
51,VA,STY_lo_es,STY,es,lo,797.71,5,1.144,3.879,7.119,4.871,6.03,0.389,3.412,3.485,0.054,1.6,5.523,0.0,2.695,0.743,4.059,3.428,1.233,4.663,2.936,2.937,3.218,0.568,4.379,6.341,2.896,0.02,1.448,1.292,2.047,1.048,8.997,0.136,0.925,1.161,0.967,3.062,0.935,0.36
53,WA,LBR_lo_so,LBR,so,lo,752.5,5,0.188,3.987,4.629,2.558,5.639,1.535,1.677,3.424,0.208,1.589,7.156,0.325,1.823,1.353,4.47,1.663,2.329,4.083,4.904,2.269,5.291,0.0,8.968,1.514,4.201,0.0,3.4,0.942,0.712,1.335,13.688,0.019,0.785,0.146,0.563,1.575,0.075,0.977
54,WV,STY_hi_so,STY,so,hi,201.29,5,0.0,5.349,11.568,6.586,9.549,0.014,2.852,3.248,0.0,3.906,0.729,0.0,3.33,0.286,6.451,6.259,0.904,0.407,3.951,0.466,1.946,0.92,1.491,5.098,3.067,0.036,0.49,1.253,8.653,0.748,2.364,0.0,0.706,0.276,3.939,2.017,1.14,0.0
55,WI,LBR_lo_so,LBR,so,lo,585.81,5,0.129,9.142,6.313,4.546,7.218,0.44,1.263,3.826,0.221,1.148,4.585,0.001,2.628,1.886,2.358,2.618,1.267,3.2,2.922,2.689,3.059,0.094,6.05,4.752,5.125,0.044,2.138,1.293,2.152,1.583,9.275,0.025,0.977,1.708,1.668,1.255,0.161,0.241
56,WY,POP_lo_es,POP,es,lo,58.6,5,1.272,3.509,8.466,12.81,5.326,4.478,8.07,0.0,0.0,0.0,0.823,0.0,3.975,1.135,0.0,0.626,0.789,3.862,3.318,7.34,1.295,0.0,0.0,8.454,5.727,0.0,0.0,0.0,7.337,0.105,1.685,2.015,0.738,5.828,0.0,1.016,0.0,0.0
