state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_id,fc_pct_CON_hi_pc,fc_pct_CON_lo_id,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_id,fc_pct_DSA_lo_id,fc_pct_LBR,fc_pct_LBR_hi_id,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_id,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_id,fc_pct_NAT_lo_id,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_id,fc_pct_POP_hi_pc,fc_pct_POP_lo_id,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_id,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_id,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
19,IA,CON_lo_id,CON,id,lo,300.5,5,0.0,2.375,7.78,7.5,4.478,0.524,6.679,3.793,0.0,1.665,5.605,0.0,0.902,0.849,2.054,6.744,1.011,2.659,1.242,2.344,2.853,1.106,1.026,10.405,5.705,0.002,3.088,0.757,5.428,0.458,3.91,0.067,2.469,1.924,0.34,1.403,0.495,0.36
20,KS,STY_lo_id,STY,id,lo,251.84,5,0.25,3.693,13.063,5.825,8.624,0.74,3.011,2.264,0.0,0.949,5.855,0.0,0.741,0.89,2.654,0.781,0.496,4.322,8.451,2.212,1.432,0.318,1.822,5.763,1.513,0.479,1.252,4.32,0.912,0.819,6.618,0.053,1.688,0.363,0.186,4.592,1.294,1.755
21,KY,STY_lo_id,STY,id,lo,473.06,5,0.114,3.729,9.695,5.675,5.801,1.663,5.576,1.921,0.157,2.222,2.259,1.17,2.333,2.356,1.83,2.945,1.039,5.362,1.618,1.55,2.495,0.636,3.483,9.187,4.7,0.0,1.943,0.757,3.734,1.393,3.705,0.799,0.475,2.406,2.329,2.294,0.188,0.461
22,LA,CON_hi_pc,CON,pc,hi,335.69,5,0.0,5.964,10.8,5.214,5.556,0.191,2.992,7.243,0.007,1.468,1.868,0.0,1.017,1.492,4.227,4.124,0.561,0.502,1.549,1.52,2.432,0.0,1.747,10.71,4.167,0.0,0.466,1.538,2.606,0.934,5.981,0.517,3.288,1.721,0.521,3.57,3.202,0.306
23,ME,LBR_hi_so,LBR,so,hi,167.54,5,0.0,4.982,4.92,4.443,3.223,1.394,2.52,5.156,0.0,3.859,3.737,0.0,0.96,1.138,3.733,4.361,2.024,2.7,4.176,2.628,4.251,0.092,5.784,1.302,5.392,0.0,2.948,2.45,5.934,2.134,9.219,0.0,0.241,2.584,0.471,0.87,0.374,0.0
24,MD,LBR_hi_so,LBR,so,hi,528.23,5,0.088,4.596,3.425,5.195,3.762,0.593,1.877,3.319,0.095,0.164,3.397,0.0,1.533,1.284,5.792,4.392,2.48,4.283,3.705,2.434,3.911,0.0,4.031,2.997,5.935,0.096,2.918,1.599,1.948,1.071,11.741,0.155,0.548,4.29,0.953,3.161,0.434,1.796
25,MA,LBR_hi_so,LBR,so,hi,548.2,5,2.132,4.505,5.906,2.346,6.155,0.037,1.481,1.889,0.245,1.888,6.632,0.0,1.199,0.614,5.358,4.672,1.805,5.167,3.538,2.482,5.887,0.297,3.286,3.81,4.729,0.096,0.87,1.267,3.196,1.077,11.091,0.0,1.822,0.919,1.031,1.12,0.236,1.213
26,MI,CON_hi_pc,CON,pc,hi,913.89,5,0.922,4.369,9.537,5.574,4.834,1.184,2.626,2.814,0.369,1.663,4.614,0.0,1.947,0.819,3.659,2.619,1.462,3.554,3.365,2.924,2.686,0.099,6.295,5.851,3.77,0.0,2.9,1.602,3.871,1.654,6.8,0.019,0.454,1.853,0.547,1.411,0.736,0.595
27,MN,CON_lo_id,CON,id,lo,501.0,5,0.196,2.971,6.574,5.136,4.31,0.294,2.527,2.8,0.0,0.73,3.437,0.015,0.852,0.654,1.326,2.587,4.322,3.459,3.944,5.516,4.591,0.0,6.922,2.248,6.963,0.135,3.788,2.253,1.17,2.544,12.96,0.402,0.272,0.736,0.932,1.994,0.085,0.354
28,MS,STY_hi_pc,STY,pc,hi,278.07,5,0.038,4.743,6.932,5.49,5.858,0.852,4.788,5.123,0.398,1.432,2.597,0.0,2.77,3.267,3.114,1.953,0.637,2.484,0.0,0.039,1.241,0.46,4.243,6.438,5.072,0.0,1.959,2.622,3.313,0.34,1.083,1.039,3.18,4.336,3.899,2.924,2.223,3.115
29,MO,LBR_hi_id,LBR,id,hi,630.37,5,0.217,4.548,9.221,7.152,4.445,0.617,3.876,2.679,0.157,1.883,5.489,0.0,5.055,0.556,2.803,2.415,1.835,3.741,3.05,1.646,1.973,0.929,2.646,8.203,2.819,0.0,1.058,1.973,2.09,2.599,3.935,0.0,2.341,1.423,2.172,2.371,1.133,0.949
30,MT,LBR_hi_so,LBR,so,hi,176.34,5,0.0,3.531,13.364,5.707,1.063,0.498,5.195,1.534,0.0,2.233,2.291,0.0,1.404,0.401,4.288,1.233,2.429,1.663,2.856,7.382,3.782,1.89,1.418,12.577,1.377,0.0,0.305,0.39,1.649,2.468,4.638,0.0,4.736,0.29,0.75,5.104,0.541,1.013
31,NE,LBR_hi_id,LBR,id,hi,194.62,5,0.194,5.928,4.878,7.523,5.187,3.326,6.312,2.921,0.0,2.611,6.243,0.0,3.903,0.0,1.091,1.516,2.153,5.73,2.045,1.878,1.628,0.305,4.749,4.464,2.587,0.0,0.0,2.72,4.049,2.629,3.732,0.0,2.331,2.167,0.697,3.599,0.221,0.684
