code,year,swd,wl_gap,leader_api,pid_strength,efficacy,n
NZL,2014,2.692,0.433,4.43,0.988,1.863,1224.0
NZL,2017,2.614,0.062,3.765,1.067,1.833,1808.0
NZL,2020,2.956,0.327,3.91,1.584,1.817,1725.0
PER,2000,,,5.106,0.551,1.722,1102.0
PER,2001,1.935,,5.388,0.824,1.917,1118.0
PER,2006,1.802,0.266,,1.231,2.45,2032.0
PER,2011,1.871,-0.278,5.149,1.399,2.3,1570.0
PER,2016,1.436,-0.106,5.456,0.823,2.447,1572.0
PER,2021,1.669,0.102,4.682,0.525,2.457,1199.0
PHL,2004,2.274,,,0.402,2.713,1200.0
PHL,2010,2.788,,2.844,0.386,2.345,1200.0
PHL,2016,2.882,0.102,2.373,0.391,2.278,1200.0
POL,1997,2.42,,4.007,0.885,2.13,2003.0
POL,2001,1.982,-0.174,,0.754,2.533,1794.0
POL,2005,1.901,0.059,3.644,0.856,2.137,2402.0
POL,2007,2.321,0.058,4.699,0.627,2.333,1817.0
POL,2011,2.271,0.457,4.762,0.713,2.236,1919.0
POL,2019,2.587,,1.495,0.946,2.117,2003.0
PRT,2002,2.318,,4.153,0.967,2.352,1303.0
PRT,2005,2.125,0.188,,0.86,2.214,2801.0
PRT,2009,2.172,0.162,4.094,0.81,2.238,1316.0
PRT,2015,2.013,-0.036,5.471,0.782,2.17,1499.0
PRT,2019,2.205,0.348,3.937,0.715,2.222,1500.0
ROU,1996,2.312,,3.944,0.974,1.745,1175.0
ROU,2004,2.07,0.522,,0.765,1.893,1913.0
ROU,2009,1.544,,4.835,1.204,1.601,1403.0
ROU,2012,1.537,0.102,4.817,0.715,1.94,2283.0
ROU,2014,1.639,,5.473,0.636,1.672,1112.0
ROU,2016,1.576,-0.064,3.706,1.047,1.841,1105.0
RUS,1999,1.534,,4.619,1.356,1.991,1842.0
RUS,2000,1.411,,,1.129,,1748.0
RUS,2004,1.802,,,0.981,2.228,1496.0
SLV,2019,2.039,,0.5,1.102,1.629,1488.0
SRB,2012,2.176,0.281,4.894,1.09,1.939,1568.0
SVK,2010,2.005,-0.036,4.932,1.532,2.144,1203.0
SVK,2016,1.794,0.171,5.424,0.999,2.468,1150.0
SVK,2020,1.926,0.023,4.602,1.132,2.159,1003.0
SVN,1996,1.869,,4.013,0.0,1.82,2031.0
SVN,2004,1.894,0.041,,0.779,1.948,1002.0
SVN,2008,1.626,0.175,4.178,0.404,1.999,1055.0
SVN,2011,1.444,-0.024,4.892,0.266,2.015,1031.0
SWE,1998,2.575,,2.984,1.43,1.964,1157.0
SWE,2002,2.677,0.319,,1.643,1.918,1060.0
SWE,2006,2.822,0.079,3.008,1.136,2.047,1547.0
SWE,2014,2.878,-0.019,3.668,1.7,2.02,832.0
SWE,2018,2.746,0.25,4.524,1.671,1.971,3784.0
THA,2001,2.839,,3.208,0.636,2.217,1081.0
THA,2007,2.952,0.009,5.712,0.237,2.672,1990.0
THA,2011,3.179,0.096,3.794,0.201,2.344,1500.0
THA,2019,2.568,0.263,3.704,0.148,2.526,1536.0
TUN,2019,2.189,,,0.0,2.406,1477.0
TUR,2011,2.431,1.319,6.911,1.736,1.741,1109.0
TUR,2015,2.206,1.3,6.921,1.922,1.609,1086.0
TUR,2018,2.516,1.155,6.077,1.622,1.69,1069.0
TWN,1996,2.404,,2.888,0.931,2.37,1200.0
TWN,2001,2.455,0.338,,0.843,2.448,2022.0
TWN,2004,2.243,,,0.933,2.571,1823.0
TWN,2008,2.214,,2.42,1.229,2.449,1905.0
TWN,2012,2.538,0.375,3.732,1.339,2.352,1826.0
TWN,2016,2.348,0.017,3.584,1.224,2.385,1690.0
TWN,2020,2.634,0.562,5.475,1.241,2.24,1680.0
UKR,1998,1.442,,6.057,1.253,1.968,1148.0
URY,2009,2.755,0.348,5.048,1.833,2.006,968.0
URY,2019,2.762,-0.31,4.939,1.852,2.12,1200.0
USA,1996,2.916,,3.734,1.501,2.145,1534.0
USA,2004,2.912,,,1.638,2.04,1066.0
USA,2008,3.013,,4.067,1.829,1.948,2102.0
USA,2012,2.819,,5.293,1.767,2.03,1929.0
USA,2016,2.526,,5.307,1.193,2.038,3648.0
USA,2020,2.397,,6.712,1.67,1.924,7449.0
ZAF,2009,2.567,0.803,5.552,1.602,1.872,1200.0
ZAF,2014,2.491,0.546,4.723,1.488,1.747,1300.0
