code,year,AF_raw,cross_prob,AF_norm,fptp,ENP,top2
NOR,2005,1.5587709818770081,0.29673854939675043,5.253011396887547,0.0,4.917593110456647,0.5581608726679579
NOR,2009,1.8107730244703375,0.34797717736561923,5.203712031285777,0.0,4.428791577573601,0.5908353609083536
NOR,2013,1.8621657860568503,0.364046716966402,5.115183571971919,0.0,4.706293332017883,0.5867087319356807
NOR,2017,4.674032459945776,0.7769686145202119,6.015728785688532,0.0,5.345152443083477,0.5339242053789731
NZL,1996,0.2593450472572961,0.0500217995136088,5.184640492326539,0.0,3.688826275630875,0.6853220696937697
NZL,2002,0.27951203607901676,0.04781179520764807,5.846089544747014,0.0,3.8737963544796106,0.6453253087060288
NZL,2014,0.3324103283422457,0.05119949220415895,6.492453616859191,0.0,3.219168177648872,0.7278870398386283
NZL,2017,0.36966442881935707,0.07374224784286128,5.012925963513912,0.0,2.856942936996977,0.8210356313717573
NZL,2020,0.7236701586903874,0.14192170491090286,5.099080222751699,0.0,2.9096131576459343,0.7729038854805726
PER,2000,0.24766398886739355,0.04477329982637529,5.531510740280491,0.0,3.2469179643835733,0.7302118171683389
PER,2001,1.7424796227997765,0.22939371978976839,7.596021479562302,0.0,4.067452708697022,0.6087533156498672
PER,2006,0.4652573956670487,0.06967029051224913,6.677988454565855,0.0,5.354976867928551,0.48898781630740396
PER,2011,0.7458310635856745,0.1181911300186001,6.310381019864188,0.0,5.087538566725462,0.5132837407013815
PER,2021,0.4009828618983502,0.05885824919998829,6.812687556095875,0.0,8.287387198248862,0.3255722178374112
PHL,2016,0.0654282175330975,0.01558091187656143,4.199254706749354,0.0,3.5201508409490194,0.6580804121402173
POL,1997,0.03864737230237598,0.0074176124092822805,5.210217273419851,0.0,3.9006331926238618,0.6633986928104576
POL,2001,0.05730517154062915,0.008738343457371685,6.557898739066657,0.0,5.017118625288823,0.5862438397257339
POL,2005,0.23896553600020876,0.035177534145704834,6.793129245796962,0.0,5.314737479594996,0.5375315391084945
POL,2007,1.4638984339715673,0.1896468295761513,7.719076755689973,0.0,3.0450146598498393,0.7694397993311037
POL,2011,0.17400046672894878,0.03285348394036287,5.296256160984397,0.0,3.676814456662673,0.696761827902754
PRT,2002,0.9697432004470556,0.15307164870635473,6.335224116566251,0.0,2.9946453951500067,0.7884828349944628
PRT,2009,1.8399582884244623,0.2827371886873654,6.507662812121199,0.0,3.5876932200376657,0.7003305961394903
PRT,2015,2.523917487709038,0.3604351862306938,7.00241703398409,0.0,3.1901225146606613,0.7626346313173156
PRT,2019,1.7930598464862655,0.2981335536620578,6.014283949128202,0.0,3.683767522178671,0.7032554257095158
ROU,2004,0.679951538232043,0.12639183104199347,5.379711114447976,0.0,5.211213659961839,0.4602876797998749
RUS,1999,0.25855527017616897,0.03363888335631674,7.686202524544181,0.0,4.544500411113185,0.5856966707768188
SRB,2012,1.054225051858697,0.18181537317468902,5.798327355112007,0.0,5.203756329677242,0.536046511627907
SVK,2010,1.1036719390696033,0.17811544311397876,6.196385444036691,0.0,4.782676273999855,0.5415812749433718
SVK,2016,1.3776134225703156,0.20678494802417685,6.662058509254978,0.0,6.242005299276291,0.44001307616868257
SVK,2020,2.8724751036975613,0.3751985116860948,7.6558808583462135,0.0,6.0625679495499005,0.4976450315910397
SVN,2004,0.27774865119103587,0.04810723619813351,5.773531658462061,0.0,4.711639718755078,0.587742154752464
SVN,2008,0.639868830477473,0.10116442549101262,6.325037950562162,0.0,4.53458077558366,0.6235662148070907
SVN,2011,1.1203799442445386,0.14146894245354158,7.9196177253708635,0.0,4.911433992672782,0.5814818751993196
SWE,1998,0.9006031960074102,0.14894541510774112,6.046531847629886,0.0,3.9576147218107867,0.6383207750269106
SWE,2002,0.5621891609082256,0.11673611258576097,4.815897569787666,0.0,4.235325538586184,0.5691417948982753
SWE,2006,0.9386373278124873,0.17735625854970563,5.292383451748482,0.0,4.409218508888847,0.6295115681233934
SWE,2014,2.1842103778232866,0.4004430984181826,5.454483761741141,0.0,5.304470088249887,0.54872260931031
SWE,2018,0.20306656842617818,0.02625370785723174,7.734776722985522,0.0,5.664585808592703,0.4862515163768702
TUR,2011,0.565693590431712,0.07575142758612977,7.467761446324103,0.0,2.569612118915262,0.8194789752459193
TUR,2015,2.268648264289384,0.2680975340023741,8.462025854625333,0.0,3.486117648435454,0.6741089717328963
TUR,2018,2.0962750032628064,0.27913740647746654,7.5098319129508315,0.0,3.672528079128547,0.6566307521901118
TWN,1996,0.8125935158609456,0.12485142791074114,6.508483959365571,0.0,2.447950276806032,0.853763440860215
URY,2019,2.0149666455997814,0.30716776831929593,6.559824478410952,0.0,3.5204249863131425,0.704153290529695
USA,2004,1.7327426672424942,0.2493734166858192,6.948385638977484,1.0,2.0023762776643474,0.9990758804805421
USA,2020,1.96967241726874,0.24610870273602772,8.003261954459933,1.0,2.027455390139959,0.9926695174098962
ZAF,2009,0.33091998846478565,0.0638635991271114,5.181668321043675,0.0,2.0413205391128533,0.8429650806616296
ZAF,2014,1.235865016196165,0.18555406343662517,6.660403945388493,0.0,2.1716935123193752,0.8624284546197873
