code,year,in_letter,n_sup,target,rating,rater_lr,target_lr,target_vs,distance,target_extr,target_bloc,fptp,tier,micro
DEU,2005,2,102.0,0,3.439734124320696,5.23686794253966,3.691980999528914,34.19999999999999,1.544886943010746,1.308019000471086,left,0.0,True,0
DEU,2005,3,203.0,0,4.479505335593896,1.199239492745715,3.691980999528914,34.19999999999999,2.492741506783199,1.308019000471086,left,0.0,True,0
DEU,2005,4,145.0,0,6.306071765008136,3.3503316174653603,3.691980999528914,34.19999999999999,0.34164938206355355,1.308019000471086,left,0.0,True,0
DEU,2005,5,55.0,0,3.3631477367086338,6.550125276021966,3.691980999528914,34.19999999999999,2.858144276493052,1.308019000471086,left,0.0,True,0
DEU,2009,1,326.0,0,4.048361359971803,3.646715088993212,6.427421240227554,27.27,2.7807061512343423,1.4274212402275541,right,0.0,True,0
DEU,2009,3,189.0,0,2.590785505905701,1.1519584363856805,6.427421240227554,27.27,5.275462803841874,1.4274212402275541,right,0.0,True,0
DEU,2009,4,120.0,0,3.470319025237058,3.2768689133338014,6.427421240227554,27.27,3.1505523268937528,1.4274212402275541,right,0.0,True,0
DEU,2009,5,62.0,0,6.7610675926161035,6.9750500281201,6.427421240227554,27.27,0.5476287878925463,1.4274212402275541,right,0.0,True,0
DEU,2013,2,147.0,0,2.989939011592609,1.1558549548149684,6.154317376079215,34.13,4.998462421264247,1.1543173760792147,right,0.0,True,0
DEU,2013,3,105.0,0,4.660714662614238,3.319749926116405,6.154317376079215,34.13,2.8345674499628095,1.1543173760792147,right,0.0,True,0
DEU,2013,4,33.0,0,7.842874953188626,6.881042647822964,6.154317376079215,34.13,0.7267252717437493,1.1543173760792147,right,0.0,True,0
DEU,2017,2,81.0,0,3.6944349233981715,8.858021926157987,5.100581703887064,26.759999999999994,3.7574402222709224,0.10058170388706422,center,0.0,True,0
DEU,2017,4,162.0,0,4.626071890495274,1.1402754426233515,5.100581703887064,26.759999999999994,3.960306261263713,0.10058170388706422,center,0.0,True,0
DEU,2017,5,200.0,0,5.776485388339424,3.2045092135615403,5.100581703887064,26.759999999999994,1.896072490325524,0.10058170388706422,center,0.0,True,0
DEU,2017,6,45.0,0,7.792237359018929,6.032272408645631,5.100581703887064,26.759999999999994,0.9316907047585667,0.10058170388706422,center,0.0,True,0
DNK,1998,5,35.0,0,5.343089554508135,5.534038214562317,4.338157786486184,35.899999999999984,1.1958804280761326,0.6618422135138156,center,0.0,True,0
DNK,2001,4,146.0,0,2.7260273972602738,2.7779569892473117,7.323958333333334,31.199999999999992,4.546001344086022,2.3239583333333336,right,0.0,True,0
DNK,2001,6,41.0,0,1.829268292682927,1.4722222222222223,7.323958333333334,31.199999999999992,5.851736111111111,2.3239583333333336,right,0.0,True,0
DNK,2007,4,117.0,0,7.3931623931623935,7.421591804570528,7.428350116189001,26.3,0.006758311618472845,2.4283501161890007,right,0.0,True,0
DNK,2007,7,33.0,0,1.5757575757575757,1.398687448728466,7.428350116189001,26.3,6.029662667460535,2.4283501161890007,right,0.0,True,0
DNK,2019,6,82.0,0,4.647179036793704,7.084400289400833,4.432454170078711,25.569999999999997,2.6519461193221217,0.567545829921289,center,0.0,True,0
ESP,1996,2,101.0,0,2.4436406248294595,2.27918962410843,7.836252401630056,38.69999999999999,5.557062777521626,2.8362524016300563,right,0.0,True,0
ESP,2000,1,213.0,0,3.243574062318634,3.706513545198292,7.109447767663317,45.19999999999999,3.402934222465025,2.109447767663317,right,0.0,True,0
ESP,2000,2,61.0,0,2.867730663589527,2.2515019894803783,7.109447767663317,45.19999999999999,4.857945778182939,2.109447767663317,right,0.0,True,0
ESP,2000,3,39.0,0,5.793335779326906,5.903922204230825,7.109447767663317,45.19999999999999,1.2055255634324924,2.109447767663317,right,0.0,True,0
ESP,2008,5,50.0,0,5.323396966323352,1.6088447121641973,3.0799146684418166,44.360000000000014,1.4710699562776193,1.9200853315581834,left,0.0,True,0
EST,2011,3,124.0,0,4.481475935622235,4.675745059741509,7.728792914500607,28.6,3.0530478547590985,2.728792914500607,right,0.0,True,0
FIN,2003,4,86.0,0,4.5,4.74412041392286,6.191163210099188,24.699999999999996,1.4470427961763281,1.1911632100991882,right,0.0,True,0
FIN,2007,3,51.0,0,3.8823529411764706,1.868032786885246,6.5661764705882355,23.110000000000003,4.698143683702989,1.5661764705882355,right,0.0,True,0
FIN,2007,6,40.0,0,5.575,6.002540220152413,6.5661764705882355,23.110000000000003,0.5636362504358221,1.5661764705882355,right,0.0,True,0
FIN,2007,7,42.0,0,5.023809523809524,5.807124239791485,6.5661764705882355,23.110000000000003,0.7590522307967502,1.5661764705882355,right,0.0,True,0
FIN,2011,3,127.0,0,6.291338582677166,6.332510288065843,8.136026380873867,20.400000000000002,1.8035160928080236,3.136026380873867,far-right,0.0,True,0
FIN,2011,4,99.0,0,2.4545454545454546,1.888521882741536,8.136026380873867,20.400000000000002,6.247504498132331,3.136026380873867,far-right,0.0,True,0
FIN,2011,7,37.0,0,5.54054054054054,6.025597269624574,8.136026380873867,20.400000000000002,2.110429111249293,3.136026380873867,far-right,0.0,True,0
FIN,2015,5,86.0,0,3.9492654890183183,2.1366444298588223,6.430794442326432,21.099999999999998,4.294150012467609,1.430794442326432,right,0.0,True,0
FIN,2015,7,44.0,0,6.463280228803807,6.181403925580239,6.430794442326432,21.099999999999998,0.2493905167461934,1.430794442326432,right,0.0,True,0
FIN,2019,6,54.0,0,5.327132562426681,6.312421814681746,3.537355551142195,17.729999999999997,2.775066263539551,1.4626444488578052,left,0.0,True,0
FRA,2002,1,32.0,0,3.7837896889822202,7.736018755808237,6.674688475462631,,1.0613302803456062,1.6746884754626308,right,1.0,True,0
FRA,2002,3,57.0,0,5.910370080090132,6.356017212655396,6.674688475462631,,0.3186712628072348,1.6746884754626308,right,1.0,True,0
FRA,2007,6,55.0,0,1.2728235742655964,1.3178747515423013,7.987460370246974,39.53999999999999,6.669585618704673,2.987460370246974,right,1.0,True,0
FRA,2012,3,134.0,0,6.938292215032708,1.4071997522600295,3.256326821546595,,1.8491270692865653,1.7436731784534052,left,1.0,True,0
FRA,2012,4,115.0,0,5.35499249988452,5.156499170410082,3.256326821546595,,1.900172348863487,1.7436731784534052,left,1.0,True,0
FRA,2012,5,92.0,0,5.948425895450097,3.355720694121811,3.256326821546595,,0.09939387257521615,1.7436731784534052,left,1.0,True,0
GBR,2015,3,89.0,0,4.2749658671041155,4.790396969145362,7.304320916440063,37.779999999999994,2.5139239472947015,2.304320916440063,right,1.0,False,0
GBR,2015,4,39.0,0,1.9283962244124042,4.402096804628066,7.304320916440063,37.779999999999994,2.9022241118119974,2.304320916440063,right,1.0,False,0
GBR,2015,5,58.0,0,1.9337137596084928,4.338843597830629,7.304320916440063,37.779999999999994,2.965477318609434,2.304320916440063,right,1.0,False,0
GBR,2019,3,73.0,0,1.932602002747264,3.9040225468820506,7.41695230671112,44.73000000000001,3.512929759829069,2.41695230671112,right,1.0,False,0
GBR,2019,5,39.0,0,6.15874525981415,7.600519268069941,7.41695230671112,44.73000000000001,0.1835669613588209,2.41695230671112,right,1.0,False,0
GRC,2009,2,47.0,0,3.234042553191489,1.9947534102833158,5.274226804123711,43.919999999999995,3.2794733938403953,0.27422680412371125,center,0.0,False,0
GRC,2009,4,44.0,0,4.863636363636363,3.247588424437299,5.274226804123711,43.919999999999995,2.0266383796864123,0.27422680412371125,center,0.0,False,0
GRC,2012,2,61.0,0,2.8090015023369688,5.981434577177595,7.61273145077914,29.66000000000001,1.6312968736015456,2.6127314507791404,right,0.0,False,0
GRC,2012,3,40.0,0,1.9335262635261998,6.89632654306885,7.61273145077914,29.66000000000001,0.7164049077102908,2.6127314507791404,right,0.0,False,0
GRC,2012,4,36.0,0,3.8392321676637566,9.305157358481726,7.61273145077914,29.66000000000001,1.6924259077025852,2.6127314507791404,right,0.0,False,0
GRC,2012,5,54.0,0,3.567945623173676,4.122364288821603,7.61273145077914,29.66000000000001,3.490367161957537,2.6127314507791404,right,0.0,False,0
GRC,2012,6,35.0,0,0.9580589473684211,1.0404512082351554,7.61273145077914,29.66000000000001,6.572280242543985,2.6127314507791404,right,0.0,False,0
