code,year,in_letter,out_warmth,n_sup,party_lr,vote_share,extremeness,bloc,fptp,tier,micro
CZE,1996,1,3.094577361703158,192.0,3.382978723404255,26.400000000000002,1.6170212765957448,left,0.0,True,0
CZE,1996,2,3.099976163059329,94.0,0.5964912280701754,10.299999999999999,4.4035087719298245,left,0.0,True,0
CZE,1996,3,4.187001360972912,84.0,6.1962296486718085,8.100000000000001,1.1962296486718085,right,0.0,True,0
CZE,1996,4,3.2337511977004145,58.0,5.9340344168260035,8.099999999999998,0.9340344168260035,center,0.0,True,0
CZE,1996,5,4.477002457002458,74.0,7.381478334749363,6.3999999999999995,2.381478334749363,right,0.0,True,0
CZE,2002,0,3.402575800616123,143.0,2.6955530216647663,30.199999999999992,2.3044469783352337,left,0.0,True,0
CZE,2002,1,3.195844807643197,113.0,8.243428571428572,24.47,3.2434285714285718,right,0.0,True,0
CZE,2002,2,3.8200949550610184,75.0,0.7664399092970522,18.509999999999998,4.233560090702948,left,0.0,True,0
CZE,2006,0,2.593100345405984,409.0,8.761105092091007,35.379999999999995,3.7611050920910074,right,0.0,True,0
CZE,2006,1,2.930774374781276,339.0,2.9033134166214016,32.32,2.0966865833785984,left,0.0,True,0
CZE,2006,2,3.5643257604656453,160.0,1.0442286947141317,12.81,3.955771305285868,left,0.0,True,0
CZE,2006,3,4.12269378076482,73.0,6.099382369455362,7.230000000000004,1.0993823694553617,right,0.0,True,0
CZE,2006,4,3.9072146102232743,101.0,6.1883623275344934,6.29,1.1883623275344934,right,0.0,True,0
CZE,2010,0,2.700116531582188,254.0,2.665289256198347,22.079999999999995,2.334710743801653,left,0.0,True,0
CZE,2010,1,3.5604071049078407,192.0,8.264619019492025,20.220000000000002,3.2646190194920255,right,0.0,True,0
CZE,2010,2,3.4949594680874174,159.0,7.893995098039215,16.699999999999996,2.8939950980392153,right,0.0,True,0
CZE,2010,3,2.8655510710356666,117.0,1.2095350206003532,11.27,3.7904649793996468,left,0.0,True,0
CZE,2010,4,3.539819156230085,101.0,6.686390532544379,10.879999999999997,1.6863905325443787,right,0.0,True,0
CZE,2010,5,3.580863822526392,37.0,5.355878634639697,4.390000000000001,0.35587863463969693,center,0.0,True,0
CZE,2010,7,3.512673551609904,36.0,5.633247089262613,2.4400000000000004,0.6332470892626132,center,0.0,True,0
CZE,2013,0,3.4065311170705166,207.0,2.4473173884938593,20.460000000000008,2.5526826115061407,left,0.0,True,0
CZE,2013,1,3.295168306288689,123.0,6.029325513196481,18.66,1.029325513196481,right,0.0,True,0
CZE,2013,2,3.384739848130422,124.0,1.138780804150454,14.91,3.861219195849546,left,0.0,True,0
CZE,2013,3,3.1032119390395208,79.0,8.149440421329823,12.0,3.149440421329823,right,0.0,True,0
CZE,2013,4,3.281674023150725,56.0,8.429407937540663,7.730000000000004,3.429407937540663,right,0.0,True,0
