state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_RH,first_choice_MW,first_choice_MRJ,first_choice_BE,first_choice_CO,first_choice_DH,first_choice_LK,first_choice_ZN,first_choice_JR,first_choice_PRG_dsa,first_choice_DSA_prg,first_choice_DSA_lib,first_choice_LIB_dsa,first_choice_LIB_sd,first_choice_SD_lib,first_choice_SD_sty,first_choice_STY_sd,first_choice_STY_ctr,first_choice_CTR_sty,first_choice_CTR_con,first_choice_CON_ctr,first_choice_CON_ref,first_choice_REF_con,first_choice_REF_nat,first_choice_NAT_ref
26,MI,1329.584123339628,0.20749943670358936,0.13312363762943943,0.09994050279332223,0.11290586273490309,0.09694374524327366,0.11438237301639446,0.08059122472652577,0.04367322730533406,0.062316268010565036,0.04862372183665272,0.057979113705024926,0.02387946043373103,0.03279895423490634,0.06134519083689761,0.030228496186177855,0.03704311514007313,0.05909424723242913,0.017317747417489995,0.03922956066038044,0.043820766511267414,0.03960416073385587,0.030649403146876267,0.04386575337599847,0.044649815478297744,0.030113371199798,0.016867833212622245,0.02583270503232575,0.008812856627849577,0.03478509453124201,0.05218741093999031,0.06359261722252113,0.049819355631023174,0.04583657466699241,0.039771876943303475,0.07087451889892571
27,MN,714.0147451905302,0.14898233312684017,0.14405837276603714,0.08189010159102578,0.08218313633662191,0.13635766637752839,0.12177046743922418,0.07224634713420063,0.07303221460392828,0.041230896988083264,0.0982484636365102,0.04879549267473125,0.023322941079425643,0.029355634668776824,0.03539575309653666,0.07107540027271764,0.049209130755825434,0.06054512137671397,0.010469404385689239,0.04916265962999,0.07875981142014236,0.0273084825804772,0.024517933458221283,0.031229756617950126,0.05130127387608978,0.03713431922348827,0.037285656241066785,0.009996336648649849,0.027705058023322376,0.03129060080774776,0.056040871756452275,0.04529890623995817,0.031559850631389594,0.03930623068329639,0.05002100221662046,0.04391237163472081
28,MS,444.2501713864426,0.18223941305599736,0.12725330243678493,0.2647117805377931,0.0765180124546201,0.03216753316545722,0.11351915763644388,0.09168282544312965,0.07614884524737388,0.02845978830381411,0.007299341718585738,0.037970874888446735,0.017479003103407203,0.08466450070350558,0.05436370478841655,0.023477165196734675,0.05392283835036483,0.04695840828934173,0.019990548149974335,0.008314418436680706,0.00561727958849726,0.014125941974958894,0.005721002091037696,0.018197948425306625,0.02327486745058272,0.0620460924142234,0.047635193239863795,0.09793591620449196,0.015562440936689233,0.04797476976731566,0.06648196194784625,0.10676622918127424,0.031514050225750274,0.03595129341841807,0.04279810149977897,0.03125544972709264
29,MO,950.7300393248061,0.19808582708266967,0.14148109155270389,0.1672368130881573,0.09879987917307202,0.06729533482332442,0.09819776651644699,0.08855895087442124,0.037278060298496236,0.07468001979555336,0.028386256795154784,0.07342708060367079,0.030230375883733056,0.07716090811169217,0.0723140417193969,0.036224542780232516,0.027110029711636955,0.0475638292263744,0.04251591607739692,0.028107053193794508,0.033590823529655735,0.014083269220833958,0.03672918961410956,0.022264493466323337,0.022422498948477,0.021474954037722708,0.03799151110739547,0.05275819229294825,0.03452113349073272,0.03756647425221628,0.051443601741851745,0.04952484951151362,0.03967918239571912,0.028137736875594975,0.030247791245695405,0.05291052096128199
30,MT,257.38114259017533,0.18128630096008816,0.13920585444643216,0.14428481161559073,0.15624032915053004,0.10211828574630755,0.08197134311655674,0.0967638866915935,0.01606763647976912,0.050079381922579214,0.03198216987055256,0.10157675801930105,0.010903630898566587,0.02983418472855839,0.09731562182097739,0.04115406937434305,0.06805143954789568,0.012523775873773726,0.026103034762675992,0.0410781611518711,0.02252278327309683,0.0144665415657104,0.02665210263361087,0.02075737880342776,0.019683129753143555,0.059145145138754456,0.030201116576968223,0.0779808136289617,0.015056845676680256,0.05228030066562179,0.054196414203291146,0.021915542662807885,0.07947995353187923,0.016936566206623607,0.01235832106129692,0.04782636844016239
31,NE,295.9094025556517,0.17323830229952708,0.15469178617223237,0.1402619561295496,0.08111044776040151,0.07026431537895515,0.11109641548513928,0.1343053730558164,0.032798167657865446,0.0796331068698247,0.022600129190688583,0.03533087016215414,0.06836897718002506,0.01874859555636229,0.08061965497692668,0.029224970038176635,0.044691771087324826,0.035066849233684645,0.041152330263226976,0.015601935390475169,0.05775350696667631,0.05716017001108787,0.02326286635982192,0.018374336870081904,0.03758217379927596,0.035018424907139425,0.015276772848666282,0.006828465393759745,0.027322194308734338,0.07735411865558242,0.026228614472177815,0.1137167785460606,0.032680514896005375,0.01058731887934765,0.024709681119775135,0.06733810807745105
32,NV,707.5349642159226,0.17790189693195413,0.17399798873040404,0.17054103491380368,0.08927410737956563,0.08197785923446113,0.10016051750223076,0.06020447763462698,0.049908472812338914,0.05060769781883115,0.04542594704178355,0.035495743806656745,0.03278510605481515,0.06155098279707965,0.04294737546810589,0.03336480431186077,0.04044993440961541,0.06994053408153836,0.022970986047367057,0.058493894519866044,0.03613353474937239,0.02476511681602592,0.025014335931435275,0.03646078265425015,0.03323820801105525,0.05081200321422297,0.047411759139806636,0.015162119395202192,0.019168644448644183,0.019619274569132015,0.03441569646099585,0.02369223983478268,0.1036155302644239,0.05743778036907362,0.028713388458651838,0.046340224186020136
33,NH,264.70182867427593,0.12145624656423418,0.19333155827129647,0.086064009371579,0.055871440624858486,0.09380505435493498,0.07854548779038299,0.10108577273258187,0.08539694593245668,0.10305172767915803,0.0813917566785172,0.0071730498967400224,0.034947973708875965,0.010560555704680015,0.03965450118521083,0.01748930252302989,0.010108409680464638,0.09288192777406169,0.03721757054486653,0.12223555087333034,0.018396681614190606,0.023292972705503897,0.03763100685407057,0.049124055100038665,0.048036921154893476,0.07534028663308732,0.011358218779690569,0.014508294536722156,0.028305627011019373,0.053598965677687974,0.0964648510364701,0.0346674530637884,0.038108975132149385,0.018538767558749177,0.033979967145051346,0.046378114105627206
34,NJ,1162.212189890641,0.16719476629850108,0.1511118467765934,0.10572941126596605,0.08457812396645736,0.10648246756306706,0.10172411665284582,0.09168512289851456,0.05842843379749055,0.06327554878531493,0.06979016199524905,0.053912278164782196,0.03812617178866611,0.02381730125320364,0.05752962229335804,0.05487620302173854,0.04287550186482467,0.06769825582383017,0.009021175599641653,0.04748865102750146,0.058359125720136955,0.05783986248801581,0.008405134230206477,0.030059793917427694,0.046741117718016166,0.029843837403358726,0.03377009526902663,0.03236359914029373,0.02414563239901143,0.05174887290621483,0.03275584479356418,0.03215465348619941,0.04812657474927439,0.03318908778741541,0.035961644857952196,0.04918996229633955
35,NM,415.09744284088754,0.16458434489665058,0.2114244576839569,0.15264702727633356,0.06320845555767315,0.08764359233913645,0.08855010493976398,0.09282302707216562,0.0448512255356518,0.05006479096989188,0.044202973728776004,0.05411309833001995,0.02851009085353139,0.043809127485437034,0.054071660261726606,0.044851324608848955,0.02101588333794269,0.05143048133365227,0.005694292549122978,0.03617852424911216,0.0307966300173456,0.053103706923135645,0.027437029423225325,0.03826691945123243,0.03059323712328781,0.05280625763714245,0.023850596742409812,0.05249103913496778,0.05048953746565468,0.08172792138000516,0.04638344418357603,0.027921281507851,0.084270483192733,0.00989792131308831,0.020366517091579064,0.029922994403371962
36,NY,2314.4361487307797,0.14238669427286663,0.16838300722744146,0.13390827043937492,0.06368187507219253,0.10162042088890187,0.09906413596541859,0.0932935147872337,0.06647913160541696,0.06965649104989192,0.06152645869126133,0.04133112065568375,0.03806729046766411,0.0377801525314996,0.022884450226411047,0.04515788384385827,0.041636187749555714,0.06233327496419999,0.029782135430720755,0.04989096046708439,0.034396576322129675,0.026753939875159463,0.03284044448605245,0.03569492007518135,0.06622361650537734,0.03852761296207051,0.04010036656422728,0.041680520922924534,0.01767519922574507,0.05084266951570936,0.051384833117926666,0.04819983265388247,0.04408187421899565,0.031083388955855825,0.02877022801912739,0.042880520242957444
37,NC,1455.3543868417394,0.1964343735762496,0.12670139330351865,0.1412345390691998,0.09717336346777145,0.07549828157115725,0.118503196286955,0.07851314753484702,0.06298979193908374,0.051286358272651725,0.05166555497856563,0.04453671774573339,0.0330949252219437,0.027696215537883664,0.08163327761326841,0.01937676633130711,0.0427892683670889,0.05839357053323033,0.028526930807771862,0.034157896130103685,0.03957215293086441,0.030175781961479933,0.027127580927186132,0.04747808077075094,0.03647259594878688,0.05896049328761791,0.014920942321843867,0.02750406904797564,0.021790227018861186,0.042580522074100034,0.0523499159681699,0.06566331794473886,0.04822074844464467,0.034967965036370646,0.02815555770116105,0.053854480327116934
38,ND,112.01903649032609,0.1731382178938602,0.1718164723732826,0.09447881225115919,0.052314794826818584,0.06620735106562113,0.18895814754747245,0.14387376467049257,0.05148720863807505,0.028330707879741283,0.02939452285347683,0.04049977958855979,0.008309997154124274,0.012301401206807396,0.07413394419161917,0.06522161321818731,0.043106766885432114,0.02870023741001382,0.03366221041148011,0.007433390290639588,0.013552479324493088,0.02442726011740022,0.0,0.04715541254634725,0.043154350132481555,0.08597405616605144,0.003555988089522694,0.014224905079819746,0.01681741238197099,0.03526207632592504,0.06575637486542073,0.05261989692134011,0.03939224988559417,0.11693033174830482,0.057245063576328574,0.07056280248213606
39,OH,1727.1453712960188,0.19889036871077048,0.12337886718274836,0.13372293935481924,0.09607045618142443,0.07707915904542641,0.11560648054012039,0.12264060766831589,0.04856211854122566,0.05443088765854584,0.029618115116603064,0.048600664290742286,0.031009971576869997,0.0332466481379601,0.06843316039431277,0.04383403276709885,0.03737738594381132,0.06694050685315366,0.027360923021993236,0.033169021489883516,0.02214003686434836,0.02299012092265355,0.02177835089952794,0.02418187926890419,0.028490116710711857,0.027292108132720615,0.03696008199244391,0.032795995097388286,0.032977190532602466,0.054816610123494584,0.05940578122374837,0.0651523381254354,0.06169872994035307,0.030175118731860785,0.03671986322811501,0.05245336372986574
40,OK,606.2032476806337,0.21993886812596733,0.09133108447790962,0.13023243707271173,0.12108949541383139,0.06791354114051001,0.12556081138734085,0.11442589417946826,0.05202833548740446,0.06332564484261166,0.014153887872244565,0.06293393066759281,0.02063355803407272,0.03463512633726397,0.0960547922542258,0.019690480984943002,0.04343580336081923,0.05333327234124047,0.051343374129082235,0.023663026679185278,0.01330154119294672,0.013811290684555652,0.01779729377828021,0.011959514871304054,0.02875939283786708,0.04741160768684676,0.026907649763395745,0.01003239177069339,0.015107429355508172,0.04498185493410439,0.07861765332311979,0.060966073808515875,0.07907402609954231,0.027750381087902714,0.07597210611808101,0.04182642789891066
