w,baseline_party,k5_noresid,k4_resid,k4_noresid,conf_resid,conf_noresid
1.343748199082357,CON,2,9,9,0.5580614590603802,0.7153429179367015
0.3377910339744654,SD,7,4,0,0.9879962709802922,0.9933025490330953
0.6024871503352479,CON,2,9,9,0.7617454378931551,0.7298065600214957
0.5376330770796983,CUP,9,3,6,0.654016449915187,0.7183681638394664
1.028379478890106,STY,0,3,3,0.9999957023763586,0.9997181061388517
0.364200607551568,C7,1,5,7,0.5893933260342239,0.5273120352378663
0.0039329472354064,CON,2,8,8,0.6890221548996184,0.7707628396536481
0.0001235119842065,CUP,9,3,6,0.6366268125618526,0.8160807195421359
0.22812401610728,CUP,9,9,9,0.9434372255657254,0.9485925442341525
0.4511447941092356,NAT,8,8,8,0.8357446299543546,0.8263759228210106
0.0411938092874349,SD,7,4,0,0.9385525875221133,0.9558749572984928
0.2120525845393567,C7,6,7,5,0.9116926392591798,0.8170218133055983
0.7099132234913125,CON,2,9,6,0.450027073425139,0.5444957928680917
1.818360213576135,CUP,9,9,9,0.731735411493611,0.7365968601877696
1.608486762018628,CON,0,3,3,0.5069933743585382,0.47592272352376097
0.8775586371563711,LIB,5,1,2,0.8572208148151194,0.5641054088113621
0.5929252104060986,CUP,2,9,9,0.5714645378651984,0.5408954178560909
0.1370660629909603,CON,2,9,9,0.5139027335262003,0.5163573190803029
0.346237583039721,DSA,5,4,0,0.4671035660087508,0.7997140315782881
0.3695429139216554,C7,1,5,2,0.5502900255889208,0.950194877532028
1.007632809735253,STY,0,3,6,0.5516463318469542,0.4044012440871628
0.6317330149538171,LIB,4,1,1,0.759847400108669,0.4584554328747318
0.5120934952090513,CON,2,9,9,0.9335997902391481,0.9217434123266299
0.0002483385669313,LIB,1,2,2,0.4972597261783374,0.7690306501306726
0.0910292904806213,LIB,5,2,2,0.5252341171861252,0.7397403373100728
0.2637504990772299,CON,2,9,9,0.8807162322092796,0.8569633399066596
0.4196929431265994,LIB,1,2,2,0.42990341309591296,0.8036223518777036
1.360897178644921,C7,6,7,5,0.7966409456676409,0.6893217187238674
0.6142514523278673,LIB,5,2,1,0.9023865969572773,0.7771396538246961
0.8371868848016412,CUP,9,7,5,0.6556097225036077,0.647549122608967
6.788517428479898,POP,4,2,2,0.9459422331984964,0.740107948277751
0.2939728860723812,CON,6,9,5,0.8496477155920542,0.4961755170502739
0.1583336647811306,CON,2,9,9,0.6650894444988082,0.6631848703671868
0.1348571710462542,DSA,5,2,2,0.9467337186313791,0.7106632279363455
1.425841537074552,SD,7,4,0,0.976303682180767,0.9643345656947437
1.146920427372329,POP,4,0,1,0.9863946046804626,0.8724180391028474
0.821537529479376,POP,3,0,1,0.9695102608126983,0.8369891040165813
0.3578181020350409,CON,2,9,9,0.6171948056361372,0.6905611882080535
0.0599441766889046,LIB,5,5,2,0.5455267652932723,0.5359658071751527
0.0596287252146218,C7,1,6,7,0.7029501786243527,0.6156797657440128
0.2983656615413488,C7,6,7,7,0.8143743082065078,0.614658111265468
0.3636693067942394,C7,5,1,7,0.7553299013780648,0.6101210302938237
0.4208599561481733,CUP,9,6,7,0.7843736305857282,0.7875284711651658
0.6639250735760385,LIB,5,6,7,0.8680757063974562,0.6068430949620982
0.3817697977861823,CON,2,9,9,0.783660926424177,0.7837606656128614
0.0151915794723333,LIB,4,0,1,0.501504420650415,0.842074128753126
0.4287001179492539,PRG,1,4,4,0.9210753967116093,0.80009433915985
0.3300414261771923,CON,2,3,9,0.6176663686659997,0.6028722446615695
0.5580101608449218,LIB,5,1,2,0.5271521823490438,0.6567950211229846
1.74743628404694,CON,2,9,9,0.8756066420353601,0.8798638385515385
0.9875526703820408,CON,2,9,9,0.49679567911434425,0.5691514540214362
1.428015819819985,CUP,9,9,9,0.6307671082995132,0.6722893040236906
1.26423824420169,PRG,1,5,4,0.6951563187291258,0.9651250524788388
1.101353071408076,CUP,2,9,9,0.5833685336471569,0.49852993535109713
0.0001229608572833,POP,4,0,1,0.9785352920928697,0.743513982628533
0.8100531135914942,STY,0,3,9,0.8723469638523713,0.8280495005837242
0.0001177078140708,POP,4,0,1,0.9249513223594716,0.8643465424903888
2.348236470771926,C7,1,6,7,0.5833292483099481,0.264494068179479
0.3884341347015005,LIB,4,2,1,0.48649359738725406,0.7299172020023472
1.613641866512581,POP,3,0,1,0.9709012434857315,0.8560562652992367
0.3301876592276325,NAT,8,8,8,0.689522615657926,0.8949977996246994
0.4992656628806291,CON,6,7,5,0.6852708222177861,0.8303620017426354
0.2792882287129245,C7,1,1,2,0.8687916569909133,0.5643733128291981
0.4686725258902161,SD,7,4,4,0.5378423437591349,0.6723389951426068
0.4126801621810387,DSA,4,4,0,0.9638071757346764,0.49871787523721417
2.795477681527371,NAT,8,8,8,0.9731180364941038,0.9735958860024247
0.5157020734843815,STY,0,3,3,0.9999246872676355,0.9814264472299546
0.8236355363529364,C7,4,1,2,0.6558914598069138,0.33679586213469015
0.8567470435797991,PRG,1,5,4,0.8097609026705261,0.9465213005446377
0.5825442961553211,POP,4,0,1,0.9104734219808528,0.8740929343261099
0.7839429532250807,NAT,8,8,8,0.838182725191935,0.8435456429481042
1.148381092564792,STY,0,9,9,0.7352186223152678,0.6360201577881266
2.407242925474265,POP,4,0,1,0.9860299925550645,0.5487834831970623
1.503204125438481,CON,2,9,9,0.8004862531848802,0.792135258173883
0.8379242199853235,LIB,6,7,5,0.36100505341420014,0.9540682773974074
0.9194584957614682,SD,7,4,0,0.9145783224678651,0.8630245396974308
0.9531008998637326,CUP,9,6,7,0.5646255968761217,0.6934546066831109
0.7786186510057144,POP,3,0,1,0.8719102655214136,0.6003188254140672
0.8247896107279821,CON,2,9,9,0.9404656008750477,0.9385471900832685
0.6185159785182406,CUP,2,9,9,0.5883511036139407,0.5167830550110344
1.608486762018628,CON,2,9,9,0.5754187315988827,0.6923038275460827
0.6433251436233235,NAT,8,8,8,0.9650665211457875,0.974274887575727
0.4112921628165981,LIB,5,1,7,0.700400383177602,0.8070633663505734
1.817479837341043,POP,3,0,1,0.9935675416803439,0.6367616196395111
13.896101641424666,STY,0,3,3,0.9537410618261533,0.606551684583301
0.756892578775968,LIB,5,1,2,0.889760901227821,0.6661006172583753
0.9385390121578936,C7,6,7,7,0.5107044841748214,0.6427436269541271
0.8548491335078874,PRG,1,5,4,0.8008431757784151,0.9742146284286076
0.9529968280418952,LIB,4,2,1,0.5506315915832265,0.6309257543080348
0.6427167475454242,CUP,9,9,9,0.7266093242451476,0.63694940782518
0.002089570151966,LIB,5,2,7,0.810878971127844,0.7413775506840629
0.8045808533937601,CON,2,9,9,0.6271983433045684,0.7511580125481532
0.8607533153853317,PRG,1,5,4,0.7578139348087647,0.915886735153135
0.662253509283533,CON,2,8,8,0.6671688537149244,0.6375522361581986
1.254413292770021,POP,3,0,1,0.9775382936952397,0.9960865283735828
0.374884760703205,POP,4,0,1,0.9950313445964187,0.5606525925882326
0.8411743990504482,STY,0,9,9,0.523014927889229,0.48323176803741524
0.2519689673197982,CON,6,7,5,0.8434648325236094,0.5588534772227627
1.842179499618359,CON,2,9,9,0.8601997271939353,0.8367603570051327
0.4941527950944711,CUP,9,9,6,0.7044325191428308,0.6626173809857427
1.058250598338391,DSA,5,4,0,0.6201928035742846,0.6259770717217749
2.656819091588864,SD,7,4,0,0.9773188904530581,0.963434272226998
0.3514596147551204,CON,2,9,9,0.833788552091979,0.8659271202510818
1.019689045895843,LIB,5,6,7,0.8110159340037154,0.6203272339281607
12.05187294496804,SD,7,4,0,0.977466043165098,0.9735385560093143
0.8631810157658185,PRG,1,5,4,0.9138672358714196,0.9715134866625075
0.8391035980350846,PRG,1,5,4,0.8375133426264897,0.9793699478951271
1.146920427372329,LIB,5,2,7,0.5608383429514212,0.7579327555021337
0.2433301624444473,LIB,4,2,7,0.6991338623881197,0.5930115532538955
1.982741210766336,CUP,9,9,6,0.8173537607548573,0.8069592916834418
0.3609348739698918,CUP,0,3,6,0.6259183970762614,0.8052178065209159
0.9572260436971516,DSA,5,2,2,0.9319860171044996,0.453837277252751
0.2416500268492301,LIB,5,6,7,0.9273180854968064,0.8027292078132863
0.0415000252679851,C7,1,1,7,0.9059940124564709,0.9011277735200388
1.360307077852407,LIB,5,6,7,0.609431723937425,0.5354842651497985
1.064636139511872,STY,0,3,9,0.9422564185440463,0.9550949597512186
1.036613914608522,CON,2,9,5,0.9317525292042723,0.9316481064161175
1.046652691180493,CON,2,9,9,0.9459403462171037,0.9476229803129819
0.0001457997833777,CON,2,9,9,0.6632111157230156,0.8176293617622348
1.318715308505999,LIB,5,2,7,0.8035576596888006,0.8627517693084271
0.5799497795133322,CUP,9,9,6,0.7575773832796814,0.6649093640131162
0.0048266984646369,CON,2,7,5,0.8516431320916302,0.46768445034120953
0.4018028532383823,POP,4,1,2,0.6848755096432286,0.6236334770367682
0.5354530881194579,POP,4,0,1,0.9807464586218998,0.620501026424671
5.209012314673824,NAT,2,8,8,0.49219022107015703,0.5195989302108363
1.378877734530082,C7,1,1,2,0.8055115854423806,0.7009686565710501
2.555903575124733,POP,3,0,1,0.9660060027471212,0.5774634768126353
0.3431291768561286,LIB,5,2,2,0.5577542610393169,0.6358056840907622
0.2484170561915378,NAT,8,8,8,0.7290181587308703,0.7750429802709996
0.0001573740932959,POP,3,0,1,0.9995917097284396,0.7433981100528336
0.9190249500821586,CUP,9,7,5,0.5108073403189174,0.4952672324826891
3.588774993252886,LIB,5,2,1,0.5771757313004262,0.5520538119625376
0.4155928029958461,C7,1,2,2,0.3962333568374297,0.9135776887130982
0.7087630199666706,C7,6,7,5,0.8041488680414854,0.8612083697090226
0.0462013200394747,CON,2,9,9,0.8824493862442325,0.8910197833405942
0.0001457997833777,CUP,9,9,9,0.800280650418799,0.7855478789461533
1.749861860063199,POP,4,0,1,0.9366321257142002,0.680354105348416
3.858510576703531,C7,6,7,5,0.8939446419980223,0.8645779899798981
0.9461663650784564,CON,2,7,5,0.8311874880263935,0.7928602241199983
0.8520118646348117,LIB,5,6,7,0.5701443390975988,0.7271731838458553
0.8939738096116493,DSA,4,2,1,0.9398117567531417,0.9414229695248397
1.934679805819978,POP,4,0,1,0.774067839192591,0.7398852251098379
2.735095985575196,LIB,5,6,7,0.989088190272546,0.9624934367014784
0.4540090686033441,LIB,5,1,2,0.8907898146268993,0.5832506355626705
0.8523792741231543,NAT,8,8,8,0.9746505576246415,0.9715982317206703
