# SUPERSEDES the buggy polychoric pass. Corrected weighted polychoric (commonpostweight, listwise per pair) via efa_pipeline_v4.py MLE. Pairs with corrected |r|>=0.60. See redundancy_recheck_notes.md.
var_a,var_b,polychoric_r,partyID_r2_a,partyID_r2_b,preferred_retain,suggested_drop,rationale
CC24_340f,CC24_441a,0.6437,0.2293,0.3198,CC24_340f,CC24_441a,|r|=0.64; retain CC24_340f (PID R2=0.229) over CC24_441a (PID R2=0.320)
CC24_324d,CC24_340b,0.64,0.342,0.1114,CC24_340b,CC24_324d,|r|=0.64; retain CC24_340b (PID R2=0.111) over CC24_324d (PID R2=0.342)
CC24_440b,CC24_441a,0.6397,0.2294,0.3198,CC24_440b,CC24_441a,|r|=0.64; retain CC24_440b (PID R2=0.229) over CC24_441a (PID R2=0.320)
CC24_340f,CC24_441b,0.6366,0.2293,0.3502,CC24_340f,CC24_441b,|r|=0.64; retain CC24_340f (PID R2=0.229) over CC24_441b (PID R2=0.350)
CC24_340f,CC24_440a,0.6318,0.2293,0.3665,CC24_340f,CC24_440a,|r|=0.63; retain CC24_340f (PID R2=0.229) over CC24_440a (PID R2=0.366)
CC24_440d,CC24_441a,0.6306,0.2347,0.3198,CC24_440d,CC24_441a,|r|=0.63; retain CC24_440d (PID R2=0.235) over CC24_441a (PID R2=0.320)
CC24_323a,CC24_324d,0.6173,0.2325,0.342,CC24_323a,CC24_324d,|r|=0.62; retain CC24_323a (PID R2=0.233) over CC24_324d (PID R2=0.342)
pew_churatd,pew_bornagain,0.615,0.0663,0.0823,pew_churatd,pew_bornagain,|r|=0.61; retain pew_churatd (PID R2=0.066) over pew_bornagain (PID R2=0.082)
CC24_321b,CC24_321c,0.6107,0.1925,0.0252,CC24_321b,CC24_321c,|r|=0.61; retain CC24_321b (PID R2=0.193) over CC24_321c (PID R2=0.025)
CC24_323a,CC24_440a,0.6101,0.2325,0.3665,CC24_323a,CC24_440a,|r|=0.61; retain CC24_323a (PID R2=0.233) over CC24_440a (PID R2=0.366)
CC24_325,CC24_340c,0.6093,0.2503,0.2071,CC24_340c,CC24_325,|r|=0.61; retain CC24_340c (PID R2=0.207) over CC24_325 (PID R2=0.250)
CC24_323d,CC24_440a,0.6082,0.2008,0.3665,CC24_323d,CC24_440a,|r|=0.61; retain CC24_323d (PID R2=0.201) over CC24_440a (PID R2=0.366)
CC24_324d,CC24_441b,0.6055,0.342,0.3502,CC24_324d,CC24_441b,|r|=0.61; retain CC24_324d (PID R2=0.342) over CC24_441b (PID R2=0.350)
CC24_440b,CC24_441b,0.6039,0.2294,0.3502,CC24_440b,CC24_441b,|r|=0.60; retain CC24_440b (PID R2=0.229) over CC24_441b (PID R2=0.350)
CC24_323d,CC24_324d,0.6031,0.2008,0.342,CC24_323d,CC24_324d,|r|=0.60; retain CC24_323d (PID R2=0.201) over CC24_324d (PID R2=0.342)
