state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_OAO,inc_LIB,inc_POP,inc_LBR,inc_NAT,inc_PRG,inc_DSA,inc_CUP,inc_STY,inc_CON
53,WA,CON_1,CON,13.55,2.46,0.0,1.77,0.0,0.0,0.0,0.0,0.82,0.0,0.0
53,WA,LBR_1,LBR,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,2.01,0.0
53,WA,LIB_1,LIB,14.67,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,WA,NAT_1,NAT,11.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,WA,PRG_1,PRG,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,CON_1,CON,22.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,CUP_1,CUP,11.1,2.89,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,LBR_1,LBR,13.72,1.38,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,NAT_1,NAT,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,STY_1,STY,10.22,0.0,0.0,3.51,0.0,0.0,0.0,3.82,0.0,0.0,0.0
55,WI,CON_1,CON,23.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,WI,LBR_1,LBR,12.28,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0
55,WI,LIB_1,LIB,11.21,1.3,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0
55,WI,NAT_1,NAT,12.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,WI,POP_1,POP,8.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,0.0
56,WY,CON_1,CON,30.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,WY,CON_2,CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.05
56,WY,LBR_1,LBR,8.6,3.16,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.74,0.0
56,WY,LIB_1,LIB,13.74,0.88,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0
56,WY,POP_1,POP,16.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0
