state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_NAT,inc_LIB,inc_PRG,inc_DSA
48,TX,CUP_1,CUP,9.79,1.77,4.16,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,LBR_1,LBR,13.39,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63
48,TX,NAT_1,NAT,10.58,0.55,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,STY_1,STY,13.35,0.0,0.77,0.0,0.0,2.21,0.0,0.0,0.0,0.0,2.35
49,UT,CON_1,CON,16.67,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CUP_1,CUP,8.94,0.57,1.69,0.0,0.0,0.0,0.0,2.67,5.58,0.0,0.0
49,UT,LBR_1,LBR,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,POP_1,POP,11.52,0.0,0.0,0.0,0.0,0.0,0.0,8.14,0.0,0.0,0.0
49,UT,STY_1,STY,11.63,0.0,0.0,1.63,0.0,0.0,1.07,0.0,0.0,0.0,7.32
50,VT,CON_1,CON,12.06,0.0,0.0,3.66,0.0,0.0,0.0,4.26,0.0,0.0,0.0
50,VT,LBR_1,LBR,10.62,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,5.0
50,VT,LIB_1,LIB,13.67,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,VT,PRG_1,PRG,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,VT,PRG_2,PRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71,0.0
51,VA,CON_1,CON,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LBR_1,LBR,16.23,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LIB_1,LIB,9.97,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,9.65,0.56
51,VA,NAT_1,NAT,11.72,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,STY_1,STY,7.81,0.0,0.69,6.21,0.0,0.67,0.0,0.0,0.0,0.0,3.87
53,WA,CON_1,CON,13.41,0.0,2.43,5.02,0.57,0.0,0.0,0.0,0.0,0.0,0.0
53,WA,LBR_1,LBR,13.24,0.95,0.6,1.8,2.76,0.0,0.0,0.0,0.0,0.0,0.0
53,WA,LIB_1,LIB,13.57,0.0,1.79,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.84
53,WA,NAT_1,NAT,10.34,0.9,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,WA,PRG_1,PRG,12.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88
54,WV,CON_1,CON,21.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,CUP_1,CUP,11.74,0.75,4.55,0.0,0.0,1.08,0.0,0.0,0.93,0.0,0.0
54,WV,LBR_1,LBR,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,0.0,0.0
54,WV,NAT_1,NAT,11.21,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,STY_1,STY,13.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74
55,WI,CON_1,CON,22.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,WI,LBR_1,LBR,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85
55,WI,LIB_1,LIB,10.29,0.0,1.65,0.0,0.0,0.0,0.54,0.0,0.0,8.5,0.0
55,WI,POP_1,POP,9.11,4.93,0.0,0.0,0.0,0.0,0.6,10.74,0.0,0.0,0.0
55,WI,STY_1,STY,7.12,1.01,0.75,0.0,0.0,0.69,2.88,0.0,0.0,0.0,0.0
56,WY,CON_1,CON,29.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,WY,CON_2,CON,0.0,11.61,0.0,0.74,0.0,0.0,0.0,9.66,0.0,0.0,0.0
56,WY,CUP_1,CUP,7.79,2.58,2.36,1.74,0.86,1.83,0.0,0.0,0.0,0.0,0.0
56,WY,LIB_1,LIB,12.53,0.0,0.85,0.0,0.0,6.15,0.0,0.0,0.0,1.5,0.0
56,WY,POP_1,POP,17.71,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,0.0,0.0
