candidate_code,candidate_name,variable,label,scale,domain,overall_mean,candidate_mean,delta,delta_pct_range
LK,CTR,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,1.0312,-0.8786,-48.39
LK,CTR,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.0786,-0.3314,-65.75
LK,CTR,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,1.9218,-0.2657,-59.73
LK,CTR,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,3.3999,0.3467,13.14
LK,CTR,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,3.0973,0.3868,26.47
ZN,DSA,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,5.2552,0.9085,62.77
ZN,DSA,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,3.0358,-0.0841,-9.76
ZN,DSA,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,1.7634,0.1518,16.81
ZN,DSA,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.7119,0.341,41.57
ZN,DSA,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.0036,-0.3429,-37.09
ZN,DSA,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.0453,-0.1502,-33.62
ZN,DSA,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.0063,-0.4014,-40.23
ZN,DSA,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.8166,0.6123,74.98
ZN,DSA,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.0,-0.296,-29.68
ZN,DSA,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.9809,0.3702,40.83
ZN,DSA,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.9973,0.5645,56.6
ZN,DSA,CC24_321e,Oppose 10% police budget cut,"1=Lib (support cut), 2=Con (oppose cut); HIGH=con",Guns/Policing,1.732,1.1279,-0.6041,-69.36
ZN,DSA,CC24_325,Abortion week limit (40−raw; high=more restrictive),0–39 (0=most permissive),Abortion,23.9201,12.4296,-11.4905,-50.63
ZN,DSA,CC24_324b,Permit abortion only rape/incest/life danger,"1=Oppose, 2=Support (HIGH=restrictive)",Abortion,1.486,1.8585,0.3725,56.04
ZN,DSA,CC24_340b,Oppose ban on abortion service restrictions,"1=Lib (support ban), 2=Con (oppose ban); HIGH=con",Abortion,1.3698,1.0595,-0.3103,-48.36
ZN,DSA,CC24_340c,Oppose same-sex marriage recognition,"1=Lib (support SSM), 2=Con (oppose SSM); HIGH=con",Civil Liberties,1.3393,1.0153,-0.324,-44.16
ZN,DSA,CC24_340e,Renew post-9/11 surveillance programs,"1=Oppose, 2=Support (HIGH=con)",Civil Liberties,1.6598,1.8167,0.1569,23.12
ZN,DSA,CC24_340f,Deny asylum at the border,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.3683,1.9997,0.6314,63.16
ZN,DSA,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,4.7575,1.2743,45.62
ZN,DSA,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,4.7164,1.1786,52.97
ZN,DSA,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,3.2445,0.8792,47.81
ZN,DSA,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,2.4948,0.585,32.22
ZN,DSA,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.5826,0.1726,34.25
ZN,DSA,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,2.3666,0.1791,40.27
ZN,DSA,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,1.5715,-1.4817,-56.15
ZN,DSA,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,1.7257,-0.9848,-67.4
JR,PRG,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,5.1734,0.8267,57.12
JR,PRG,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,2.7421,-0.3778,-43.82
JR,PRG,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,2.0963,0.4847,53.66
JR,PRG,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.8825,0.5116,62.36
JR,PRG,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.0,-0.3465,-37.48
JR,PRG,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.0047,-0.1908,-42.71
JR,PRG,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.0002,-0.4075,-40.84
JR,PRG,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.5937,0.3894,47.69
JR,PRG,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.0,-0.296,-29.68
JR,PRG,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.989,0.3783,41.72
JR,PRG,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.996,0.5632,56.47
JR,PRG,CC24_321e,Oppose 10% police budget cut,"1=Lib (support cut), 2=Con (oppose cut); HIGH=con",Guns/Policing,1.732,1.2443,-0.4877,-55.99
JR,PRG,CC24_325,Abortion week limit (40−raw; high=more restrictive),0–39 (0=most permissive),Abortion,23.9201,9.4533,-14.4668,-63.75
JR,PRG,CC24_324b,Permit abortion only rape/incest/life danger,"1=Oppose, 2=Support (HIGH=restrictive)",Abortion,1.486,1.9386,0.4526,68.09
JR,PRG,CC24_340b,Oppose ban on abortion service restrictions,"1=Lib (support ban), 2=Con (oppose ban); HIGH=con",Abortion,1.3698,1.0432,-0.3266,-50.9
JR,PRG,CC24_340c,Oppose same-sex marriage recognition,"1=Lib (support SSM), 2=Con (oppose SSM); HIGH=con",Civil Liberties,1.3393,1.0009,-0.3384,-46.12
JR,PRG,CC24_340e,Renew post-9/11 surveillance programs,"1=Oppose, 2=Support (HIGH=con)",Civil Liberties,1.6598,1.9625,0.3027,44.61
JR,PRG,CC24_340f,Deny asylum at the border,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.3683,1.9989,0.6306,63.08
JR,PRG,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,4.7779,1.2947,46.35
JR,PRG,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,4.8369,1.2991,58.38
JR,PRG,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,1.6584,-0.7069,-38.44
JR,PRG,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,1.0109,-0.8989,-49.51
JR,PRG,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.4388,0.0288,5.71
JR,PRG,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,2.0671,-0.1204,-27.07
JR,PRG,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,1.6147,-1.4385,-54.52
JR,PRG,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,1.7296,-0.9809,-67.13
SD_STY,SD/STY,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,4.5984,0.2517,17.39
SD_STY,SD/STY,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,3.02,-0.0999,-11.59
SD_STY,SD/STY,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,1.8002,0.1886,20.88
SD_STY,SD/STY,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.4728,0.1019,12.42
SD_STY,SD/STY,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.2273,-0.1192,-12.89
SD_STY,SD/STY,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.1583,-0.0372,-8.32
SD_STY,SD/STY,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.198,-0.2097,-21.01
SD_STY,SD/STY,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.3021,0.0978,11.98
SD_STY,SD/STY,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.0548,-0.2412,-24.19
SD_STY,SD/STY,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.7441,0.1334,14.72
SD_STY,SD/STY,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.674,0.2412,24.18
SD_STY,SD/STY,CC24_321e,Oppose 10% police budget cut,"1=Lib (support cut), 2=Con (oppose cut); HIGH=con",Guns/Policing,1.732,1.6061,-0.1259,-14.45
SD_STY,SD/STY,CC24_325,Abortion week limit (40−raw; high=more restrictive),0–39 (0=most permissive),Abortion,23.9201,21.8917,-2.0284,-8.94
SD_STY,SD/STY,CC24_324b,Permit abortion only rape/incest/life danger,"1=Oppose, 2=Support (HIGH=restrictive)",Abortion,1.486,1.565,0.079,11.88
SD_STY,SD/STY,CC24_340b,Oppose ban on abortion service restrictions,"1=Lib (support ban), 2=Con (oppose ban); HIGH=con",Abortion,1.3698,1.2701,-0.0997,-15.53
SD_STY,SD/STY,CC24_340c,Oppose same-sex marriage recognition,"1=Lib (support SSM), 2=Con (oppose SSM); HIGH=con",Civil Liberties,1.3393,1.178,-0.1613,-21.98
SD_STY,SD/STY,CC24_340e,Renew post-9/11 surveillance programs,"1=Oppose, 2=Support (HIGH=con)",Civil Liberties,1.6598,1.6559,-0.0039,-0.57
SD_STY,SD/STY,CC24_340f,Deny asylum at the border,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.3683,1.6048,0.2365,23.66
SD_STY,SD/STY,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,3.9073,0.4241,15.18
SD_STY,SD/STY,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,3.7226,0.1848,8.31
SD_STY,SD/STY,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,2.5981,0.2328,12.66
SD_STY,SD/STY,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,2.1812,0.2714,14.95
SD_STY,SD/STY,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.3945,-0.0155,-3.07
SD_STY,SD/STY,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,2.2482,0.0607,13.65
SD_STY,SD/STY,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,2.6337,-0.4195,-15.9
SD_STY,SD/STY,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,2.5132,-0.1973,-13.51
CON_CTR,CON/CTR,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,3.8888,-0.4579,-31.64
CON_CTR,CON/CTR,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,3.1895,0.0696,8.08
CON_CTR,CON/CTR,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,1.4052,-0.2064,-22.85
CON_CTR,CON/CTR,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.1818,-0.1891,-23.04
CON_CTR,CON/CTR,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.4385,0.092,9.95
CON_CTR,CON/CTR,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.2111,0.0156,3.49
CON_CTR,CON/CTR,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.5847,0.177,17.74
CON_CTR,CON/CTR,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.0291,-0.1752,-21.46
CON_CTR,CON/CTR,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.3967,0.1007,10.1
CON_CTR,CON/CTR,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.4915,-0.1192,-13.15
CON_CTR,CON/CTR,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.1343,-0.2985,-29.93
CON_CTR,CON/CTR,CC24_321e,Oppose 10% police budget cut,"1=Lib (support cut), 2=Con (oppose cut); HIGH=con",Guns/Policing,1.732,1.9252,0.1932,22.18
CON_CTR,CON/CTR,CC24_325,Abortion week limit (40−raw; high=more restrictive),0–39 (0=most permissive),Abortion,23.9201,28.3778,4.4577,19.64
CON_CTR,CON/CTR,CC24_324b,Permit abortion only rape/incest/life danger,"1=Oppose, 2=Support (HIGH=restrictive)",Abortion,1.486,1.301,-0.185,-27.83
CON_CTR,CON/CTR,CC24_340b,Oppose ban on abortion service restrictions,"1=Lib (support ban), 2=Con (oppose ban); HIGH=con",Abortion,1.3698,1.4933,0.1235,19.25
CON_CTR,CON/CTR,CC24_340c,Oppose same-sex marriage recognition,"1=Lib (support SSM), 2=Con (oppose SSM); HIGH=con",Civil Liberties,1.3393,1.4912,0.1519,20.71
CON_CTR,CON/CTR,CC24_340e,Renew post-9/11 surveillance programs,"1=Oppose, 2=Support (HIGH=con)",Civil Liberties,1.6598,1.5466,-0.1132,-16.68
CON_CTR,CON/CTR,CC24_340f,Deny asylum at the border,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.3683,1.0692,-0.2991,-29.92
CON_CTR,CON/CTR,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,2.998,-0.4852,-17.37
CON_CTR,CON/CTR,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,3.1493,-0.3885,-17.46
CON_CTR,CON/CTR,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,2.0435,-0.3218,-17.5
CON_CTR,CON/CTR,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,1.5296,-0.3802,-20.94
CON_CTR,CON/CTR,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.349,-0.061,-12.11
CON_CTR,CON/CTR,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,2.0996,-0.0879,-19.77
CON_CTR,CON/CTR,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,3.6527,0.5995,22.72
CON_CTR,CON/CTR,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,3.1192,0.4087,27.97
CON_SD,CON/SD,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,4.3579,0.0112,0.77
CON_SD,CON/SD,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,3.135,0.0151,1.75
CON_SD,CON/SD,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,1.5517,-0.0599,-6.63
CON_SD,CON/SD,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.3118,-0.0591,-7.2
CON_SD,CON/SD,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.3223,-0.0242,-2.61
CON_SD,CON/SD,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.1605,-0.035,-7.84
CON_SD,CON/SD,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.4615,0.0538,5.4
CON_SD,CON/SD,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.1278,-0.0765,-9.37
CON_SD,CON/SD,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.2658,-0.0302,-3.03
CON_SD,CON/SD,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.6072,-0.0035,-0.39
CON_SD,CON/SD,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.3101,-0.1227,-12.3
CON_SD,CON/SD,CC24_321e,Oppose 10% police budget cut,"1=Lib (support cut), 2=Con (oppose cut); HIGH=con",Guns/Policing,1.732,1.8119,0.0799,9.17
CON_SD,CON/SD,CC24_325,Abortion week limit (40−raw; high=more restrictive),0–39 (0=most permissive),Abortion,23.9201,25.4582,1.5381,6.78
CON_SD,CON/SD,CC24_324b,Permit abortion only rape/incest/life danger,"1=Oppose, 2=Support (HIGH=restrictive)",Abortion,1.486,1.4343,-0.0517,-7.78
CON_SD,CON/SD,CC24_340b,Oppose ban on abortion service restrictions,"1=Lib (support ban), 2=Con (oppose ban); HIGH=con",Abortion,1.3698,1.3598,-0.01,-1.56
CON_SD,CON/SD,CC24_340c,Oppose same-sex marriage recognition,"1=Lib (support SSM), 2=Con (oppose SSM); HIGH=con",Civil Liberties,1.3393,1.3051,-0.0342,-4.66
CON_SD,CON/SD,CC24_340e,Renew post-9/11 surveillance programs,"1=Oppose, 2=Support (HIGH=con)",Civil Liberties,1.6598,1.5878,-0.072,-10.61
CON_SD,CON/SD,CC24_340f,Deny asylum at the border,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.3683,1.2735,-0.0948,-9.49
CON_SD,CON/SD,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,3.4243,-0.0589,-2.11
CON_SD,CON/SD,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,3.4666,-0.0712,-3.2
CON_SD,CON/SD,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,2.3796,0.0143,0.78
CON_SD,CON/SD,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,1.8502,-0.0596,-3.28
CON_SD,CON/SD,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.4619,0.0519,10.29
CON_SD,CON/SD,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,2.213,0.0255,5.72
CON_SD,CON/SD,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,3.21,0.1568,5.94
CON_SD,CON/SD,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,2.7663,0.0558,3.82
CON_STY,CON/STY,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,3.9835,-0.3632,-25.09
CON_STY,CON/STY,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,3.2355,0.1156,13.41
CON_STY,CON/STY,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,1.5012,-0.1104,-12.23
CON_STY,CON/STY,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.252,-0.1189,-14.5
CON_STY,CON/STY,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.4486,0.1021,11.05
CON_STY,CON/STY,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.2475,0.052,11.63
CON_STY,CON/STY,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.5092,0.1015,10.18
CON_STY,CON/STY,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.1508,-0.0535,-6.55
CON_STY,CON/STY,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.3285,0.0325,3.26
CON_STY,CON/STY,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.5278,-0.0829,-9.14
CON_STY,CON/STY,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.2748,-0.158,-15.84
CON_STY,CON/STY,CC24_321e,Oppose 10% police budget cut,"1=Lib (support cut), 2=Con (oppose cut); HIGH=con",Guns/Policing,1.732,1.8247,0.0927,10.64
CON_STY,CON/STY,CC24_325,Abortion week limit (40−raw; high=more restrictive),0–39 (0=most permissive),Abortion,23.9201,27.0885,3.1684,13.96
CON_STY,CON/STY,CC24_324b,Permit abortion only rape/incest/life danger,"1=Oppose, 2=Support (HIGH=restrictive)",Abortion,1.486,1.3402,-0.1458,-21.93
CON_STY,CON/STY,CC24_340b,Oppose ban on abortion service restrictions,"1=Lib (support ban), 2=Con (oppose ban); HIGH=con",Abortion,1.3698,1.4941,0.1243,19.38
CON_STY,CON/STY,CC24_340c,Oppose same-sex marriage recognition,"1=Lib (support SSM), 2=Con (oppose SSM); HIGH=con",Civil Liberties,1.3393,1.4944,0.1551,21.14
CON_STY,CON/STY,CC24_340e,Renew post-9/11 surveillance programs,"1=Oppose, 2=Support (HIGH=con)",Civil Liberties,1.6598,1.6109,-0.0489,-7.2
CON_STY,CON/STY,CC24_340f,Deny asylum at the border,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.3683,1.2547,-0.1136,-11.37
CON_STY,CON/STY,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,3.2049,-0.2783,-9.96
CON_STY,CON/STY,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,3.1934,-0.3444,-15.48
CON_STY,CON/STY,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,2.6596,0.2943,16.0
CON_STY,CON/STY,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,2.247,0.3372,18.57
CON_STY,CON/STY,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.4619,0.0519,10.29
CON_STY,CON/STY,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,2.2506,0.0631,14.18
CON_STY,CON/STY,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,3.4461,0.3929,14.89
CON_STY,CON/STY,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,3.0384,0.3279,22.44
STY_REF,STY/REF,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,4.1151,-0.2316,-16.0
STY_REF,STY/REF,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,3.2827,0.1628,18.89
STY_REF,STY/REF,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,1.5824,-0.0292,-3.24
STY_REF,STY/REF,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.3264,-0.0445,-5.43
STY_REF,STY/REF,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.5059,0.1594,17.24
STY_REF,STY/REF,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.3345,0.139,31.12
STY_REF,STY/REF,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.5314,0.1237,12.4
STY_REF,STY/REF,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.2426,0.0383,4.69
STY_REF,STY/REF,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.3987,0.1027,10.3
STY_REF,STY/REF,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.4933,-0.1174,-12.94
STY_REF,STY/REF,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.609,0.1762,17.66
