state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_LIB,inc_POP,inc_DSA,inc_LBR,inc_PRG,inc_NAT
11,DC,LBR_1,LBR,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_1,LIB,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.34,1.55,11.4,0.0,3.22,0.97,0.0,0.0
11,DC,POP_1,POP,12.32,13.0,0.0,1.67,0.0,0.0,0.0,0.0,0.56,0.0
11,DC,PRG_1,PRG,12.83,0.0,0.0,0.0,0.0,0.0,5.29,0.0,0.0,0.0
12,FL,CON_1,CON,22.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19
12,FL,CUP_1,CUP,11.48,2.26,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LBR_1,LBR,19.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LIB_1,LIB,7.86,0.0,1.57,0.0,0.0,0.83,9.37,0.51,1.51,0.0
12,FL,POP_1,POP,13.41,2.21,1.19,1.39,0.0,0.0,0.0,0.92,0.0,0.0
13,GA,CON_1,CON,22.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44
13,GA,CUP_1,CUP,11.67,2.68,2.39,0.0,2.1,2.54,0.0,0.0,0.0,0.0
13,GA,LBR_1,LBR,20.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,LIB_1,LIB,12.03,0.0,0.89,0.0,0.0,0.0,3.29,0.61,2.15,0.0
13,GA,POP_1,POP,11.35,4.72,0.0,0.0,0.0,0.0,2.41,1.52,0.0,1.16
15,HI,CON_1,CON,21.14,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,25.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,0.0,2.5,1.01,1.09,1.88,7.8,3.16,0.0
15,HI,LIB_1,LIB,18.63,0.0,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,10.94,5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39
16,ID,CON_1,CON,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,LBR_1,LBR,12.33,0.87,1.39,0.0,0.0,0.0,5.96,0.0,0.0,0.0
16,ID,LIB_1,LIB,8.14,0.0,1.16,10.28,0.0,0.0,2.6,2.55,1.64,0.0
16,ID,NAT_1,NAT,15.27,1.33,0.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,16.71,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CON_1,CON,20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,10.25,0.79,5.09,0.0,0.0,0.0,0.0,0.66,0.0,0.0
17,IL,LBR_1,LBR,15.52,0.69,0.0,0.0,0.0,0.0,5.13,0.0,1.47,0.0
17,IL,LIB_1,LIB,12.76,0.0,2.3,0.0,0.0,6.83,0.0,1.24,8.19,0.0
17,IL,POP_1,POP,9.1,2.11,1.24,0.0,0.0,0.0,0.0,2.39,0.0,8.74
18,IN,CON_1,CON,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.58
18,IN,CUP_1,CUP,10.75,0.72,3.85,0.0,1.41,0.0,0.0,0.0,0.0,0.0
18,IN,LBR_1,LBR,16.39,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0
18,IN,LIB_1,LIB,8.56,0.0,2.1,0.0,0.0,0.0,0.0,1.75,5.77,0.0
