variable,domain,type,stat_label,question,overall,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
CC24_443_1,Government Spending,binary,% Supporting,Increase state spending on welfare,34.0608,16.3783,45.2929,39.1474,4.0065,49.8351,19.3126,30.6515,28.5921,73.6137,74.2099
CC24_443_2,Government Spending,binary,% Supporting,Increase state spending on health care,65.0052,51.2638,81.5942,69.472,20.8562,85.2225,46.0293,64.2111,77.2123,92.7545,92.6864
CC24_443_3,Government Spending,binary,% Supporting,Increase state spending on education,65.3182,53.6171,80.9395,67.0564,26.0616,85.917,45.4842,65.6833,72.4111,90.9684,92.8068
CC24_443_4,Government Spending,binary,% Supporting,Increase state spending on law enforcement,53.6542,82.1257,37.2432,39.6615,82.5487,40.0169,50.7902,66.893,79.0757,5.395,8.296
CC24_443_5,Government Spending,binary,% Supporting,Increase state spending on transportation & infrastructure,66.4146,61.9104,71.2839,57.3751,55.2496,81.9176,51.4249,66.7916,72.8589,77.7104,87.9119
vote16_clinton,Voting History,binary,% Supporting,2016: Hillary Clinton (D),29.1583,8.0665,44.6582,26.4288,1.9848,67.3624,6.0181,23.9379,41.7663,44.5329,67.8126
vote16_trump,Voting History,binary,% Supporting,2016: Donald Trump (R),31.9506,61.682,7.0363,13.4108,77.2615,4.5955,47.6948,38.3501,28.8469,1.469,0.5226
vote16_third,Voting History,binary,% Supporting,2016: Third-party / other,5.4037,4.2952,5.9522,5.2279,4.8564,6.1864,5.4958,5.2647,4.8302,7.2213,6.6311
vote16_dnv,Voting History,binary,% Supporting,2016: Did not vote,33.4874,25.9563,42.3533,54.9325,15.8973,21.8557,40.7913,32.4472,24.5565,46.7768,25.0338
vote20_biden,Voting History,binary,% Supporting,2020: Joe Biden (D),40.1226,11.865,61.7746,37.883,1.6954,85.4021,9.7549,33.1987,56.5724,70.5107,88.6564
vote20_trump,Voting History,binary,% Supporting,2020: Donald Trump (R),35.8352,69.3812,6.7274,16.3297,89.3735,2.7977,58.2204,41.8725,27.2946,0.4181,0.4015
vote20_third,Voting History,binary,% Supporting,2020: Third-party / other,1.6237,1.7125,1.9372,1.754,1.1337,0.8941,1.7075,1.8367,1.2034,1.5608,2.3648
vote20_dnv,Voting History,binary,% Supporting,2020: Did not vote,22.4185,17.0413,29.5608,44.0333,7.7973,10.906,30.3172,23.092,14.9296,27.5103,8.5773
appr_biden,Voting History,binary,% Supporting,2024: Approve of Joe Biden (job),40.0894,10.447,66.2212,40.4463,0.2732,87.5717,8.4501,33.3807,57.9158,62.9862,83.4684
appr_harris,Voting History,binary,% Supporting,2024: Approve of Kamala Harris (job),44.1324,11.3218,74.7121,47.2944,0.317,90.509,10.0718,34.9944,60.8918,74.593,90.4482
vote24_harris,Voting History,binary,% Supporting,2024: Kamala Harris (D),47.8325,10.8921,81.582,55.2986,0.097,94.4002,11.4412,34.3684,64.6936,93.6737,97.0758
vote24_trump,Voting History,binary,% Supporting,2024: Donald Trump (R),47.1306,85.2948,11.9099,30.2711,98.5907,3.8817,81.775,61.6386,33.0183,0.1172,0.2457
vote24_third,Voting History,binary,% Supporting,2024: Third-party / other,1.932,1.8557,2.1342,3.3042,0.7875,0.8272,2.173,2.2404,0.9734,3.2974,2.1395
vote24_dnv,Voting History,binary,% Supporting,2024: Did not vote,3.0364,1.7858,4.3253,10.6542,0.5148,0.8267,4.7012,1.3421,1.7519,3.3976,0.5311
pew_religimp,Religion,binary,% Supporting,Religion is important (very or somewhat),59.7775,75.8518,45.5122,67.608,76.663,41.2942,69.6993,72.7405,63.6239,22.0652,24.5089
pew_prayer,Faith,binary,% Supporting,Prays weekly or more often,55.4126,69.7852,42.227,60.8801,72.0766,40.7064,64.0834,65.5373,60.4446,23.7282,21.6071
relig_protestant,Faith,binary,% Supporting,Protestant,33.2202,45.0716,22.1273,30.7556,49.5923,24.8645,36.1584,40.8537,37.3503,11.6526,13.3012
relig_catholic,Faith,binary,% Supporting,Roman Catholic,18.0148,21.7225,17.6449,16.3723,19.3439,16.3913,17.4389,20.8112,25.0015,7.8266,10.0708
relig_jewish,Faith,binary,% Supporting,Jewish,2.2874,1.566,2.0837,1.2461,1.4662,4.332,1.8703,1.9638,3.5922,3.1095,4.496
relig_muslim,Faith,binary,% Supporting,Muslim,0.7784,0.4266,0.9115,2.0468,0.0486,0.519,0.8416,1.0085,0.3055,1.0927,0.2694
relig_none,Faith,binary,% Supporting,Unaffiliated (none / atheist / agnostic),34.462,19.4247,46.2204,35.1451,19.2292,44.9258,30.5081,22.6032,24.705,67.9216,63.7066
relig_other,Faith,binary,% Supporting,Other faith,11.2372,11.7886,11.012,14.4341,10.3198,8.9675,13.1827,12.7596,9.0455,8.3971,8.156
