variable,domain,type,stat_label,question,overall,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
CC24_328b,Healthcare & Housing,binary,% Supporting,Expand federal tax incentives for affordable housing,72.447,59.6047,86.792,78.9586,32.6072,92.8938,53.0424,72.9798,81.7823,95.9166,96.6631
CC24_328c,Healthcare & Housing,binary,% Supporting,Require able-bodied Medicaid recipients under 64 to work,53.2651,69.5243,44.5384,49.3468,72.7547,40.1937,58.3849,58.7486,67.127,22.0528,17.1894
CC24_328d,Healthcare & Housing,binary,% Supporting,Repeal the Affordable Care Act,38.4834,62.1169,15.0659,33.492,85.7204,5.0445,67.1593,41.3864,25.3127,3.5629,1.4684
CC24_328e,Healthcare & Housing,binary,% Supporting,Expand Medicaid (income <$25k individual / <$40k family),78.6882,67.2118,93.4622,84.2906,38.0257,95.4068,65.8631,79.1274,88.5421,98.7615,99.3276
CC24_440a,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",White people have certain advantages because of their race,2.6905,3.5336,1.912,2.3041,4.3596,1.6061,3.6628,2.9772,2.5245,1.2612,1.2172
CC24_440a,Racial & Gender,likert5_dist,% Strongly Agree,White people have certain advantages because of their race,29.03,6.85,40.08,32.29,0.86,56.4,9.43,16.06,22.52,76.8,80.99
CC24_440a,Racial & Gender,likert5_dist,% Agree,White people have certain advantages because of their race,22.83,15.33,39.13,28.24,3.15,32.34,12.14,25.74,33.42,20.9,17.28
CC24_440a,Racial & Gender,likert5_dist,% Neither,White people have certain advantages because of their race,18.04,26.64,13.42,24.58,16.73,7.43,22.3,23.84,23.55,1.75,1.16
CC24_440a,Racial & Gender,likert5_dist,% Disagree,White people have certain advantages because of their race,10.27,19.96,4.28,6.54,17.66,1.89,14.97,13.13,10.11,0.47,0.19
CC24_440a,Racial & Gender,likert5_dist,% Strongly Disagree,White people have certain advantages because of their race,19.83,31.22,3.1,8.34,61.59,1.94,41.16,21.22,10.4,0.08,0.39
CC24_440b,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)","Racial problems in the U.S. are rare, isolated situations",3.4832,2.9101,4.0527,3.612,1.9846,4.3917,2.7983,3.1414,3.7822,4.7575,4.7779
CC24_440b,Racial & Gender,likert5_dist,% Strongly Agree,"Racial problems in the U.S. are rare, isolated situations",9.59,12.13,1.69,6.26,37.33,0.14,17.72,10.07,2.21,0.0,0.0
CC24_440b,Racial & Gender,likert5_dist,% Agree,"Racial problems in the U.S. are rare, isolated situations",17.26,28.98,7.11,12.49,37.28,1.89,27.56,24.28,12.45,0.04,0.0
CC24_440b,Racial & Gender,likert5_dist,% Neither,"Racial problems in the U.S. are rare, isolated situations",17.16,25.12,13.28,23.36,16.58,7.89,24.51,22.94,16.1,0.89,0.07
CC24_440b,Racial & Gender,likert5_dist,% Disagree,"Racial problems in the U.S. are rare, isolated situations",27.21,23.28,40.09,29.57,7.23,38.83,17.6,26.84,43.39,22.36,22.07
CC24_440b,Racial & Gender,likert5_dist,% Strongly Disagree,"Racial problems in the U.S. are rare, isolated situations",28.78,10.48,37.83,28.32,1.58,51.26,12.62,15.86,25.85,76.71,77.86
CC24_440c,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Women seek to gain power by getting control over men,3.5378,3.0973,3.918,3.326,2.6119,4.4205,2.8228,3.2341,3.7537,4.7164,4.8369
CC24_440c,Racial & Gender,likert5_dist,% Strongly Agree,Women seek to gain power by getting control over men,7.14,8.44,2.19,7.74,18.68,0.76,14.85,9.59,3.18,0.07,0.0
CC24_440c,Racial & Gender,likert5_dist,% Agree,Women seek to gain power by getting control over men,15.54,22.43,8.93,16.76,30.24,2.69,26.22,19.62,10.25,0.36,0.04
CC24_440c,Racial & Gender,likert5_dist,% Neither,Women seek to gain power by getting control over men,26.67,34.84,25.2,34.32,31.43,13.23,33.23,29.78,28.78,6.82,2.72
CC24_440c,Racial & Gender,likert5_dist,% Disagree,Women seek to gain power by getting control over men,17.71,19.53,22.25,17.54,10.51,20.37,13.17,19.83,23.6,13.36,10.76
CC24_440c,Racial & Gender,likert5_dist,% Strongly Disagree,Women seek to gain power by getting control over men,32.94,14.76,41.43,23.64,9.14,62.94,12.52,21.18,34.19,79.39,86.48
CC24_440d,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Women are too easily offended,3.2044,2.5764,3.7287,3.1194,2.0821,4.1691,2.4685,2.8954,3.272,4.5808,4.6985
CC24_440d,Racial & Gender,likert5_dist,% Strongly Agree,Women are too easily offended,12.16,17.09,3.43,10.4,33.5,1.56,22.69,14.7,6.0,0.28,0.08
CC24_440d,Racial & Gender,likert5_dist,% Agree,Women are too easily offended,22.7,34.93,14.04,22.34,35.69,7.62,32.76,28.29,23.3,3.51,0.77
CC24_440d,Racial & Gender,likert5_dist,% Neither,Women are too easily offended,23.45,27.89,23.74,31.05,22.8,15.79,27.48,25.0,28.87,7.46,6.66
CC24_440d,Racial & Gender,likert5_dist,% Disagree,Women are too easily offended,15.93,13.42,23.82,17.34,5.12,22.43,9.15,16.79,21.14,15.34,14.21
CC24_440d,Racial & Gender,likert5_dist,% Strongly Disagree,Women are too easily offended,25.76,6.67,34.97,18.87,2.89,52.61,7.92,15.22,20.68,73.4,78.28
CC24_441a,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Minorities should work their way up without special favors,2.7418,1.8511,3.4333,2.8818,1.4892,3.8451,1.9589,2.2248,2.4367,4.4872,4.6341
CC24_441a,Racial & Gender,likert5_dist,% Strongly Agree,Minorities should work their way up without special favors,27.84,45.52,7.78,18.16,65.64,5.13,45.72,35.88,26.19,0.5,0.69
CC24_441a,Racial & Gender,likert5_dist,% Agree,Minorities should work their way up without special favors,20.7,31.17,15.63,20.46,21.94,10.36,25.41,27.98,31.29,2.93,1.56
CC24_441a,Racial & Gender,likert5_dist,% Neither,Minorities should work their way up without special favors,19.78,17.97,26.83,32.69,10.95,16.62,20.85,20.83,22.7,9.56,4.59
CC24_441a,Racial & Gender,likert5_dist,% Disagree,Minorities should work their way up without special favors,12.79,3.38,24.99,12.42,0.82,30.65,3.29,8.38,12.32,21.38,19.98
CC24_441a,Racial & Gender,likert5_dist,% Strongly Disagree,Minorities should work their way up without special favors,18.89,1.96,24.77,16.27,0.65,37.24,4.73,6.93,7.5,65.63,73.19
CC24_441b,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Slavery/discrimination makes it hard for Blacks to rise,2.9061,3.8116,2.176,2.5874,4.4692,1.829,3.7137,3.1982,2.9616,1.3499,1.2508
CC24_441b,Racial & Gender,likert5_dist,% Strongly Agree,Slavery/discrimination makes it hard for Blacks to rise,24.54,4.68,33.08,24.54,0.82,47.43,7.47,14.11,13.62,72.59,78.77
CC24_441b,Racial & Gender,likert5_dist,% Agree,Slavery/discrimination makes it hard for Blacks to rise,21.68,12.69,36.06,25.76,3.42,35.24,12.38,22.93,30.67,22.56,18.88
CC24_441b,Racial & Gender,likert5_dist,% Neither,Slavery/discrimination makes it hard for Blacks to rise,15.46,17.7,16.43,26.75,9.14,7.86,21.33,17.3,18.66,3.15,1.23
CC24_441b,Racial & Gender,likert5_dist,% Disagree,Slavery/discrimination makes it hard for Blacks to rise,15.3,26.66,9.04,12.3,21.27,5.93,18.95,20.33,20.01,0.65,0.72
CC24_441b,Racial & Gender,likert5_dist,% Strongly Disagree,Slavery/discrimination makes it hard for Blacks to rise,23.02,38.27,5.39,10.65,65.36,3.54,39.87,25.32,17.03,1.05,0.39
CC24_441e,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",I resent when Whites deny racial discrimination exists,2.1841,2.7095,1.833,2.1083,4.0418,1.5169,2.9195,2.2492,1.9257,1.3608,1.2057
CC24_441e,Racial & Gender,likert5_dist,% Strongly Agree,I resent when Whites deny racial discrimination exists,41.59,22.35,48.78,39.0,1.74,66.82,19.79,37.89,43.4,76.92,83.66
