state_fips,state_abbr,winner_code,winner_label,winner_type,winner_primary_cluster,winner_secondary_cluster,runner_up_code,runner_up_label,runner_up_type,runner_up_primary_cluster,runner_up_secondary_cluster,n_irv_rounds,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON/CUP_pct,finalist_CON/LBR_pct,finalist_CON/NAT_pct,finalist_CON/POP_pct,finalist_CON/STY_pct,finalist_CON_pct,finalist_CUP/LBR_pct,finalist_CUP_pct,finalist_DSA/PRG_pct,finalist_DSA_pct,finalist_LBR/CON_pct,finalist_LBR/DSA_pct,finalist_LBR/LIB_pct,finalist_LBR/STY_pct,finalist_LBR_pct,finalist_LIB/LBR_pct,finalist_LIB/PRG_pct,finalist_LIB_pct,finalist_NAT/POP_pct,finalist_NAT_pct,finalist_OAO/LIB_pct,finalist_OAO_pct,finalist_POP/CON_pct,finalist_POP/CUP_pct,finalist_POP/NAT_pct,finalist_POP/STY_pct,finalist_POP_pct,finalist_PRG/DSA_pct,finalist_PRG_pct,finalist_STY/CON_pct,finalist_STY/LBR_pct,finalist_STY/POP_pct,finalist_STY_pct
13,GA,CON/CUP,CON/CUP,cooc,0,6.0,CON/NAT,CON/NAT,cooc,0,3.0,4,1472.39,15,5,0.6926,,2.246,,,,,0.7052,,,,,,,,,,0.6768,,,,,,,,,,,,,12.3461,,
15,HI,LBR/LIB,LBR/LIB,cooc,1,4.0,OAO,OAO,pure,7,,4,203.15,15,5,,,,,,6.1189,,,,,,,0.6582,0.3292,,,,,,,,1.3239,,,,,,,,,,,8.2364
16,ID,POP/CUP,POP/CUP,cooc,5,6.0,NAT,NAT,pure,3,,4,325.33,14,5,,,,1.5511,,,,7.1997,,7.3226,,,,,,,,,,0.1968,,,,0.3965,,,,,,,,,
17,IL,LBR,LBR,pure,1,,CUP,CUP,pure,6,,4,1460.33,16,5,,,,,,2.0365,,6.8993,,,,,,,7.0743,,,,,,,,,,,,0.1222,,0.5344,,,,
18,IN,LBR/STY,LBR/STY,cooc,1,2.0,CON/CUP,CON/CUP,cooc,0,6.0,4,994.99,15,5,8.1602,,0.4382,0.4052,,,,,,,,,,3.4831,,,,4.18,,,,,,,,,,,,,,,
19,IA,CON/NAT,CON/NAT,cooc,0,3.0,STY,STY,pure,2,,4,446.79,15,5,,,0.5965,1.7222,,,,7.9884,,,,,,,,,,4.8526,,,,,,,,,,,,,,,1.5069
20,KS,CON/CUP,CON/CUP,cooc,0,6.0,LIB/LBR,LIB/LBR,cooc,4,1.0,4,372.7,14,5,0.2383,,,0.6466,,,,,,,,,,,11.0225,1.3245,,,,3.4347,,,,,,,,,,,,,
21,KY,CON/POP,CON/POP,cooc,0,5.0,CON/NAT,CON/NAT,cooc,0,3.0,4,717.93,14,5,,,5.2886,4.8109,,,,1.3656,,,,,0.2296,,,,,,,,,,,,,,,,,,,,4.972
22,LA,CON/POP,CON/POP,cooc,0,5.0,CUP/LBR,CUP/LBR,cooc,6,1.0,4,508.41,13,5,,,,3.1654,,,10.3731,,,,,,,,0.3232,,,,,0.974,,,,,,,,,,,,1.831,
23,ME,LIB,LIB,pure,4,,OAO,OAO,pure,7,,4,243.16,16,5,,,,,,,,,,,,,,,,,,1.3357,,,,5.2603,7.9305,,,1.8803,,,0.2598,,,,
24,MD,LBR/LIB,LBR/LIB,cooc,1,4.0,PRG,PRG,pure,9,,4,782.14,15,5,,,,11.5919,,,,,,,,,0.5447,,,,,,,,,0.2194,,,,,,,1.1146,,,,3.1961
25,MA,LBR/CON,LBR/CON,wildcard,1,0.0,CON/POP,CON/POP,cooc,0,5.0,4,790.97,17,5,,,,0.9026,,,,,,,5.366,,,,,,3.2568,,,,,0.5513,,,,,,,6.59,,,,
26,MI,CON/CUP,CON/CUP,cooc,0,6.0,NAT,NAT,pure,3,,4,1329.58,14,5,0.7242,,,,,0.7526,,,,,,,,,6.1499,,,7.6527,,1.3872,,,,,,,,,,,,,
