candidate_a,candidate_b,euclidean_dist
CON/NAT,LIB,2.5426
CON/NAT,POP,0.8246
CON/NAT,CUP,1.4777
CON/NAT,DSA,2.8706
CON/NAT,PRG,3.0187
CON/NAT,SD/STY,1.8791
CON/NAT,CON/CUP,0.8868
CON/NAT,CON/SD,1.1955
CON/NAT,CON/STY,0.9145
CON/NAT,STY/POP,1.1906
CON/NAT,SD/CON,1.3018
CON/NAT,STY/SD,1.8035
CON/NAT,POP/STY,1.0325
CON/NAT,CON/POP,0.4167
CON/NAT,SD/LIB,2.2705
CON/NAT,SD/CUP,1.7109
CON/NAT,CON/NAT,0.0
CON/NAT,LIB/CUP,2.0828
CON/NAT,STY/CON,1.0925
LIB/CUP,CON,1.6185
LIB/CUP,SD,0.8333
LIB/CUP,STY,1.5886
LIB/CUP,NAT,2.6256
LIB/CUP,LIB,0.5253
LIB/CUP,POP,2.2278
LIB/CUP,CUP,0.788
LIB/CUP,DSA,1.7646
LIB/CUP,PRG,1.2092
LIB/CUP,SD/STY,1.0388
LIB/CUP,CON/CUP,1.2623
LIB/CUP,CON/SD,1.0384
LIB/CUP,CON/STY,1.4299
LIB/CUP,STY/POP,1.7922
LIB/CUP,SD/CON,0.9684
LIB/CUP,STY/SD,1.1668
LIB/CUP,POP/STY,1.917
LIB/CUP,CON/POP,1.7493
LIB/CUP,SD/LIB,0.5631
LIB/CUP,SD/CUP,0.487
LIB/CUP,CON/NAT,2.0828
LIB/CUP,LIB/CUP,0.0
LIB/CUP,STY/CON,1.4237
STY/CON,CON,0.8444
STY/CON,SD,1.0949
STY/CON,STY,0.637
STY/CON,NAT,1.5685
STY/CON,LIB,1.7444
STY/CON,POP,0.99
STY/CON,CUP,1.24
STY/CON,DSA,1.8199
STY/CON,PRG,2.1286
STY/CON,SD/STY,0.8475
STY/CON,CON/CUP,0.8715
STY/CON,CON/SD,0.5068
STY/CON,CON/STY,0.2222
STY/CON,STY/POP,0.5049
STY/CON,SD/CON,0.5339
STY/CON,STY/SD,0.7449
STY/CON,POP/STY,0.6181
STY/CON,CON/POP,0.7139
STY/CON,SD/LIB,1.3893
STY/CON,SD/CUP,0.9586
STY/CON,CON/NAT,1.0925
STY/CON,LIB/CUP,1.4237
STY/CON,STY/CON,0.0
