variable,domain,question,party,pYes,observedPct,delta,diverges
CC24_444e,Civil Liberties,Age verification for adult web content,CON,0.8897,88.58,-0.39,False
CC24_444e,Civil Liberties,Age verification for adult web content,LBR,0.7456,75.26,0.7,False
CC24_444e,Civil Liberties,Age verification for adult web content,STY,0.762,77.6,1.39,False
CC24_444e,Civil Liberties,Age verification for adult web content,NAT,0.8733,87.06,-0.27,False
CC24_444e,Civil Liberties,Age verification for adult web content,LIB,0.7487,72.93,-1.94,False
CC24_444e,Civil Liberties,Age verification for adult web content,POP,0.8155,78.89,-2.66,False
CC24_444e,Civil Liberties,Age verification for adult web content,CUP,0.841,83.42,-0.68,False
CC24_444e,Civil Liberties,Age verification for adult web content,OAO,0.895,89.96,0.46,False
CC24_444e,Civil Liberties,Age verification for adult web content,DSA,0.5952,59.09,-0.43,False
CC24_444e,Civil Liberties,Age verification for adult web content,PRG,0.5954,53.22,-6.32,False
CC24_444f,Civil Liberties,School voucher subsidies,CON,0.7339,70.54,-2.85,False
CC24_444f,Civil Liberties,School voucher subsidies,LBR,0.4038,44.45,4.07,False
CC24_444f,Civil Liberties,School voucher subsidies,STY,0.5731,61.41,4.1,False
CC24_444f,Civil Liberties,School voucher subsidies,NAT,0.8653,86.99,0.46,False
CC24_444f,Civil Liberties,School voucher subsidies,LIB,0.3171,26.52,-5.19,False
CC24_444f,Civil Liberties,School voucher subsidies,POP,0.7637,71.37,-5.0,False
CC24_444f,Civil Liberties,School voucher subsidies,CUP,0.5969,65.69,6.0,False
CC24_444f,Civil Liberties,School voucher subsidies,OAO,0.4994,49.39,-0.55,False
CC24_444f,Civil Liberties,School voucher subsidies,DSA,0.2931,33.7,4.4,False
CC24_444f,Civil Liberties,School voucher subsidies,PRG,0.2499,11.97,-13.02,False
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,CON,0.3706,39.21,2.15,False
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,LBR,0.9094,88.78,-2.16,False
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,STY,0.7095,67.23,-3.72,False
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,NAT,0.0644,4.93,-1.51,False
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,LIB,0.9608,95.24,-0.84,False
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,POP,0.2216,31.67,9.51,False
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,CUP,0.6689,63.45,-3.44,False
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,OAO,0.8718,83.29,-3.89,False
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,DSA,0.9625,96.9,0.65,False
CC24_326a,Environment & Climate,Give EPA power to regulate CO2 emissions,PRG,0.9751,98.67,1.16,False
CC24_326b,Environment & Climate,Require 20% renewable electricity,CON,0.4411,44.52,0.41,False
CC24_326b,Environment & Climate,Require 20% renewable electricity,LBR,0.9223,90.31,-1.92,False
CC24_326b,Environment & Climate,Require 20% renewable electricity,STY,0.7882,76.54,-2.28,False
CC24_326b,Environment & Climate,Require 20% renewable electricity,NAT,0.1074,8.99,-1.75,False
CC24_326b,Environment & Climate,Require 20% renewable electricity,LIB,0.9586,94.34,-1.53,False
CC24_326b,Environment & Climate,Require 20% renewable electricity,POP,0.3311,39.6,6.49,False
CC24_326b,Environment & Climate,Require 20% renewable electricity,CUP,0.6839,67.47,-0.92,False
CC24_326b,Environment & Climate,Require 20% renewable electricity,OAO,0.8688,83.27,-3.61,False
CC24_326b,Environment & Climate,Require 20% renewable electricity,DSA,0.9713,97.0,-0.13,False
CC24_326b,Environment & Climate,Require 20% renewable electricity,PRG,0.9752,98.02,0.5,False
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),CON,0.2716,29.68,2.52,False
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),LBR,0.8219,77.05,-5.14,False
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),STY,0.6228,62.63,0.35,False
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),NAT,0.0664,4.38,-2.26,False
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),LIB,0.9028,90.47,0.19,False
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),POP,0.2017,26.82,6.65,False
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),CUP,0.5206,51.27,-0.79,False
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),OAO,0.714,69.5,-1.9,False
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),DSA,0.9269,93.13,0.44,False
CC24_326c,Environment & Climate,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),PRG,0.943,97.01,2.71,False
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,CON,0.8611,85.06,-1.05,False
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,LBR,0.3279,36.39,3.59,False
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,STY,0.473,50.03,2.74,False
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,NAT,0.9421,96.36,2.14,False
