respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
44136,CON_STY,SD_CON,CON_SD,SD_STY,CON_CTR,STY_SD,RH,MRJ,REF_STY,SD_LIB,MW,CON_REF,SD_CTR,STY_REF,LK,DH,CO,BE,ZN,JR
44137,MW,JR,SD_LIB,CO,SD_STY,SD_CTR,ZN,STY_SD,MRJ,SD_CON,CON_SD,LK,STY_REF,CON_STY,CON_CTR,REF_STY,RH,CON_REF,BE,DH
44138,MRJ,STY_REF,STY_SD,REF_STY,SD_CTR,LK,CON_REF,CO,CON_STY,ZN,BE,DH,SD_CON,SD_LIB,JR,SD_STY,MW,CON_CTR,RH,CON_SD
44139,CON_SD,CON_REF,STY_REF,REF_STY,RH,CON_CTR,CON_STY,DH,MRJ,SD_CON,BE,SD_STY,SD_CTR,STY_SD,LK,MW,SD_LIB,CO,JR,ZN
44140,MW,CON_SD,SD_CTR,SD_CON,SD_LIB,CO,SD_STY,STY_SD,CON_STY,CON_CTR,MRJ,LK,RH,ZN,STY_REF,JR,REF_STY,CON_REF,DH,BE
44141,JR,SD_LIB,ZN,BE,SD_CON,MW,MRJ,REF_STY,CON_STY,SD_STY,CON_SD,STY_SD,RH,DH,CO,CON_REF,SD_CTR,LK,STY_REF,CON_CTR
44142,JR,CO,SD_LIB,MW,ZN,SD_STY,STY_SD,SD_CTR,MRJ,SD_CON,CON_SD,LK,STY_REF,CON_REF,CON_CTR,CON_STY,RH,BE,REF_STY,DH
44143,MRJ,CON_REF,STY_REF,CON_STY,REF_STY,CON_SD,SD_CON,STY_SD,DH,SD_STY,RH,MW,SD_CTR,CON_CTR,BE,SD_LIB,ZN,LK,JR,CO
44144,SD_CTR,LK,CO,SD_LIB,SD_STY,CON_SD,SD_CON,MW,STY_SD,CON_STY,CON_CTR,RH,JR,MRJ,CON_REF,ZN,STY_REF,REF_STY,DH,BE
44145,BE,CON_REF,CON_CTR,DH,RH,REF_STY,CON_STY,SD_CON,STY_REF,LK,CON_SD,CO,SD_CTR,JR,STY_SD,ZN,MW,MRJ,SD_STY,SD_LIB
44146,RH,CON_CTR,LK,CON_SD,CON_REF,CON_STY,SD_CON,REF_STY,SD_CTR,STY_REF,DH,BE,SD_STY,STY_SD,MRJ,MW,SD_LIB,CO,JR,ZN
44147,CON_REF,BE,CON_SD,RH,CON_CTR,DH,LK,REF_STY,STY_REF,CON_STY,SD_CTR,SD_CON,MRJ,STY_SD,SD_STY,MW,SD_LIB,CO,JR,ZN
44148,REF_STY,BE,DH,CON_STY,CON_REF,STY_REF,RH,MRJ,CON_SD,CON_CTR,SD_CON,STY_SD,SD_STY,SD_CTR,LK,MW,JR,SD_LIB,CO,ZN
44149,STY_REF,CON_STY,CON_SD,RH,CON_REF,REF_STY,STY_SD,MRJ,DH,SD_CON,CON_CTR,BE,SD_STY,SD_CTR,MW,CO,LK,SD_LIB,ZN,JR
44150,SD_STY,SD_CON,MW,CON_SD,SD_LIB,STY_SD,SD_CTR,CON_STY,MRJ,CO,LK,CON_CTR,RH,STY_REF,CON_REF,ZN,REF_STY,DH,JR,BE
44151,REF_STY,CON_STY,MRJ,STY_REF,RH,CON_SD,SD_CON,CON_REF,DH,STY_SD,SD_STY,CON_CTR,MW,BE,SD_CTR,ZN,SD_LIB,JR,LK,CO
44152,CO,LK,SD_CTR,SD_LIB,CON_SD,JR,SD_CON,MW,CON_CTR,SD_STY,STY_SD,RH,CON_STY,MRJ,CON_REF,BE,DH,ZN,REF_STY,STY_REF
44153,RH,CON_CTR,CON_REF,LK,CON_SD,SD_CTR,CON_STY,SD_CON,REF_STY,STY_REF,SD_LIB,DH,BE,MW,SD_STY,STY_SD,MRJ,CO,ZN,JR
44154,ZN,STY_SD,MRJ,SD_STY,MW,JR,STY_REF,SD_LIB,SD_CTR,REF_STY,CON_SD,SD_CON,CO,CON_STY,DH,CON_CTR,BE,LK,CON_REF,RH
44155,MRJ,STY_SD,SD_STY,ZN,MW,STY_REF,SD_LIB,SD_CON,CON_SD,SD_CTR,CON_STY,REF_STY,CO,JR,DH,CON_REF,CON_CTR,RH,LK,BE
44156,CON_CTR,BE,RH,CON_REF,DH,LK,CON_STY,REF_STY,CON_SD,SD_CON,STY_REF,SD_CTR,MRJ,MW,ZN,STY_SD,JR,SD_STY,CO,SD_LIB
44157,SD_CTR,CON_SD,REF_STY,SD_CON,DH,CON_REF,STY_REF,CON_CTR,LK,CON_STY,STY_SD,SD_STY,MW,MRJ,RH,SD_LIB,CO,BE,JR,ZN
44158,CON_CTR,LK,CON_REF,CON_SD,RH,SD_CON,SD_CTR,CON_STY,REF_STY,BE,DH,STY_REF,SD_STY,SD_LIB,STY_SD,MW,MRJ,CO,JR,ZN
44159,STY_SD,MRJ,ZN,SD_STY,MW,CON_SD,CON_STY,STY_REF,SD_CON,REF_STY,SD_LIB,SD_CTR,CO,DH,RH,CON_REF,CON_CTR,JR,LK,BE
44160,ZN,MW,SD_STY,STY_SD,SD_LIB,JR,MRJ,CO,SD_CTR,SD_CON,CON_SD,CON_STY,STY_REF,REF_STY,LK,CON_CTR,CON_REF,RH,BE,DH
44161,REF_STY,MRJ,STY_REF,STY_SD,SD_STY,CON_STY,SD_CON,DH,CON_SD,MW,ZN,CON_REF,RH,CON_CTR,SD_CTR,SD_LIB,LK,CO,BE,JR
44162,REF_STY,STY_REF,DH,MRJ,CON_STY,STY_SD,BE,SD_STY,ZN,SD_CON,CON_REF,CON_SD,RH,MW,SD_LIB,SD_CTR,LK,CON_CTR,JR,CO
44163,ZN,STY_SD,JR,CO,MW,SD_STY,SD_LIB,MRJ,SD_CTR,CON_SD,SD_CON,STY_REF,CON_STY,RH,REF_STY,LK,CON_CTR,CON_REF,BE,DH
44164,SD_STY,STY_REF,MRJ,STY_SD,CON_STY,MW,SD_LIB,SD_CON,REF_STY,CON_SD,DH,CON_REF,ZN,SD_CTR,RH,CON_CTR,CO,LK,JR,BE
44165,SD_CON,MW,STY_SD,SD_STY,SD_LIB,CON_STY,SD_CTR,CON_SD,MRJ,REF_STY,RH,ZN,STY_REF,CON_REF,CO,CON_CTR,LK,JR,DH,BE
44166,JR,ZN,SD_LIB,MW,SD_CTR,STY_SD,SD_STY,CO,MRJ,SD_CON,CON_SD,CON_STY,STY_REF,REF_STY,LK,CON_CTR,CON_REF,RH,DH,BE
44167,ZN,STY_SD,SD_STY,MRJ,MW,JR,SD_LIB,SD_CTR,SD_CON,REF_STY,STY_REF,CO,CON_SD,CON_STY,CON_CTR,DH,BE,RH,CON_REF,LK
44168,MRJ,STY_REF,REF_STY,STY_SD,SD_LIB,DH,JR,SD_CTR,RH,CON_CTR,CON_STY,CO,CON_REF,ZN,SD_CON,BE,MW,CON_SD,SD_STY,LK
44169,ZN,STY_SD,MRJ,SD_STY,MW,STY_REF,SD_CON,REF_STY,SD_LIB,CON_SD,SD_CTR,JR,CON_STY,CO,CON_CTR,DH,LK,RH,CON_REF,BE
44170,SD_STY,ZN,JR,SD_LIB,STY_SD,MW,CO,SD_CTR,MRJ,SD_CON,CON_SD,CON_STY,STY_REF,LK,REF_STY,BE,RH,CON_CTR,DH,CON_REF
44171,SD_STY,SD_LIB,CO,STY_SD,ZN,JR,MW,SD_CTR,MRJ,SD_CON,CON_SD,LK,CON_STY,STY_REF,CON_CTR,REF_STY,CON_REF,RH,DH,BE
44172,SD_LIB,MW,SD_STY,STY_SD,ZN,CO,MRJ,JR,SD_CTR,CON_SD,SD_CON,CON_STY,STY_REF,LK,REF_STY,CON_CTR,CON_REF,RH,DH,BE
44173,JR,CO,SD_LIB,MW,ZN,SD_CTR,SD_STY,STY_SD,LK,MRJ,SD_CON,CON_SD,CON_STY,STY_REF,BE,CON_CTR,CON_REF,REF_STY,DH,RH
44174,DH,CON_REF,BE,REF_STY,RH,CON_STY,STY_REF,CON_SD,CON_CTR,SD_CON,MRJ,LK,STY_SD,ZN,SD_STY,SD_CTR,MW,SD_LIB,CO,JR
44175,LK,CON_CTR,CON_SD,CO,SD_CTR,SD_CON,SD_LIB,RH,MW,SD_STY,CON_STY,CON_REF,REF_STY,DH,JR,BE,STY_SD,STY_REF,MRJ,ZN
44176,BE,RH,CON_REF,REF_STY,DH,CON_CTR,STY_REF,CON_STY,CON_SD,LK,JR,SD_CON,MRJ,STY_SD,CO,SD_CTR,ZN,SD_STY,SD_LIB,MW
44177,STY_SD,SD_CON,SD_STY,CON_SD,MRJ,MW,STY_REF,CON_STY,REF_STY,CON_CTR,SD_CTR,CON_REF,RH,SD_LIB,ZN,DH,LK,CO,BE,JR
44178,CON_SD,STY_SD,MRJ,DH,STY_REF,SD_STY,CON_STY,SD_CON,MW,REF_STY,SD_CTR,CON_REF,RH,CON_CTR,SD_LIB,LK,ZN,CO,BE,JR
44179,SD_CTR,CO,MW,LK,SD_LIB,CON_SD,SD_CON,CON_CTR,SD_STY,STY_SD,JR,CON_STY,MRJ,RH,CON_REF,ZN,STY_REF,REF_STY,BE,DH
44180,MW,SD_STY,ZN,SD_CTR,SD_LIB,JR,STY_SD,CO,SD_CON,MRJ,CON_SD,LK,CON_STY,STY_REF,REF_STY,CON_CTR,RH,CON_REF,DH,BE
44181,SD_CON,CON_CTR,CON_SD,CON_STY,SD_CTR,LK,RH,MW,SD_STY,CON_REF,STY_SD,SD_LIB,CO,STY_REF,MRJ,REF_STY,DH,JR,BE,ZN
