variable,domain,type,stat_label,question,overall,CON,SD,STY,NAT,LIB,POP,CUP,C7,DSA,PRG,house_chamber
CC24_324b,Abortion,binary,% Supporting,Permit abortion only in rape/incest/life danger cases,51.3964,72.6163,36.9495,56.8046,72.2413,25.7348,60.3942,65.4458,57.3858,14.1527,6.143,52.6186
CC24_340b,Abortion,binary,% Supporting,Prohibit restrictions on abortion access (Congress bill),63.0207,48.7144,82.7413,53.177,31.5194,88.8153,43.5041,53.8649,75.0169,94.0501,95.6766,61.7989
CC24_444c,Abortion,binary,% Supporting,Prohibit abortion-inducing drugs by mail,41.2474,63.5861,22.9448,39.0023,74.6758,11.1838,58.7169,54.5528,38.551,3.7817,1.466,41.5265
CC24_444d,Abortion,binary,% Supporting,Prohibit women traveling to another state for abortion,18.4855,27.1627,8.8986,25.6106,27.2533,3.6846,26.8387,28.0167,15.9998,0.469,0.1411,19.729
CC24_340c,Civil Liberties,binary,% Supporting,Federal recognition of same-sex & interracial marriages,66.0666,47.846,95.9375,54.3011,26.541,97.2584,43.4016,55.8161,79.2497,98.4739,99.9117,65.5766
CC24_340d,Civil Liberties,binary,% Supporting,Ban TikTok unless China sells to a US company,55.4871,73.6451,44.4839,40.7118,76.8622,52.3658,54.7864,62.4261,70.7874,20.813,32.151,53.743
CC24_340e,Civil Liberties,binary,% Supporting,Renew post-9/11 surveillance programs,34.0178,45.1447,36.4273,30.2967,9.4977,43.0105,21.3699,45.6591,71.6158,18.3327,3.7548,35.1011
CC24_444a,Civil Liberties,binary,% Supporting,Prevent gender transition surgery for minors,60.1484,78.1244,48.9304,60.1361,88.9089,32.5615,78.3789,72.2826,59.9299,21.6662,15.5509,61.428
CC24_444b,Civil Liberties,binary,% Supporting,Parental consent for name/pronoun changes at school,62.7367,85.3977,45.6794,63.6007,94.3123,34.6172,85.0514,75.434,70.8522,11.6714,7.6704,64.1366
CC24_444e,Civil Liberties,binary,% Supporting,Age verification for adult web content,78.7779,88.5785,75.2629,77.5991,87.0568,72.9322,78.8884,83.4249,89.9619,59.0949,53.2211,79.012
CC24_444f,Civil Liberties,binary,% Supporting,School voucher subsidies,56.1512,70.5407,44.454,61.4132,86.9864,26.5249,71.3714,65.6888,49.3882,33.7039,11.9711,57.1983
CC24_326a,Environment & Climate,binary,% Supporting,Give EPA power to regulate CO2 emissions,62.3942,39.213,88.7817,67.2327,4.9293,95.241,31.6727,63.453,83.2917,96.8977,98.6686,63.343
CC24_326b,Environment & Climate,binary,% Supporting,Require 20% renewable electricity,66.1221,44.5249,90.3056,76.5382,8.9909,94.3359,39.5961,67.4679,83.271,96.9976,98.0185,67.9354
CC24_326c,Environment & Climate,binary,% Supporting,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),55.1936,29.6793,77.0459,62.6317,4.3782,90.4664,26.8186,51.2673,69.4992,93.13,97.0091,55.6702
CC24_326d,Environment & Climate,binary,% Supporting,Increase fossil fuel production in the U.S.,56.953,85.0649,36.3858,50.0336,96.3562,25.9202,74.0844,70.3257,60.5973,10.0169,8.1938,56.664
CC24_326e,Environment & Climate,binary,% Supporting,Halt new oil and gas leases on federal lands,44.7229,19.5656,65.6536,50.8046,3.2241,74.3598,20.9991,38.5447,45.2285,87.6893,89.476,45.0115
CC24_326f,Environment & Climate,binary,% Supporting,Prevent government from banning gas stoves,67.4904,78.2704,61.4964,62.1408,90.4861,56.6433,77.1006,71.5926,69.0016,44.1319,36.8299,67.611
CC24_328a,Healthcare & Housing,binary,% Supporting,Relax local zoning laws to allow more apartments/condos,50.2392,41.7546,55.0034,54.3716,34.7906,63.0486,40.223,51.2787,55.8466,52.8005,69.6332,50.3278
CC24_328b,Healthcare & Housing,binary,% Supporting,Expand federal tax incentives for affordable housing,72.447,59.6047,86.792,78.9586,32.6072,92.8938,53.0424,72.9798,81.7823,95.9166,96.6631,73.4984
CC24_328c,Healthcare & Housing,binary,% Supporting,Require able-bodied Medicaid recipients under 64 to work,53.2651,69.5243,44.5384,49.3468,72.7547,40.1937,58.3849,58.7486,67.127,22.0528,17.1894,53.0495
CC24_328d,Healthcare & Housing,binary,% Supporting,Repeal the Affordable Care Act,38.4834,62.1169,15.0659,33.492,85.7204,5.0445,67.1593,41.3864,25.3127,3.5629,1.4684,37.9815
