state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_CON_1,first_choice_CON_2,first_choice_CON_3,first_choice_LBR_1,first_choice_LBR_2,first_choice_LBR_3,first_choice_STY_1,first_choice_STY_2,first_choice_STY_3,first_choice_NAT_1,first_choice_NAT_2,first_choice_NAT_3,first_choice_LIB_1,first_choice_LIB_2,first_choice_LIB_3,first_choice_POP_1,first_choice_POP_2,first_choice_POP_3,first_choice_CUP_1,first_choice_CUP_2,first_choice_CUP_3,first_choice_DSA_1,first_choice_DSA_2,first_choice_DSA_3,first_choice_PRG_1,first_choice_PRG_2,first_choice_PRG_3,first_choice_OAO_1
13,GA,1472.3908250832314,0.1854153116276501,0.16308445993572876,0.17120656454213182,0.0741349891001527,0.08626191909041724,0.096161569256301,0.1181168105539972,0.04985969367961807,0.032859545272296536,0.0228991369417065,0.21100228154448644,0.0,0.0,0.16410532190114463,0.0,0.0,0.14341217896467492,0.0,0.0,0.08219319768741179,0.0,0.0,0.10210840356727878,0.0,0.0,0.08763236949118905,0.0,0.0,0.10366640100801966,0.0,0.0,0.02992478962685109,0.0,0.0,0.02622358334099522,0.0,0.0,0.04973147286794846
15,HI,203.14709000166366,0.17108405849938496,0.23147354641719498,0.11038188953400474,0.03539291021132822,0.15478440131547624,0.1072756776172039,0.05424136985515535,0.09074132814442311,0.024620781399219263,0.020004037006609195,0.20737116735575314,0.0,0.0,0.24371748937706086,0.0,0.0,0.05175916072175778,0.0,0.0,0.03914917430823539,0.0,0.0,0.163383431691875,0.0,0.0,0.09986157966399564,0.0,0.0,0.03802503664331884,0.0,0.0,0.01939632110669657,0.0,0.0,0.02569069105772706,0.0,0.0,0.11164594807357979
16,ID,325.3257376171863,0.20463126520678573,0.09963089124335596,0.09876664136983487,0.11802022446045173,0.06771348154331189,0.1682708938292832,0.11596533728371589,0.032011284620680654,0.06327144299049374,0.031718537452086235,0.2167857091278265,0.0,0.0,0.10110960291736576,0.0,0.0,0.06043849602248946,0.0,0.0,0.13372662198962643,0.0,0.0,0.07067441189387433,0.0,0.0,0.16220963764167015,0.0,0.0,0.11502346645754631,0.0,0.0,0.05958347657658899,0.0,0.0,0.035253290230734424,0.0,0.0,0.04519528714227756
17,IL,1460.3318361668644,0.1694762314632719,0.14751637888936087,0.11122412586928143,0.07031022576289941,0.10912528356107526,0.09711397398545024,0.10621777000861982,0.06590167285406419,0.06060214443856429,0.06251219316741254,0.20041101207265596,0.0,0.0,0.1339059931248089,0.0,0.0,0.07044424256988772,0.0,0.0,0.07384945133000032,0.0,0.0,0.11162969617328047,0.0,0.0,0.08611971161646324,0.0,0.0,0.10719417744936999,0.0,0.0,0.06518567361192935,0.0,0.0,0.07025391847522665,0.0,0.0,0.0810061235763775
18,IN,994.9890932957763,0.19892570421824254,0.13636087916115552,0.13516936118677372,0.10344310424846466,0.07687500326701606,0.11049083235029818,0.09935432945830594,0.05382922066793847,0.05018115831488827,0.03537040712691661,0.19367562761429566,0.0,0.0,0.12589662399469484,0.0,0.0,0.12341518503823663,0.0,0.0,0.1268624614042082,0.0,0.0,0.07356795731615666,0.0,0.0,0.07978681822323361,0.0,0.0,0.11181105129245195,0.0,0.0,0.050559857033962784,0.0,0.0,0.04498232465414154,0.0,0.0,0.06944209342861817
19,IA,446.7912192181343,0.1851035748871191,0.14245954265550112,0.12618605839049882,0.10517091814089673,0.06169812839022732,0.10993831935396098,0.12063546253063327,0.0551372914626021,0.06446609449542472,0.029204609693135538,0.19427134238964425,0.0,0.0,0.13423190966417456,0.0,0.0,0.10081880053760989,0.0,0.0,0.1282904077112598,0.0,0.0,0.06058059922164259,0.0,0.0,0.10526244161072529,0.0,0.0,0.09642389425302073,0.0,0.0,0.07547710605012287,0.0,0.0,0.034626598454721116,0.0,0.0,0.07001690010707878
20,KS,372.6996859218709,0.22446507011734318,0.10596213308116399,0.14493820019306228,0.08775738281608654,0.10685749925847142,0.1129607332276942,0.08264991536247564,0.021293984312756982,0.06904442910607443,0.044070652524871176,0.24036996165611557,0.0,0.0,0.0947126546621387,0.0,0.0,0.13740955735388177,0.0,0.0,0.09856153922548462,0.0,0.0,0.1150548611314099,0.0,0.0,0.10774106434721237,0.0,0.0,0.05962773983077265,0.0,0.0,0.06528627718273072,0.0,0.0,0.05389404303150368,0.0,0.0,0.027342301578750013
21,KY,717.9252799112746,0.209003631360063,0.1337945980884959,0.14331458720242984,0.1087827235927458,0.05923365178830753,0.12367712866425966,0.0990247600465002,0.05185857215303708,0.04607041760325513,0.025239929500905697,0.22082523409037225,0.0,0.0,0.11828417973446954,0.0,0.0,0.1552422438881702,0.0,0.0,0.11528170976540617,0.0,0.0,0.057778469146791876,0.0,0.0,0.09771418736758078,0.0,0.0,0.10312657738973563,0.0,0.0,0.045952842220266604,0.0,0.0,0.029442429832346014,0.0,0.0,0.056352126564860903
22,LA,508.4085817640956,0.19994036467489726,0.10549893831331408,0.1814434686659227,0.11725177546274677,0.045056229733150654,0.08350959929645116,0.14513511072845314,0.047869656481208486,0.03384045810708984,0.04045439853676584,0.20913922525329795,0.0,0.0,0.0960201050035818,0.0,0.0,0.16442764238996554,0.0,0.0,0.1384499181909877,0.0,0.0,0.048901015879330656,0.0,0.0,0.06739360377784345,0.0,0.0,0.1453381972147519,0.0,0.0,0.03144549278351043,0.0,0.0,0.047055722274489856,0.0,0.0,0.05182907723224084
23,ME,243.15825432865347,0.13627169928320618,0.1479276504246746,0.08979900147531426,0.071515022923328,0.13464629505629583,0.1473827701274051,0.07705023713443568,0.05176007829161887,0.07410430760383982,0.0695429376798816,0.1389593864519661,0.0,0.0,0.1314486106277903,0.0,0.0,0.08081258132835702,0.0,0.0,0.0690500050534903,0.0,0.0,0.15977603338123325,0.0,0.0,0.15333263915762793,0.0,0.0,0.05777736139861945,0.0,0.0,0.07081318826021217,0.0,0.0,0.0803307461001303,0.0,0.0,0.05769944824057321
