,caseid,countyfips,cd119
332,1855650352.0,54003,2
333,1855635988.0,48453,37
334,1855636914.0,15003,1
335,1855636142.0,06029,20
336,1855677478.0,04013,4
337,1855677380.0,12021,26
338,1855636218.0,48201,18
339,1855650192.0,41067,1
340,1855649126.0,45079,2
341,1855677242.0,32003,3
342,1855650216.0,35001,1
343,1855676852.0,26147,9
344,1855681002.0,32031,2
345,1855677236.0,12021,19
346,1855672284.0,48491,37
347,1855681666.0,21137,5
348,1855683386.0,42057,13
349,1855681936.0,39061,1
350,1855637344.0,06065,41
351,1855680910.0,37151,9
352,1855635632.0,48121,13
353,1855660744.0,29141,4
354,1854515610.0,37025,12
355,1855680914.0,42079,8
356,1855694026.0,15003,1
357,1855677370.0,44003,2
358,1854900108.0,39167,6
359,1855681584.0,08041,5
360,1855698068.0,51059,8
361,1854032126.0,32003,3
362,1855677752.0,22051,2
363,1855711140.0,53033,8
364,1855728370.0,48061,34
365,1855275228.0,19153,3
366,1855680894.0,12033,1
367,1855681560.0,31055,2
368,1855485358.0,48157,9
369,1855684298.0,34015,2
370,1855537386.0,48029,20
371,1855488448.0,53033,9
372,1855732718.0,55079,4
373,1855697762.0,37175,11
374,1855702912.0,21111,3
375,1855732304.0,06113,4
376,1855732760.0,12055,18
377,1855733260.0,25017,3
378,1854837740.0,08069,2
379,1855728580.0,13135,7
380,1855748318.0,53053,10
381,1855733466.0,49035,2
382,1855694456.0,48113,32
383,1855732368.0,04013,9
384,1855732804.0,35001,1
385,1855733168.0,35001,1
386,1855538950.0,12059,2
387,1855683364.0,01003,1
388,1855733678.0,04013,5
389,1855751392.0,36081,3
390,1855732576.0,19169,4
391,1854699040.0,37119,14
392,1855752064.0,19193,4
393,1854442250.0,01059,4
394,1855751312.0,37021,11
395,1855752630.0,25013,1
396,1849277536.0,20091,3
397,1855753212.0,42077,7
398,1855728396.0,13059,10
399,1855752580.0,42003,17
400,1855739146.0,35001,1
401,1855694106.0,34005,3
402,1855732270.0,51650,3
403,1854443202.0,42107,9
404,1854491436.0,42055,13
405,1855732772.0,06073,51
406,1855559542.0,12055,18
407,1855732868.0,37081,6
408,1855773626.0,36029,16
409,1855753494.0,48061,34
410,1855770218.0,36061,8
411,1855770106.0,15003,1
412,1855753280.0,55133,5
413,1854171976.0,53053,10
414,1855757364.0,17031,5
415,1855677692.0,55079,4
416,1855773944.0,41019,4
417,1855701976.0,36005,9
418,1855774094.0,53035,6
419,1855753666.0,12105,15
420,1855793808.0,26163,6
421,1852720704.0,25025,7
422,1855733254.0,48201,9
423,1855790126.0,42041,10
424,1855631706.0,06037,42
425,1855632828.0,48029,28
426,1855770560.0,12097,9
427,1855539508.0,17097,10
428,1855809624.0,26163,12
429,1855752524.0,01055,3
430,1855770534.0,37031,3
431,1855812878.0,19113,2
432,1855732922.0,26099,10
433,1855805604.0,40131,2
434,1855488318.0,51015,6
435,1855822360.0,27003,5
436,1855817096.0,48141,16
437,1855823524.0,29510,1
438,1855795236.0,06037,43
439,1855825708.0,55107,7
440,1855827334.0,12099,22
441,1855649330.0,51013,8
442,1855813322.0,39003,4
443,1855813006.0,48303,19
444,1855824696.0,34017,8
445,1855843166.0,26125,12
446,1855827934.0,26099,9
447,1855827498.0,54023,2
448,1855800300.0,26163,6
449,1855843302.0,26121,2
450,1855843080.0,34007,1
451,1855843674.0,48215,15
452,1855842600.0,48201,36
453,1855844054.0,26163,13
454,1855752618.0,42079,8
455,1855840468.0,06065,48
456,1855693798.0,22051,1
457,1854722130.0,45051,7
458,1855732012.0,42091,4
459,1855869960.0,55101,1
460,1855869364.0,12095,10
461,1855869378.0,33011,1
462,1855870034.0,26099,10
463,1855865784.0,24037,5
464,1855869766.0,53015,3
465,1855885592.0,26145,8
466,1855878412.0,15003,1
467,1855885366.0,11001,1
468,1855870182.0,21027,2
469,1855885698.0,06013,10
470,1855885726.0,06073,50
471,1855888892.0,12001,3
472,1855885236.0,56025,1
473,1855875798.0,26077,4
474,1855842740.0,39151,6
475,1855885348.0,06059,47
476,1855870132.0,06061,3
477,1855910556.0,06075,11
478,1855889032.0,17119,13
479,1855843912.0,12105,9
480,1855869640.0,39095,9
481,1855870268.0,24510,7
482,1855885188.0,37119,12
483,1855873680.0,06037,30
484,1855887834.0,18103,2
485,1855888930.0,36065,20
486,1855869052.0,26041,1
487,1855869752.0,26065,7
488,1855873812.0,40109,3
489,1855886100.0,55079,4
490,1855901300.0,53063,5
491,1855899618.0,01101,2
492,1855869796.0,06059,45
493,1855885504.0,12095,10
494,1852841224.0,48141,16
495,1855733286.0,22071,2
496,1855897194.0,55059,1
497,1855813158.0,06033,4
498,1855869040.0,06009,5
499,1855869586.0,55101,1
500,1855885378.0,25013,1
501,1855915206.0,08059,7
502,1855870454.0,08123,4
503,1855942194.0,47179,1
504,1855927556.0,25017,7
505,1855942146.0,28073,4
506,1855915074.0,17111,11
507,1855942190.0,29169,4
508,1855953004.0,39035,11
509,1855955202.0,26081,3
510,1855957084.0,45085,5
511,1855957490.0,48439,12
512,1855956564.0,12057,16
513,1855915940.0,46057,1
514,1855969580.0,13073,12
515,1855956762.0,20091,3
516,1855953098.0,28095,1
517,1855970838.0,36103,1
518,1855957086.0,21111,3
519,1855956190.0,37183,2
520,1855942038.0,39067,6
521,1855970590.0,26163,6
522,1855963314.0,34023,12
523,1855941654.0,41043,5
524,1855981778.0,04019,6
525,1855941806.0,22033,6
526,1855956652.0,51810,2
527,1855956384.0,13121,5
528,1855981528.0,06085,16
529,1855956354.0,12083,6
530,1855981904.0,46011,1
531,1855869332.0,24003,3
532,1855971034.0,26163,13
533,1855975054.0,36059,14
534,1855971220.0,06065,39
535,1855995510.0,37169,5
536,1855982192.0,53053,8
537,1855981502.0,34013,10
538,1855970932.0,20173,4
539,1855981636.0,06075,11
540,1855956768.0,29189,1
541,1855996364.0,27095,8
542,1855996314.0,42017,1
543,1856014862.0,26161,6
544,1855997554.0,26115,5
545,1855996474.0,55079,5
546,1855981444.0,42121,16
547,1856014614.0,48439,25
548,1856015242.0,39113,10
549,1855995438.0,21117,4
550,1855996536.0,26099,10
551,1855995794.0,12103,13
552,1856015658.0,06059,46
553,1856014612.0,13291,9
554,1855996240.0,18057,5
555,1856022558.0,06095,4
556,1856015044.0,39011,4
557,1855959252.0,39061,8
558,1856019118.0,50011,1
559,1855998666.0,29095,4
560,1855999764.0,11001,1
561,1856022216.0,18097,7
562,1856015848.0,12085,21
563,1854651266.0,06037,34
564,1855967778.0,19055,2
565,1856019158.0,20045,1
566,1856034082.0,48291,36
567,1856033812.0,53067,10
568,1856033754.0,15003,1
569,1856034126.0,23019,2
570,1856034056.0,26081,3
571,1856037168.0,17031,7
572,1856037346.0,40143,1
573,1856032706.0,04013,3
574,1856014368.0,12011,25
575,1856014990.0,06065,48
576,1854776226.0,39089,12
577,1856037374.0,12097,9
578,1855995250.0,39049,3
579,1856033916.0,55079,4
580,1855275174.0,35013,2
581,1854618898.0,50021,1
582,1855981538.0,35013,2
583,1856015684.0,37133,3
584,1856050404.0,37181,1
585,1856040334.0,36059,4
586,1856037614.0,29077,7
587,1855996462.0,36063,24
588,1856015656.0,55059,1
589,1856040340.0,04013,8
590,1856051466.0,53011,3
591,1856037540.0,12101,15
592,1856033922.0,42033,15
593,1855850694.0,09001,4
594,1856019212.0,09009,3
595,1856059736.0,37015,1
596,1856070088.0,55101,1
597,1856033882.0,42051,14
598,1856043400.0,39069,5
599,1856049490.0,01089,5
600,1856065544.0,26021,5
601,1856084242.0,06001,17
602,1856066040.0,36061,12
603,1856048962.0,37179,8
604,1854817748.0,19169,4
605,1856081578.0,26081,3
606,1856065870.0,42123,15
607,1856065520.0,12109,5
608,1856069282.0,09009,3
609,1856084266.0,25013,1
610,1856087820.0,30111,2
611,1856047326.0,39085,14
612,1856084148.0,31111,3
613,1856084272.0,53033,7
614,1854512466.0,29095,5
615,1854752466.0,23009,2
616,1854361670.0,17197,14
617,1856069810.0,06083,24
618,1856015664.0,47077,8
619,1856084000.0,17031,3
620,1856070100.0,17031,7
621,1856118190.0,08031,1
622,1856090416.0,48113,32
623,1855833138.0,13275,2
624,1854258018.0,04013,4
625,1855915420.0,55089,6
626,1855910934.0,45057,5
